date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,24856.0972094701,0.0000000000,-1485.2345365856,0.0000000000,23370.8626728845,23153.5486661244,46886.9405696936,42169.2781885774,0.0000000000,0.0000000000,4717.6623811162,3518.2432463470,1520.6548179639,2047.4057096530,0.0000000000,0.0000000000,1520.6548179639,10800.0000000000
2025-02-02,58485.3727523109,0.0000000000,-2440.0781344952,1021.6781238416,57066.9727416573,57158.8740743235,92187.4284763631,85601.4284920261,104.6115379097,0.0000000000,6585.9999843370,3248.2828788245,2047.4057096530,1824.6446016551,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,59467.0175989660,133.6271997114,-2426.6762432439,9.7155194555,57183.6840748891,57069.7267699846,93923.0166975957,87204.6155185532,1.4815663437,69.6160983294,6788.0172773718,2192.7220250083,1824.6446016551,2100.8675330152,0.0000000000,0.0000000000,1369.5685887502,10800.0000000000
2025-02-04,61244.1416285772,0.0000000000,-2971.4981893960,0.0000000000,58272.6434391812,58457.3472375025,95764.5908883659,88221.3055256463,0.0000000000,0.0000000000,7543.2853627196,2882.4418289931,2100.8675330152,1653.1610463759,0.0000000000,0.0000000000,1278.6473069101,10800.0000000000
2025-02-05,57296.8740045989,6.3776304325,-1355.4030131766,0.0000000000,55947.8486218548,55894.2635604986,90543.0986309526,87147.6660709124,0.0000000000,5.3213437067,3400.7539037469,1752.7155211130,1653.1610463759,1783.0467323995,0.0000000000,0.0000000000,1246.6261756644,10800.0000000000
2025-02-06,61433.6928025733,121.2747168431,-3487.3209968801,383.3381461800,58450.9846687162,58354.8012244749,96288.5261136628,86831.4204223531,49.9764912144,62.7726275898,9519.8783188995,1936.9847481289,1783.0467323995,2016.1873190335,0.0000000000,0.0000000000,1621.2664170927,10800.0000000000
2025-02-07,23827.2242624534,0.0000000000,-1405.7875854526,66.6778246686,22488.1145016693,22674.2428419328,45518.0364867920,40646.4578511131,10.2297694514,0.0000000000,4871.5786356789,5701.1984247120,2016.1873190335,1565.0278624293,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19736.7303055228,471.0958691492,-14.4807982435,0.0000000000,20193.3453764285,20051.3310623124,38085.5244260643,38343.8725082833,0.0000000000,288.8264346706,30.4783524516,2820.2529307623,1565.0278624293,1909.2586265138,0.0000000000,0.0000000000,1321.4300005869,10800.0000000000
2025-02-09,56771.3316637338,55.8077474144,-1186.2850634932,0.0000000000,55640.8543476549,55767.5590043581,89763.3253690410,86697.7381209625,0.0000000000,45.4357112913,3111.0229593698,3111.6741732182,1909.2586265138,1602.1371855421,0.0000000000,0.0000000000,1319.7808147157,10800.0000000000
2025-02-10,53746.5019964161,5.2632080628,-1997.1753995500,7.4745604578,51762.0643653867,51857.9033297571,85800.4048268347,80176.4616253138,1.1735293451,3.7455223903,5627.6887239112,1648.2245880094,1602.1371855421,1369.8315891689,0.0000000000,0.0000000000,1231.5087261626,10800.0000000000
2025-02-11,54844.2772677647,0.0000000000,-2707.9156866448,5623.4708901816,57759.8324713015,57698.6909522811,87036.4380524734,80197.3386978042,757.9007104816,0.0000000000,6839.0993546692,1059.1958012933,1369.8315891689,1518.0334936081,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,54601.5461036995,457.2214952871,-2290.4353825929,745.9539726511,53514.2861890448,53552.9559355130,86927.9550322354,80817.6092902866,118.0497214774,236.6505498267,6346.9962917755,1190.7788296859,1518.0334936081,1424.3012775527,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,50594.4151894143,2.1582085871,-1574.2753592773,983.9709550846,50006.2689938086,49981.2845966976,81637.2056525943,77288.4017560400,117.0011950093,1.5358728915,4350.3397694458,1626.1668009693,1424.3012775527,1484.8613567339,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,19207.7673204711,1839.2092073649,-54.8186744811,0.0000000000,20992.1578533549,20696.4345363884,37318.9277381266,38323.1930878377,0.0000000000,1270.8283182552,266.5629685441,4312.7348325008,1484.8613567339,2201.6698277004,0.0000000000,0.0000000000,1484.8613567339,10800.0000000000
2025-02-15,19183.5745611280,282.9360224830,-267.4653556979,0.0000000000,19199.0452279130,19523.9756916100,36560.3865082232,35831.7301634054,0.0000000000,166.2684524347,894.9247972525,3974.6607109472,2201.6698277004,1414.0656873091,0.0000000000,0.0000000000,1364.5858923964,10800.0000000000
2025-02-16,53999.1130120406,2587.9681805075,-2755.7418416693,1820.2261085145,55651.5654593933,55594.9089716107,86327.8371098466,79977.6616461358,272.8411740926,1334.9957105635,7685.1711742743,393.3610736753,1414.0656873091,1551.3962529011,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-17,52807.2786558567,765.6711496407,-3353.6071519521,1343.8613741619,51563.2040277071,51690.2659129487,85213.6813040696,75567.4801449660,143.2065871901,396.2793518312,10042.4805109348,624.2928177900,1551.3962529011,1243.4089199698,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-18,47266.7321616853,1505.6733631811,-147.9838374559,170.6556224090,48795.0773098195,48680.5901732334,76453.8586496428,77005.0272434690,27.1967776274,955.9327105809,404.7641167547,489.0040254988,1243.4089199698,1520.9161188049,0.0000000000,0.0000000000,1243.4089199698,10800.0000000000
