date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,24304.1831630335,0.0000000000,-1297.3050284157,0.0000000000,23006.8781346178,22832.3410708937,45920.7875887375,41861.2114709807,0.0000000000,0.0000000000,4059.5761177569,3312.4565228520,1520.6548179639,1943.7179942411,0.0000000000,0.0000000000,1475.1179999826,10800.0000000000
2025-02-02,57833.3870930622,0.0000000000,-2206.1970757932,935.7126416548,56562.9026589239,56637.1154550765,91343.6813854264,85351.9283945414,134.1331195033,0.0000000000,5991.7529908850,2969.6567211087,1943.7179942411,1763.8324124005,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58744.0019191280,201.7535324124,-2193.8187682497,14.4083472401,56766.3450305308,56663.6491312307,92963.5147019220,86931.9345505478,3.0760775491,137.7090898084,6169.2892411826,1931.1092773088,1763.8324124005,2012.7586428612,0.0000000000,0.0000000000,1305.5082810823,10800.0000000000
2025-02-04,60534.0057818099,0.0000000000,-2709.2436556936,0.0000000000,57824.7621261162,58019.6844067461,94874.6488656470,87964.2605313841,0.0000000000,0.0000000000,6910.3883342629,2626.1452237473,2012.7586428612,1540.2834137557,0.0000000000,0.0000000000,1201.4429271145,10800.0000000000
2025-02-05,56597.8869850820,160.1954756781,-1124.7127877177,2.7971003439,55636.1667733863,55580.2209146345,89671.1080042821,86989.9354111234,0.4009604851,156.0026684873,2837.1752616460,1551.4645465842,1540.2834137557,1675.8914742907,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60775.7337630423,235.8305394874,-3264.5332660076,282.7851942049,58029.8162307271,57937.6347437308,95478.2784141666,86644.5154380205,51.8202785134,153.3527398217,8987.1157159679,1760.6326324766,1675.8914742907,1899.3316528434,0.0000000000,0.0000000000,1571.1452769822,10800.0000000000
2025-02-07,23315.9242089010,0.0000000000,-1208.8656499772,260.4139900537,22367.4725489775,22533.9178321229,44615.3567509082,40470.2835470238,56.5974513354,0.0000000000,4145.0732038844,5514.1589862352,1899.3316528434,1495.8822727441,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19436.1381810870,551.6238744170,-7.3102995035,0.0000000000,19980.4517560006,19856.9947965488,37596.0943573428,38020.0497003429,0.0000000000,439.5376070554,15.5822640552,2537.0287241029,1495.8822727441,1795.1315684797,0.0000000000,0.0000000000,1281.4675391480,10800.0000000000
2025-02-09,56141.9878106670,117.1345590585,-981.6527481950,0.0000000000,55277.4696215304,55395.4548444550,88956.5921984919,86482.2848582333,0.0000000000,111.8774531499,2586.1847934085,2853.4159206854,1795.1315684797,1509.1453023010,0.0000000000,0.0000000000,1286.4233336017,10800.0000000000
2025-02-10,53068.6853741821,2.5012881324,-1740.0600536023,89.7394872487,51420.8660959609,51509.7400700257,84862.6672223815,79924.3751405551,25.1536012257,2.2250285835,4940.5171104099,1375.8129701262,1509.1453023010,1293.7222571669,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,54137.1928840599,0.0000000000,-2451.9162463079,4924.1976817485,56609.4743195005,56535.1448957167,86115.7584520657,79875.9663647426,927.0298078645,0.0000000000,6239.7920873231,881.8427585662,1293.7222571669,1473.8905345851,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53904.8190437179,464.9487903881,-2080.5253519522,1194.1493814973,53483.3918636510,53522.2246032611,85994.3132086660,80501.4811096612,252.1125333508,300.8839405426,5793.7160395474,1014.3089588199,1473.8905345851,1379.7632368498,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49908.4535486781,0.2474317698,-1337.1521404977,995.2674140650,49566.8162540152,49541.8668185103,80702.8036780170,76952.8708898118,165.7676018240,0.2201036950,3750.1528919002,1322.3822698820,1379.7632368498,1440.2385720354,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18837.6474843232,1586.3751376660,0.0000000000,0.0000000000,20424.0226219892,20132.0764924292,36626.2987397237,38004.9807871284,0.0000000000,1378.6820474047,0.0000000000,3996.4385093497,1440.2385720354,2147.8914581221,0.0000000000,0.0000000000,1440.2385720354,10800.0000000000
2025-02-15,18666.6610690320,317.6330564929,-249.9547583031,0.0000000000,18734.3393672218,19064.0177671979,35554.5778736187,34964.3047518358,0.0000000000,257.2052285596,847.4783503425,3103.2926792354,2147.8914581221,1348.7787191550,0.0000000000,0.0000000000,1311.1111317564,10800.0000000000
2025-02-16,53281.8351079972,2248.3404546583,-2533.7064826636,1682.9297940325,54679.3988740244,54624.9629458442,85308.4465158827,79755.5416935502,354.0204204222,1478.8181880515,7031.7230103840,256.1371072747,1348.7787191550,1480.7268348625,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-17,52127.5210239303,753.4812297067,-3126.1891120668,1350.9835069703,51105.7966485405,51207.7365270451,84222.5355274515,75350.5449649766,237.1178789002,489.6476517962,9361.6382142711,440.4512890706,1480.7268348625,1233.6331352821,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-18,46521.8806944297,1786.0556027367,-57.7277510233,154.8970330537,48405.1055791968,48321.6982048776,75323.3738395059,76819.8888944177,34.4503571206,1699.7102362679,203.1951813561,397.7392743867,1233.6331352821,1435.8056019862,0.0000000000,0.0000000000,1227.9995748997,10800.0000000000
2025-02-19,46890.6378427842,1723.3385831951,-251.2566960001,4138.5954232008,52501.3151531801,52598.5980643106,75789.9235683297,77264.7208575909,893.6826743753,2085.0868059842,610.2895167231,1021.1642048605,1435.8056019862,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,48697.2927969025,560.6908143138,-973.9902477222,1492.7799402144,49776.7733037085,49696.5156235187,79389.2858328410,76886.6382282779,313.7622136488,478.9914031975,2981.6390077606,1666.6400083923,1200.0000000000,1394.5378728005,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-21,17523.8764276816,501.8742028811,-2.5332665991,0.0000000000,18023.2173639636,18061.5287954553,34174.1904272336,34612.4828289375,0.0000000000,443.6056902041,5.3132885003,5741.5068579009,1394.5378728005,1301.6741821393,0.0000000000,0.0000000000,1301.6741821393,10800.0000000000
2025-02-22,17745.1329182294,1880.1790263250,-106.7360972512,0.0000000000,19518.5758473032,19107.8659710578,34155.6784081967,35513.2107156355,0.0000000000,1646.5438719294,289.0115644906,3376.3765898288,1301.6741821393,2297.2004105822,0.0000000000,0.0000000000,1301.6741821393,10800.0000000000
2025-02-23,46870.6481802017,1882.7991253698,-975.9414355304,199.1479990184,47976.6538690595,48417.5946406414,76042.4822124826,74931.4291053212,74.8925678582,1665.6023166564,2776.6554238178,302.0632202552,2297.2004105822,1228.3970321181,0.0000000000,0.0000000000,1200.0000000000,10596.1647387502
2025-02-24,45595.6004311630,1387.9857771195,-477.2545134798,306.1804235516,46812.5121183543,46580.6297092683,73621.0259608662,73617.3950171925,67.0729114649,1170.1095781093,1173.7405217830,752.1119320458,1228.3970321181,1790.4605068754,0.0000000000,0.0000000000,1228.3970321181,10800.0000000000
2025-02-25,46724.8044806606,572.0247712037,-1906.3732003218,513.5091152203,45903.9651667628,46143.5963738981,75972.0364589767,70357.3351496253,168.7878115848,377.5601308121,5992.2614401635,1176.3341459132,1790.4605068754,1209.6145967710,0.0000000000,0.0000000000,1200.0000000000,10773.8876457349
2025-02-26,42336.7575990755,3844.1153363393,0.0000000000,489.6947888685,46670.5677242832,46489.7041649627,69475.4136898662,74161.0175579127,104.0530808880,4685.6038680465,0.0000000000,693.0150274021,1209.6145967710,1648.0126667643,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-27,43105.4926836279,1753.2994659552,-179.6595002472,1785.9066998965,46465.0393492324,46548.2570837733,70310.3337173184,71184.1279387722,365.2677426182,1623.2309488901,749.4367274363,480.9134292243,1648.0126667643,1446.2998709475,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-28,16927.0358601688,494.0670666804,-12.2064235141,0.0000000000,17408.8965033351,17488.7433383589,32706.0489369982,33207.8885043978,0.0000000000,528.0945083607,26.2549409610,6871.4630715124,1446.2998709475,1252.7578523067,0.0000000000,0.0000000000,1215.4599167774,10800.0000000000
2025-03-01,18132.7880273516,0.0000000000,-341.7536977368,758.1208862368,18549.1552158515,18550.5123652145,35085.7512384350,34046.5501327848,166.2237474907,0.0000000000,1039.2011056502,7397.0545490079,1252.7578523067,1249.4682362910,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-02,48830.3626495466,2059.1263047667,-917.9058236968,0.0000000000,49971.5831306165,49689.1668275132,79253.1720886411,78411.9325916676,0.0000000000,1699.1279993530,2540.3674963265,928.4224833689,1249.4682362910,1934.0216238293,0.0000000000,0.0000000000,1249.4682362910,10800.0000000000
2025-03-03,49709.4524544216,1907.1855822881,-1814.3556042975,61.9649542725,49864.2473866846,50137.4623576111,80364.6840074952,76521.4109158137,29.5100149711,1477.9784973283,5321.2515890098,760.9442613618,1934.0216238293,1271.7714923081,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-04,44609.4250779157,1729.8824900618,-178.2942597544,129.1011991350,46290.1145073580,46319.7242352402,72596.2517430683,73597.0687585409,60.4165958865,1405.0532038836,404.2361884110,356.7065535582,1271.7714923081,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-05,47155.1443203362,2837.5947673179,-2388.5954067018,15.2828671857,47619.4265481381,47485.4060777795,76954.0755842354,71466.2804650704,3.2627812096,1829.0799678408,7316.8750870057,1034.5355681930,1200.0000000000,1524.8543585315,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-06,43550.5233118239,1407.6005071129,-423.0376105452,0.0000000000,44535.0862083916,44395.9341659287,71236.1185394065,71040.6660367855,0.0000000000,1096.0275506910,1291.4800533120,629.9403569216,1524.8543585315,1862.1472166425,0.0000000000,0.0000000000,1524.8543585315,10800.0000000000
2025-03-07,17320.7094648780,312.3552332552,-511.4259132822,0.0000000000,17121.6387848509,17282.9287647430,32862.3994659476,31854.8314144688,0.0000000000,217.5067545165,1225.0748059953,8365.5661607590,1862.1472166425,1471.1938584338,0.0000000000,0.0000000000,1335.0865410478,10800.0000000000
