date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,26136.1416324622,0.0000000000,-1923.0674605484,0.0000000000,24213.0741719139,23969.3935875359,48910.5886845330,43046.4377808862,0.0000000000,0.0000000000,5864.1509036468,4435.5200393886,1520.6548179639,2111.3160782391,0.0000000000,0.0000000000,1459.0442974103,10800.0000000000
2025-02-02,59992.7948887527,0.0000000000,-3204.3474695511,1013.6919571953,57802.1393763968,57872.4787528145,94218.2019212442,85766.0496920336,145.4438728270,0.0000000000,8452.1522292106,3383.9041569466,2111.3160782391,1940.8193403562,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,60771.4020561905,0.0000000000,-3049.0498731509,16.4618140000,57738.8139970396,57655.3246913156,95633.9368763459,87306.3261941329,3.5144777967,0.0000000000,8327.6106822131,2355.1788068924,1940.8193403562,2143.1904019010,0.0000000000,0.0000000000,1279.8919674539,10800.0000000000
2025-02-04,62470.7629073538,0.0000000000,-3590.4515417399,0.0000000000,58880.3113656139,59076.7028422037,97386.2594379399,88402.0937899792,0.0000000000,0.0000000000,8984.1656479607,3059.1128820986,2143.1904019010,1667.1539652437,0.0000000000,0.0000000000,1208.2339479993,10800.0000000000
2025-02-05,58528.3647088875,0.0000000000,-1943.7511114101,114.3460978709,56698.9596953483,56636.8791304350,92204.7756229316,87484.5826377985,16.3913557728,0.0000000000,4720.1929851331,2049.5978278337,1667.1539652437,1817.6320380205,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,62687.9694280984,0.0000000000,-4022.4978560921,285.7538500510,58951.2254220574,58861.9928143725,97954.9618802654,87094.6968072631,52.4471734363,0.0000000000,10860.2650730022,2213.7110741994,1817.6320380205,2033.9243809141,0.0000000000,0.0000000000,1550.2127453898,10800.0000000000
2025-02-07,24832.9739770512,0.0000000000,-1869.5925762031,277.8956128002,23241.2770136483,23396.7837699593,47295.3389732085,40932.0412781883,60.3915118073,0.0000000000,6363.2976950203,5957.6516189381,2033.9243809141,1656.9890707069,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,20276.7352348059,426.5984872547,-200.2264265478,0.0000000000,20503.1072955128,20391.2678213819,38934.9879831031,38778.2747928277,0.0000000000,232.6181837912,389.3313740666,3325.8062891130,1656.9890707069,1928.0785582312,0.0000000000,0.0000000000,1264.0583646793,10800.0000000000
2025-02-09,58122.8761372191,0.0000000000,-1880.0502795289,46.6123705656,56289.4382282557,56410.4795545457,91600.5499860911,86928.7482334945,9.9514027681,0.0000000000,4671.8017525966,3269.4451316987,1928.0785582312,1634.6845542964,0.0000000000,0.0000000000,1266.5383469468,10800.0000000000
2025-02-10,55023.4149758591,0.0000000000,-2619.8918866122,52.7827203286,52456.3058095754,52537.2235958353,87542.2538166294,80383.4585216751,10.6945031564,0.0000000000,7158.7952949543,1808.6846094121,1634.6845542964,1438.5466398502,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,56080.6995223710,0.0000000000,-3345.2367605039,5190.6698783143,57926.1326401815,57858.3865872751,88673.3153517507,80254.1496124695,975.4346426057,0.0000000000,8419.1657392812,1333.3697177868,1438.5466398502,1602.7573794563,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,55842.6016538556,248.4702545624,-2862.6858634115,1453.9917472861,54682.3777922926,54727.3317579051,88536.1193681617,80840.1573308480,305.7097446189,128.5978079147,7824.5598452284,1436.5798083289,1602.7573794563,1493.7927442524,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,51782.7071067582,0.0000000000,-2176.7388140175,1168.1394873864,50774.1077801271,50748.3375253880,83213.6936664030,77395.8633860728,199.2711504455,0.0000000000,5817.8302803302,1819.8743516754,1493.7927442524,1556.2576762889,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,20075.0872401779,1017.1274766559,-76.5228303093,0.0000000000,21015.6918865245,20773.6538270226,38980.1814043816,39271.1494073613,0.0000000000,663.0702656071,372.1022626274,5402.8054455687,1556.2576762889,2142.9375942844,0.0000000000,0.0000000000,1556.2576762889,10800.0000000000
2025-02-15,20136.0457562132,180.8032746566,-428.6522750767,0.0000000000,19888.1967557930,20185.9282853378,38397.5251251425,37239.9466896038,0.0000000000,98.5894948779,1256.1679304166,5313.8515861741,2142.9375942844,1421.2613847765,0.0000000000,0.0000000000,1297.4050307189,10800.0000000000
2025-02-16,55271.6481213531,2402.9006672409,-3307.1668612314,1666.6611669583,56034.0430943208,55983.6275874852,88083.9109434274,80126.4990869563,349.0720219434,1220.0968838553,9177.5087403265,650.1192703418,1421.2613847765,1543.4643369771,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
