date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,112.6115691064,-767.9812610603,0.0000000000,23111.1704760038,22778.7940267115,44945.8823612059,42383.6715479549,0.0000000000,69.8886421563,2632.0994554073,3496.4733787682,1520.6548179639,2326.3074017590,0.0000000000,0.0000000000,1520.6548179639,10800.0000000000
2025-02-02,56970.1679863983,298.4890760236,-1432.2143184712,0.0000000000,55836.4427439507,55998.1094249701,90013.9766562477,85979.2325459907,0.0000000000,229.9321972877,4264.6763075447,3780.5160853678,2326.3074017590,1934.4409516715,0.0000000000,0.0000000000,1338.0192642190,10800.0000000000
2025-02-03,58006.8778736887,1034.1835223525,-1673.8720226043,0.0000000000,57367.1893734369,57142.9088996699,91865.9813073229,87802.4451693793,0.0000000000,724.0099713405,4787.5461092841,2638.8873040271,1934.4409516715,2478.0779739991,0.0000000000,0.0000000000,1683.6933129057,10800.0000000000
2025-02-04,59716.7606489322,243.6845709135,-1982.4382821815,0.0000000000,57978.0069376642,58217.7257295336,93572.3096443661,88406.8509739035,0.0000000000,220.2271101881,5385.6857806507,3363.0321593030,2478.0779739991,1897.0197658589,0.0000000000,0.0000000000,1506.7155633184,10800.0000000000
2025-02-05,55812.4994839455,1900.0543322150,-861.7001300798,0.0000000000,56850.8536860806,56761.3686871591,88416.3558602463,87986.7808109536,0.0000000000,1881.9316708317,2311.5067201244,2596.4748037541,1897.0197658589,2113.9238839019,0.0000000000,0.0000000000,1486.1486083114,10800.0000000000
2025-02-06,59919.9321422746,779.8364204631,-2688.7500327657,168.5166860984,58179.5352160704,58115.5105496684,94120.7149838320,87248.7046707927,29.1150508609,565.7091076224,7437.7194206616,2478.1706244754,2113.9238839019,2269.1142953261,0.0000000000,0.0000000000,1704.5894583210,10800.0000000000
2025-02-07,22630.9135458515,338.9903037771,-853.3974677826,0.0000000000,22116.5063818460,22334.0411890152,43371.8587222615,40485.5371490923,0.0000000000,212.2141910583,3098.5357642275,5581.3128393344,2269.1142953261,1741.8282019992,0.0000000000,0.0000000000,1442.8611897329,10800.0000000000
2025-02-08,19058.6970485316,1529.4448419741,0.0000000000,0.0000000000,20588.1418905057,20361.6081559783,36916.6458880452,38120.5534759723,0.0000000000,1203.9075879271,0.0000000000,2408.6773250854,1741.8282019992,2290.9269390708,0.0000000000,0.0000000000,1549.8038902003,10800.0000000000
2025-02-09,55231.3388611602,1737.3035227477,-555.8796528570,0.0000000000,56412.7627310508,56568.6279415102,87468.6788170744,86882.5284642109,0.0000000000,1341.4956346557,1927.6459875192,3561.9631635181,2290.9269390708,1913.1227661286,0.0000000000,0.0000000000,1487.6140006769,10800.0000000000
2025-02-10,52265.8995395872,831.0703199357,-1289.4208695852,66.0799677284,51873.6289576661,51982.5785202122,83527.6766146927,80334.1330247535,14.5246659476,617.1755667004,3810.7191566395,2004.8134929107,1913.1227661286,1649.0381814492,0.0000000000,0.0000000000,1398.4960429057,10800.0000000000
2025-02-11,53374.0885799566,277.2694585861,-1619.4377240647,197.0889186766,52229.0092331546,52278.7305902381,84886.6430483158,80872.3246400387,40.8212811559,215.6525920711,4229.9710003483,1381.0141657577,1649.0381814492,1528.5177899190,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53274.9252449713,674.1685724201,-1576.0291597670,211.9129207096,52584.9775783341,52502.1820706873,85072.6395008501,81125.2481797209,47.1782069926,470.5299733363,4417.9212944656,1183.6693508997,1528.5177899190,1729.2071432237,0.0000000000,0.0000000000,1412.0745099870,10800.0000000000
2025-02-13,49122.5203900315,767.5884410239,-805.9054415623,0.0000000000,49084.2033894930,49146.2333579990,79439.7663473971,77621.7908306451,0.0000000000,599.6228726621,2417.5983894142,2171.3737215463,1729.2071432237,1578.8517118867,0.0000000000,0.0000000000,1268.5443322808,10800.0000000000
2025-02-14,18526.9736262555,2910.5252736180,0.0000000000,0.0000000000,21437.4988998735,21009.1814431263,36053.7470587430,38206.5159250627,0.0000000000,2152.7688663197,0.0000000000,3882.4221720153,1578.8517118867,2617.0572359171,0.0000000000,0.0000000000,1578.8517118867,10800.0000000000
2025-02-15,18002.7497470896,1604.0762117128,-98.0680095929,0.0000000000,19508.7579492095,19829.3129876083,34141.2019303321,35171.3345303992,0.0000000000,1296.8182800499,266.6856799829,3436.7901538091,2617.0572359171,1840.0587587856,0.0000000000,0.0000000000,1527.3782888738,10800.0000000000
2025-02-16,52386.4614267506,2611.0197045905,-1919.2003358816,173.6523939314,53251.9331893909,53201.9590556210,83796.7783652269,79977.1926671785,38.1695557603,1558.3014549451,5377.8871529935,215.7707144405,1840.0587587856,1961.1918597631,0.0000000000,0.0000000000,1561.9180513487,10795.8407767198
2025-02-17,51130.7576877615,928.9117421156,-2528.0715776975,64.9136984147,49596.5115505943,49831.6489136476,82604.2463797412,75397.3418179529,14.2683148510,677.0094965991,7883.9140583874,672.9316018670,1961.1918597631,1391.2386500998,0.0000000000,0.0000000000,1215.7876738260,10800.0000000000
2025-02-18,45767.3216177229,4247.4126784846,-149.5887614028,139.6481151267,50004.7936499315,49801.7802363288,74097.1577065785,77423.8055082976,30.6952665407,3862.7940465141,536.1462447950,702.6910108357,1391.2386500998,1883.3261056409,0.0000000000,0.0000000000,1391.2386500998,10800.0000000000
2025-02-19,45952.1959109389,4224.8390639288,-0.3944500080,721.9149745191,50898.5554993788,51180.4654805171,74175.4460556931,78107.7252735129,199.4010421285,3933.9714100462,1.6921922263,1739.5963964543,1883.3261056409,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,48040.1750282058,1814.7042751651,-445.5574842296,108.9556600900,49518.2774792313,49278.1041451341,78430.9240545855,78168.9936989740,23.2612425470,1329.7448745286,1591.6752301401,2410.1568270043,1200.0000000000,1782.1599803056,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-21,17135.3178253306,1820.4201868913,0.0000000000,0.0000000000,18955.7380122219,18982.4672509087,33396.9747888056,34862.3098452974,0.0000000000,1465.3350564918,0.0000000000,6117.5530939636,1782.1599803056,1717.3705517623,0.0000000000,0.0000000000,1644.0056075608,10800.0000000000
2025-02-22,17301.3225501309,3625.3366443605,-64.9839357604,0.0000000000,20861.6752587311,20443.6662136064,33288.0868135963,35817.7531081309,0.0000000000,2710.9268664916,181.2605719569,3777.4237348160,1717.3705517623,2730.5893522261,0.0000000000,0.0000000000,1505.6371773380,10800.0000000000
2025-02-23,45962.0608070575,4114.1954924892,-882.2890041958,0.0000000000,49193.9672953508,49707.2105306288,74547.6470558472,75240.6870983409,0.0000000000,3339.0909970030,2646.0509545092,875.0565030770,2730.5893522261,1486.5308772729,0.0000000000,0.0000000000,1357.6002375065,10800.0000000000
2025-02-24,44830.3035104740,3454.3323438273,-311.6808190867,318.2053434687,48291.1603786833,47987.9243308891,72317.6115836130,74919.1205067871,69.6401445813,3370.5918476187,769.0829244446,1868.6938763130,1486.5308772729,2221.5495764778,0.0000000000,0.0000000000,1486.5308772729,10800.0000000000
2025-02-25,45800.6861279958,1118.1280192168,-1276.0269526106,324.1507524996,45966.9379471016,46281.5622268068,74451.3249594414,70823.6108203617,72.4116721617,784.7710595099,4412.4851985896,1852.2069837592,2221.5495764778,1458.9267600635,0.0000000000,0.0000000000,1405.8743368441,10800.0000000000
2025-02-26,41593.2860465005,7157.5759122532,0.0000000000,41.3644600922,48792.2264188459,48565.5351577633,68182.5562355892,75211.2835937375,9.4450188588,7028.7273581483,0.0000000000,1552.7996249564,1458.9267600635,2008.4073282680,0.0000000000,0.0000000000,1458.9267600635,10800.0000000000
2025-02-27,42334.6388809596,3887.4632349757,-25.0759612834,92.5717052395,46289.5978598915,46339.2395287484,68942.8087286110,72181.7469700126,20.4633579403,3343.5062357950,104.5679943935,1023.7114933017,2008.4073282680,1888.0800943028,0.0000000000,0.0000000000,1212.0239089854,10800.0000000000
2025-02-28,16537.3571232576,1618.4170448590,0.0000000000,0.0000000000,18155.7741681166,18335.3349081648,31913.6185084938,33214.4914754311,0.0000000000,1300.8729669373,0.0000000000,7250.2505383608,1888.0800943028,1452.8399487510,0.0000000000,0.0000000000,1417.5114447839,10800.0000000000
2025-03-01,17552.4766914114,288.0295407933,-206.0229482029,0.0000000000,17634.4832840018,17676.2979918391,33890.6145783599,33383.8691789614,0.0000000000,223.6168756694,730.3622750679,6694.5634139240,1452.8399487510,1351.4846106051,0.0000000000,0.0000000000,1291.5036490926,10800.0000000000
2025-03-02,48115.5195136671,4661.7531073009,-736.1233810310,0.0000000000,52041.1492399370,51646.3284578157,78200.0679057925,79601.4551723190,0.0000000000,3813.3979142849,2412.0106477585,1974.1578481033,1351.4846106051,2308.4970100373,0.0000000000,0.0000000000,1351.4846106051,10800.0000000000
2025-03-03,48832.9839887746,2401.1050776737,-1408.8673021013,0.0000000000,49825.2217643471,50132.1510399200,78965.3385211385,76582.1868544406,0.0000000000,1777.8747241748,4161.0263908727,920.8547429560,2308.4970100373,1564.5262370354,0.0000000000,0.0000000000,1399.0510870463,10800.0000000000
2025-03-04,43859.3956420444,3303.7339173071,-92.0648540035,0.0000000000,47071.0647053480,47089.4685967434,71345.5254314522,73853.3300591815,0.0000000000,2851.0004423849,343.1958146556,561.7273675034,1564.5262370354,1519.9167507552,0.0000000000,0.0000000000,1503.6367798541,10800.0000000000
2025-03-05,46322.8415619465,2903.0876595805,-1703.2982903254,4.4367941092,47527.0677253108,47359.2687358704,75607.9586646537,71665.7019598772,0.9752267522,1681.6127410666,5623.8694458431,1190.0455730471,1519.9167507552,1926.6474011627,0.0000000000,0.0000000000,1519.9167507552,10800.0000000000
2025-03-06,42777.4013106922,3083.5017365134,-186.7512767182,0.0000000000,45674.1517704874,45573.2815513688,69885.7868817823,71540.4192431015,0.0000000000,2395.9303172497,741.2979559305,1328.5431901874,1926.6474011627,2171.1483362738,0.0000000000,0.0000000000,1844.8737009202,10800.0000000000
2025-03-07,16949.6905403021,598.7462269490,-375.8561161260,0.0000000000,17172.5806511251,17308.8015044991,32134.5035625155,31683.7232318052,0.0000000000,464.7196860855,915.5000167958,8173.2744434522,2171.1483362738,1840.9604342090,0.0000000000,0.0000000000,1631.7053112176,10800.0000000000
