date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,-893.8463101387,0.0000000000,22872.6938578190,22623.7584099154,44945.8823612059,42035.0607812919,0.0000000000,0.0000000000,2910.8215799140,3332.2406296887,1520.6548179639,2124.0534258638,0.0000000000,0.0000000000,1520.6548179639,10800.0000000000
2025-02-02,57067.0476408521,12.8399931668,-1773.2495119992,419.4814160216,55726.1195380412,55869.8872102133,90238.7032961312,85172.4496743576,60.1320837187,11.2912732401,5077.5448950138,2942.5724326821,2124.0534258638,1775.5726691848,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58082.9757809998,249.1946387624,-1894.3108454479,13.3040977063,56451.1636720206,56382.1781613272,92042.5016211970,86789.4590946506,2.8403282891,140.0718210780,5393.1143476244,1911.2236826049,1775.5726691848,1942.7877503161,0.0000000000,0.0000000000,1418.7859852170,10800.0000000000
2025-02-04,59973.1646660763,45.9539693274,-2371.5186615615,0.0000000000,57647.5999738422,57802.8616060867,94167.0765595694,87996.4228044676,0.0000000000,38.3429030683,6208.9966581701,2613.0142773823,1942.7877503161,1566.4466002487,0.0000000000,0.0000000000,1265.2474020321,10800.0000000000
2025-02-05,55970.8440302727,573.1865560144,-880.9127550481,0.0000000000,55663.1178312390,55628.1124960660,88783.6593775910,87085.8187801349,0.0000000000,520.4956372981,2218.3362347542,1727.8659484332,1566.4466002487,1651.2965912417,0.0000000000,0.0000000000,1211.3265903225,10800.0000000000
2025-02-06,60141.5306154588,147.9273518407,-2955.5712790360,242.2085079685,57576.0951962321,57502.7836135378,94634.7453090100,86513.4011451409,44.9526201995,77.0898578754,8198.4340217445,1655.7325981287,1651.2965912417,1828.9977073873,0.0000000000,0.0000000000,1545.6587105760,10800.0000000000
2025-02-07,22841.7293914741,0.0000000000,-1056.4898594810,68.9656387091,21854.2051707023,22001.1838450949,43860.8771533045,40098.5475124156,15.1474651690,0.0000000000,3762.3296408889,4965.8012416381,1828.9977073873,1472.7337511434,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19187.2942966572,780.1226121111,0.0000000000,0.0000000000,19967.4169087683,19866.5484898721,37215.6397223293,37777.7352347152,0.0000000000,562.0955123859,0.0000000000,2346.3832623708,1472.7337511434,1717.2303226666,0.0000000000,0.0000000000,1248.5106152326,10800.0000000000
2025-02-09,55506.1395404178,304.0266869150,-787.6253428461,0.0000000000,55022.5408844867,55125.0277212218,88106.1195019678,86181.9503926346,0.0000000000,264.7995295329,2188.9686388661,2539.7451311040,1717.2303226666,1468.8108422961,0.0000000000,0.0000000000,1280.6781985441,10800.0000000000
2025-02-10,52478.7249511030,32.9738327978,-1470.2540557967,119.1641990521,51160.6089271562,51242.5245966755,84021.3565300621,79840.6590161558,34.6789821435,25.4839803236,4206.1814942299,1270.4209255804,1468.8108422961,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
