date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,22573.3286724279,0.0000000000,-908.0267345683,0.0000000000,21665.3019378597,21562.4394242132,42985.4364850019,40521.2052126066,0.0000000000,0.0000000000,2464.2312723954,4027.3399235086,1520.6548179639,1783.8365792463,0.0000000000,0.0000000000,1363.5408534100,10800.0000000000
2025-02-02,55192.3757067965,0.0000000000,-1908.8948041301,1077.7224012022,54361.2033038686,54379.1455905028,88493.5474091240,83250.8899838857,160.0643646656,0.0000000000,5242.6574252383,2746.9387046762,1783.8365792463,1737.9298399452,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,56014.8023267633,335.5083564822,-2125.6997005672,2241.3906277240,56466.0016104023,56391.2543019741,89941.5980592879,84104.7407416641,475.6458581377,182.8433232207,6019.7006408445,1754.5002607099,1737.9298399452,1929.1766565539,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,57837.6967579998,0.0000000000,-2414.3682234340,104.4876479289,55527.8161824947,55695.5450703284,91958.4383980510,85606.4921669874,22.3073543828,0.0000000000,6351.9462310636,2390.3767520860,1929.1766565539,1500.0292193280,0.0000000000,0.0000000000,1208.2437497718,10800.0000000000
2025-02-05,53982.8292346315,12.5256452285,-779.1194910527,102.8245281599,53319.0599169672,53270.4440329136,86693.5911176254,84663.4083864055,14.7397546101,7.1881123804,2037.3708436003,1422.8252915942,1500.0292193280,1624.4167492254,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,58013.7852631097,420.5537449462,-2969.6325531291,353.9154960826,55818.6219510093,55733.3175579898,92423.0279843045,84423.6716276057,68.0109697673,223.8087156032,8223.1650723020,1602.1662122881,1624.4167492254,1842.6746898893,0.0000000000,0.0000000000,1542.7385847621,10800.0000000000
2025-02-07,21638.4890375600,0.0000000000,-911.3579584201,277.1040876422,21004.2351667821,21164.1932081145,41883.7956425251,38869.0512530126,56.1450891788,0.0000000000,3014.7443895125,5683.8353373408,1842.6746898893,1433.4095693243,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,18351.6921786782,736.4645054574,-0.1919638288,0.0000000000,19087.9647203068,18960.4881641207,35992.2385532521,36544.6843211417,0.0000000000,553.4406568702,0.9948889806,2850.6310969472,1433.4095693243,1759.5682775837,0.0000000000,0.0000000000,1416.8961976161,10800.0000000000
2025-02-09,53467.8466137720,970.9743979123,-974.9230912211,46.6123705656,53510.5102910287,53618.7622952080,85964.0544464702,84227.6623730762,9.9514027681,865.1543403885,2601.5464137825,2590.2872339903,1759.5682775837,1482.5970845582,0.0000000000,0.0000000000,1280.4783649455,10800.0000000000
2025-02-10,50518.4482875965,29.7965549977,-1441.7691731734,115.5525676560,49222.0282370767,49304.1941103277,81916.8676419150,77626.7270002239,33.7486288730,22.2941718002,4312.4348134913,1217.4388348893,1482.5970845582,1272.3692914302,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
