date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23803.5375904134,0.0000000000,-1090.6283488653,0.0000000000,22712.9092415481,22565.2196296433,45083.3462840614,41665.9362775838,0.0000000000,0.0000000000,3417.4100064776,3182.8213876082,1520.6548179639,1878.6420269979,0.0000000000,0.0000000000,1459.8685456346,10800.0000000000
2025-02-02,57290.9902402802,0.0000000000,-1893.1755630259,1011.8026219673,56409.6172992215,56476.1319889664,90613.9638777876,85378.1911855002,145.0405134701,0.0000000000,5235.7726922874,3014.4708057976,1878.6420269979,1717.4160082249,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58037.5126534526,305.8711786452,-1858.1513151378,13.9971863595,56499.2297033195,56404.4231958799,91962.3570670052,86872.4665392527,2.9882976856,165.8723748782,5255.7629026307,1935.6222224246,1717.4160082249,1947.2190157543,0.0000000000,0.0000000000,1428.3035259643,10800.0000000000
2025-02-04,59721.3017421112,0.0000000000,-2319.8116536354,55.0009960512,57456.4910845270,57640.4990381400,93826.8053166851,87888.4014930824,26.2034283236,0.0000000000,5938.4038236027,2555.8964069397,1947.2190157543,1501.1991982166,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,56179.8810368552,226.6828127489,-916.4972940725,114.3460978709,55604.4126534025,55552.4382744815,89086.0594467714,86966.5397990210,16.3913557728,174.2680685423,2293.7877162926,1555.9223981585,1501.1991982166,1627.1807253617,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,59916.1184284585,139.9416616073,-2845.9039518355,259.1868178977,57469.3429561280,57384.9624386938,94319.4527367343,86501.9769838852,47.8556060774,73.1330490304,7890.6088018796,1618.1336460535,1627.1807253617,1831.7120092044,0.0000000000,0.0000000000,1550.2127453898,10800.0000000000
2025-02-07,22834.7537791008,0.0000000000,-1061.2661165685,277.8956128002,22051.3832753325,22204.6737932342,43859.5495557460,40106.1618579094,60.3915118073,0.0000000000,3753.3876978366,5049.1557850685,1831.7120092044,1460.1486746728,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19335.4709005494,695.2659702448,0.0000000000,0.0000000000,20030.7368707942,19920.1032569711,37447.8748357312,37912.3133796344,0.0000000000,464.4385439032,0.0000000000,2456.4843223567,1460.1486746728,1728.3152581386,0.0000000000,0.0000000000,1264.0583646793,10800.0000000000
2025-02-09,55463.5469589178,373.1378626081,-740.2685962254,0.0000000000,55096.4162253005,55206.1220365410,88015.5263584508,86310.4550404463,0.0000000000,313.8781235825,2018.9494415870,2673.9683847986,1728.3152581386,1462.3975901709,0.0000000000,0.0000000000,1274.2649464188,10800.0000000000
2025-02-10,52729.3102942446,6.8356270539,-1531.2419918499,187.6353726110,51392.5393020595,51471.8091487854,84366.1033018216,80002.5410584339,49.4148179198,4.8645225263,4368.4267659139,1508.9665749951,1462.3975901709,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
