date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,-1084.9832245449,0.0000000000,22681.5569434128,22534.2073796920,44945.8823612059,41637.0745872555,0.0000000000,0.0000000000,3308.8077739504,3154.0741791939,1520.6548179639,1877.8177787736,0.0000000000,0.0000000000,1459.0442974103,10800.0000000000
2025-02-02,57184.9945158083,0.0000000000,-1956.0151796753,1013.6919571953,56242.6712933282,56308.8459348891,90512.2984595647,85130.8749123921,145.4438728270,0.0000000000,5381.4235471727,2732.3021432021,1877.8177787736,1717.4160082249,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58110.8328215996,284.9548654630,-1958.8820253982,16.4618140000,56453.3674756644,56353.2817140401,92107.1201333747,86768.4961827965,3.5144777967,200.5551187565,5539.1790693347,1764.0573503553,1717.4160082249,1960.0154842869,0.0000000000,0.0000000000,1279.8919674539,10800.0000000000
2025-02-04,59964.9125815043,0.0000000000,-2472.2099269372,55.0009960512,57547.7036506183,57736.9908584160,94147.9346329351,87802.7962663890,26.2034283236,0.0000000000,6345.1383665461,2474.4171799531,1960.0154842869,1501.1991982166,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,56002.0975358461,202.8597313352,-878.2523733458,89.3151981097,55416.0200919452,55364.0457130241,88856.1564909600,86849.8217889219,12.8032107382,217.0639489508,2223.3986509889,1422.8540195383,1501.1991982166,1627.1807253617,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60153.0821152153,340.9553424221,-3039.1775923749,285.7538500510,57740.6137153135,57651.2459231894,94661.5407155433,86485.1249089024,52.4471734363,229.3192164802,8405.7350231211,1608.6541170531,1627.1807253617,1843.8007439766,0.0000000000,0.0000000000,1550.2127453898,10800.0000000000
2025-02-07,22834.6387369479,0.0000000000,-1105.4970585384,277.8956128002,22007.0372912096,22165.3150838013,43844.4293348720,39976.2588933865,60.3915118073,0.0000000000,3868.1704414855,4918.1995945940,1843.8007439766,1460.1486746728,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19193.3085648683,672.8820076681,0.0000000000,0.0000000000,19866.1905725364,19752.1100462172,37229.6231406300,37793.4624717481,0.0000000000,563.8393311181,0.0000000000,2330.7251800389,1460.1486746728,1736.6702843881,0.0000000000,0.0000000000,1264.0583646793,10800.0000000000
2025-02-09,55496.8277987532,341.5051844236,-805.9297905191,0.0000000000,55032.4031926577,55144.6120539509,88084.5195444995,86268.5064342118,0.0000000000,360.2906947306,2176.3038050183,2628.1391980751,1736.6702843881,1464.6854334215,0.0000000000,0.0000000000,1274.2649464188,10800.0000000000
2025-02-10,52480.7010219539,6.2189660651,-1499.9716148864,187.6353726110,51174.5837457437,51254.7974549128,84025.9403177005,79757.3385823470,49.4148179198,5.5321004707,4274.1338358242,1203.0174415372,1464.6854334215,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53555.5261345269,0.0000000000,-2204.7946370213,5174.5516955331,56525.2831930387,56455.8036451637,85307.5142025036,79700.9353672300,972.2035745930,0.0000000000,5606.5788352736,766.1899511048,1270.2541426802,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53317.9639034264,538.6291093723,-1869.5358074645,1511.4988379239,53498.5560432581,53536.8529037282,85172.4740136200,80321.3950047523,311.2636519059,351.2160905644,5202.2950994321,890.0633394391,1438.6667284261,1345.8383566969,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49306.1540387778,71.9084159329,-1109.7682694080,1087.5108104491,49355.8049957518,49331.0138908902,79865.7316657602,76799.2735643267,180.5224754223,79.3713399091,3145.8294413427,1171.1040123109,1345.8383566969,1405.9299117075,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18609.6110332078,1729.8402329787,0.0000000000,0.0000000000,20339.4512661865,20041.5435087859,36245.8823922755,37774.0932561504,0.0000000000,1528.2108638748,0.0000000000,3744.3831314832,1405.9299117075,2128.0332827296,0.0000000000,0.0000000000,1405.9299117075,10800.0000000000
