date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,26136.1416324622,0.0000000000,-1765.6162518274,0.0000000000,24370.5253806348,24043.5719557331,48910.5886845330,43376.0931057073,0.0000000000,0.0000000000,5534.4955788257,4584.0058699335,1520.6548179639,2313.1624463280,0.0000000000,0.0000000000,1520.6548179639,10800.0000000000
2025-02-02,59896.1104784381,0.0000000000,-2918.4473411905,26.6149860131,57004.2781232606,57143.1278398505,93993.9281789232,86100.6456191188,3.8152216188,0.0000000000,7893.2825598044,3807.3373805268,2313.1624463280,1976.6024007290,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,60754.2619702719,43.5513588345,-2835.8605564268,0.0000000000,57961.9527726796,57798.5411601954,95594.1779203761,87776.0397421492,0.0000000000,22.8652115049,7841.0033897318,2697.2782338237,1976.6024007290,2372.6984180622,0.0000000000,0.0000000000,1564.3171392960,10800.0000000000
2025-02-04,62360.8285676126,0.0000000000,-3310.0444939256,0.0000000000,59050.7840736870,59255.5606518578,97131.2505310941,88728.8053061427,0.0000000000,0.0000000000,8402.4452249514,3503.5360623441,2372.6984180622,1876.3371997649,0.0000000000,0.0000000000,1388.5156952309,10800.0000000000
2025-02-05,58428.1659395518,0.0000000000,-1749.9559460938,0.0000000000,56678.2099934580,56625.1645597297,91972.3498067969,87616.5015050860,0.0000000000,0.0000000000,4355.8483017109,2285.2357714219,1876.3371997649,2004.9148737631,0.0000000000,0.0000000000,1349.3438492932,10800.0000000000
2025-02-06,62598.2609497777,0.0000000000,-3871.2846150737,234.6290588143,58961.6053935183,58890.1078428064,97746.8698405514,87322.0061102294,41.9919326614,0.0000000000,10424.8637303220,2507.0235340637,2004.9148737631,2178.2189288149,0.0000000000,0.0000000000,1650.4825317773,10800.0000000000
2025-02-07,24763.8568886067,0.0000000000,-1746.1102383701,0.0000000000,23017.7466502367,23193.2293303554,47135.0116977631,41028.3168396586,0.0000000000,0.0000000000,6106.6948581045,6065.8031607461,2178.2189288149,1752.8636578565,0.0000000000,0.0000000000,1284.4383573105,10800.0000000000
2025-02-08,20230.9071821484,286.5445718045,-73.9686506306,0.0000000000,20443.4831033223,20298.7492077986,38828.4606640480,38839.5903363293,0.0000000000,156.2487440997,145.1190718184,3325.8062891130,1752.8636578565,2103.6864587490,0.0000000000,0.0000000000,1402.5436123998,10800.0000000000
2025-02-09,58038.7599528711,0.0000000000,-1601.0668926157,0.0000000000,56437.6930602554,56566.2457959334,91405.4300966270,87302.1996094377,0.0000000000,0.0000000000,4103.2304871893,3728.2439059771,2103.6864587490,1792.0854296346,0.0000000000,0.0000000000,1399.0175247051,10800.0000000000
2025-02-10,54948.0199565721,3.7424235897,-2426.2314015417,0.0000000000,52525.5309786201,52623.6577304623,87367.3639551426,80641.2060999549,0.0000000000,2.6632675702,6728.8211227579,2173.7393726088,1792.0854296346,1554.2344286706,0.0000000000,0.0000000000,1301.7790296302,10800.0000000000
2025-02-11,56025.2850715260,0.0000000000,-2989.8965570932,1766.4869375498,54801.8754519827,54781.8570390641,88544.7733641724,81012.2578837583,329.9160017729,0.0000000000,7532.5154804142,1553.6327483171,1554.2344286706,1602.7573794563,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,55842.6016538556,0.0000000000,-2657.6090079301,249.1223857531,53434.1150316786,53432.6212425166,88536.1193681617,81256.0385412517,55.2981651907,0.0000000000,7280.0808269101,1479.0191764760,1602.7573794563,1606.3781988632,0.0000000000,0.0000000000,1302.5836399194,10800.0000000000
2025-02-13,51728.7786739996,0.0000000000,-1936.8242306067,270.0844790313,50062.0389224242,50082.7164224595,83088.5987168354,77831.6851556522,44.4708939365,0.0000000000,5256.9135611832,2256.6052989965,1606.3781988632,1556.2576762889,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,20075.0872401779,1565.7250914477,-76.5228303093,0.0000000000,21564.2895013163,21228.1925145189,38980.1814043816,39685.1064318435,0.0000000000,1077.0272900893,372.1022626274,5595.5066431903,1556.2576762889,2370.9285303628,0.0000000000,0.0000000000,1556.2576762889,10800.0000000000
2025-02-15,20027.0914210940,209.9564656457,-323.5709204805,0.0000000000,19913.4769662592,20228.7143616926,38144.2018628332,37221.4818833245,0.0000000000,117.6716360200,1040.3916155287,5380.7751480303,2370.9285303628,1606.8195729427,0.0000000000,0.0000000000,1480.0022228429,10800.0000000000
2025-02-16,55182.7657492215,2142.8319449631,-3085.4043764255,510.0911080789,54750.2844258380,54706.7011752373,87877.7351787983,80393.3585110297,105.6211262967,1096.6889565870,8581.0656243556,675.6319614833,1606.8195729427,1712.4617101382,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-17,54037.8848192750,354.0958384781,-3750.7241070771,470.4212236908,51111.6777743668,51265.1968922036,86919.9757774385,75881.9595304065,69.3300321757,183.2651908383,11221.2814378703,950.9822190466,1712.4617101382,1340.3442685731,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-18,48475.5467156665,923.1209497165,-450.4356994252,56.3194528926,49004.5514188504,48858.8690753599,78177.9500961604,77407.9786215022,12.4482843294,509.3457714045,1279.3172460627,820.8959956041,1340.3442685731,1693.4660276398,0.0000000000,0.0000000000,1340.3442685731,10800.0000000000
2025-02-19,48673.4004774509,1429.7688584052,-626.1575060651,1884.6746207218,51361.6864505128,51565.2686016936,78212.0500652223,78036.7828318832,399.4936320428,1351.5273084978,1526.7945418369,1575.1105396922,1693.4660276398,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,50634.2414691304,315.9392202919,-1417.4205108054,192.5317725680,49725.2919511849,49558.1534451867,82031.1850196341,78097.4964839074,41.9235793326,223.0615976222,4156.7501333489,2423.7184141642,1200.0000000000,1605.1296940435,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-21,18197.4811301527,218.6950322567,-59.9303926165,0.0000000000,18356.2457697929,18379.7272916075,35225.5419830716,35222.1774227770,0.0000000000,119.2513399077,122.6159002023,6338.8610435633,1605.1296940435,1548.2124582957,0.0000000000,0.0000000000,1504.6791609760,10800.0000000000
2025-02-22,18490.3111726913,1926.2896115691,-288.6491598396,0.0000000000,20127.9516244208,19740.8125774329,35241.3809723517,35747.8160658376,0.0000000000,1210.4508091003,704.0157156143,3657.5154939975,1548.2124582957,2486.6049772538,0.0000000000,0.0000000000,1419.0270575567,10800.0000000000
2025-02-23,48945.4145607356,573.8430797648,-1407.2111156325,17.7327781410,48129.7793030089,48585.0967947046,78894.1488083098,75237.0108481909,3.7858194152,368.8316503673,4025.9696104862,532.4578479922,2486.6049772538,1382.9536372965,0.0000000000,0.0000000000,1302.2229343313,10800.0000000000
2025-02-24,47500.5343382499,1205.1707745203,-1089.4294371020,264.6713901117,47880.9470657799,47634.3146964338,76420.5702077332,74075.7080323421,58.2110341293,697.1383482635,3042.0005236547,1281.2404604968,1382.9536372965,1980.7697762987,0.0000000000,0.0000000000,1382.9536372965,10800.0000000000
2025-02-25,48687.0439727488,209.2172406860,-2592.2071772629,239.3823955176,46543.4364316895,46803.8764338939,78572.5458813753,70858.0808484203,53.7792165112,113.1797572618,7827.6447902168,1636.4309820013,1980.7697762987,1349.4850954909,0.0000000000,0.0000000000,1317.5151133443,10800.0000000000
