date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-01-01,45896.4263302016,0.0000000000,0.0000000000,102510.7820198869,148407.2083500884,150387.4750167551,72811.6026576890,72811.6026576890,17558.1462052778,0.0000000000,0.0000000000,0.0000000000,6000.0000000000,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,9676.9842968519
2025-01-02,63592.6229267774,0.0000000000,0.0000000000,3860.8705803216,67453.4935070991,67385.3547409363,98814.2776920464,98814.2776920464,678.3883903880,0.0000000000,0.0000000000,1665.2266590857,1200.0000000000,1365.1626435402,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-03,61648.3459468380,0.0000000000,0.0000000000,0.0000000000,61648.3459468380,58694.6876366605,95947.4683022010,95947.4683022010,0.0000000000,0.0000000000,0.0000000000,40668.1812867018,1365.1626435402,8524.5821941994,0.0000000000,0.0000000000,1365.1626435402,10800.0000000000
2025-01-04,44694.8654406644,0.0000000000,0.0000000000,0.0000000000,44694.8654406644,45615.1599328602,70950.4338506559,70950.4338506559,0.0000000000,0.0000000000,0.0000000000,26315.1840130820,8524.5821941994,6293.8656766228,0.0000000000,0.0000000000,4243.9805545189,10800.0000000000
2025-01-05,40027.5403561931,0.0000000000,0.0000000000,129924.4926495141,169952.0330057072,172053.5355898516,66210.4722122947,66210.4722122947,22817.2706599341,0.0000000000,0.0000000000,0.0000000000,6293.8656766228,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,9614.1737565477
2025-01-06,46846.8536009147,0.0000000000,0.0000000000,97256.6999997817,144103.5536006964,144103.5536006964,77526.5329726351,77526.5329726351,16897.0171026683,0.0000000000,0.0000000000,0.0000000000,1200.0000000000,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,8546.1547180076
2025-01-07,59102.1153441042,0.0000000000,0.0000000000,28482.5644876010,87584.6798317051,87559.5476001210,92969.4216820933,92969.4216820933,4298.9251846580,0.0000000000,0.0000000000,188.0845743933,1200.0000000000,1260.9184175214,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-08,69787.9192133569,0.0000000000,0.0000000000,0.0000000000,69787.9192133569,69398.9912537017,107393.1659388753,107393.1659388753,0.0000000000,0.0000000000,0.0000000000,12293.7441334672,1260.9184175214,2203.6471104643,0.0000000000,0.0000000000,1260.9184175214,10800.0000000000
2025-01-09,63115.3057064224,0.0000000000,0.0000000000,212.6724001865,63327.9781066089,63459.7777450757,97842.8388406199,97842.8388406199,40.4285073643,0.0000000000,0.0000000000,2317.6215786731,2203.6471104643,1884.1758618240,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-10,31169.3580137798,0.0000000000,0.0000000000,0.0000000000,31169.3580137798,31304.5535893941,57766.2190239976,57766.2190239976,0.0000000000,0.0000000000,0.0000000000,8946.7199714755,1884.1758618240,1556.4731468956,0.0000000000,0.0000000000,1326.7382006854,10800.0000000000
2025-01-11,26958.4554106186,0.0000000000,0.0000000000,0.0000000000,26958.4554106186,26919.9150885435,50769.3918230947,50769.3918230947,0.0000000000,0.0000000000,0.0000000000,1809.0605402057,1556.4731468956,1649.8916490976,0.0000000000,0.0000000000,1404.2237621457,10800.0000000000
2025-01-12,63408.1378567630,0.0000000000,0.0000000000,3730.1367800873,67138.2746368504,67209.6534659202,98634.5476269429,98634.5476269429,782.9858672489,0.0000000000,0.0000000000,4024.2659555983,1649.8916490976,1476.8753653301,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-13,62361.0008889125,0.0000000000,0.0000000000,694.1061268872,63055.1070157997,63169.3334859631,97153.0561138039,97153.0561138039,219.8128536373,0.0000000000,0.0000000000,4762.2937951738,1476.8753653301,1200.0000000000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-14,61584.5492613368,0.0000000000,0.0000000000,1763.1674850807,63347.7167464175,63344.3670210449,96227.5468565531,96227.5468565531,383.6005759606,0.0000000000,0.0000000000,2465.7900285992,1200.0000000000,1208.1194528289,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-15,58830.4065198209,0.0000000000,0.0000000000,21395.2905130941,80225.6970329150,80135.0068768822,92609.5485640544,92609.5485640544,3185.4706418451,0.0000000000,0.0000000000,899.1407113461,1208.1194528289,1427.9447704415,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-16,59012.6085664607,0.0000000000,0.0000000000,10308.6768364673,69321.2854029280,69328.2927141282,92655.6277300062,92655.6277300062,1702.3051720133,0.0000000000,0.0000000000,594.7155405998,1427.9447704415,1410.9596369102,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-17,26066.7160589491,0.0000000000,0.0000000000,0.0000000000,26066.7160589491,26073.6458203021,49463.5224782464,49463.5224782464,0.0000000000,0.0000000000,0.0000000000,2908.7809705317,1410.9596369102,1394.1624776921,0.0000000000,0.0000000000,1327.7974090950,10800.0000000000
2025-01-18,27810.1534239830,0.0000000000,0.0000000000,0.0000000000,27810.1534239830,27738.9360876156,52838.5593149907,52838.5593149907,0.0000000000,0.0000000000,0.0000000000,5534.4152094795,1394.1624776921,1566.7873167190,0.0000000000,0.0000000000,1394.1624776921,10800.0000000000
