strategy,block_days,annual_saving,ci_low,ci_high,fraction_positive,daily_win_rate
18,7,918973.8877299565,702308.6041634545,1146607.6955012113,1.0000000000,0.6497005988
18,14,918973.8877299565,684895.0316182009,1155635.4170975196,1.0000000000,0.6497005988
18,28,918973.8877299565,659254.4799581364,1170315.6699841674,1.0000000000,0.6497005988
12,7,809268.6632598289,596420.1231007566,1039139.7708343839,1.0000000000,0.6946107784
12,14,809268.6632598289,609469.4028396906,1025680.5525013658,1.0000000000,0.6946107784
12,28,809268.6632598289,607911.4213421317,1015327.8722700281,1.0000000000,0.6946107784
12+18,7,1070380.7471481687,834846.3307660761,1315358.2761787362,1.0000000000,0.7395209581
12+18,14,1070380.7471481687,840196.1187576468,1322091.9396239955,1.0000000000,0.7395209581
12+18,28,1070380.7471481687,809339.7191578436,1334907.0962435286,1.0000000000,0.7395209581
6,7,425473.8189716506,172987.0740935039,692183.3043123918,1.0000000000,0.6107784431
6,14,425473.8189716506,176853.6625803500,694983.6322616334,1.0000000000,0.6107784431
6,28,425473.8189716506,193438.9087516504,673656.8632272909,1.0000000000,0.6107784431
6+18,7,1053225.2294295595,767394.8920881946,1359351.4313101084,1.0000000000,0.6796407186
6+18,14,1053225.2294295595,770703.1075317505,1373862.7988611234,1.0000000000,0.6796407186
6+18,28,1053225.2294295595,730177.1167727320,1381703.5129099071,1.0000000000,0.6796407186
6+12,7,992004.9501133077,744612.8836943280,1288115.4497714643,1.0000000000,0.7305389222
6+12,14,992004.9501133077,735132.6476881164,1298529.7363780148,1.0000000000,0.7305389222
6+12,28,992004.9501133077,699795.4471906603,1270892.6799643948,1.0000000000,0.7305389222
6+12+18,7,1264321.9620653496,986865.9795251334,1565636.3218457198,1.0000000000,0.7604790419
6+12+18,14,1264321.9620653496,958835.5022315976,1576854.1745475316,1.0000000000,0.7604790419
6+12+18,28,1264321.9620653496,933357.2342835999,1597266.4706176245,1.0000000000,0.7604790419
