alpha0,alpha_update,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
0.4500000000,0.5000000000,858115.6038409442,858382.6259329951,15974.8748932948,2976.9134178090,48681.6265534411,11478.3431725467,788812.6914859815,56820.3530190777,-3492.3155574097,1292191.9613566715,1329395.2447375658,64264.0499834676,64392.4982511971,8600.8612585968
0.4500000000,0.5500000000,856082.9435257686,856333.3575143630,9295.5971911137,1745.1614635016,53366.2039878132,11034.5706040303,788397.0185402803,61724.5080229487,-3334.1802285740,1291215.4565709191,1333547.0899547020,64116.2897356948,64340.9496647263,8641.1179058115
0.4500000000,0.6000000000,857510.3024874236,857718.4070623093,4688.8109515982,885.7751735415,59249.9275688324,11237.8773425107,787767.8509808108,68409.8087798482,-3356.1682248335,1289736.1744553975,1337748.2246817192,63892.0400620444,64638.2259772532,8743.6723694202
0.4500000000,0.6500000000,862054.1735531092,862202.1227107581,2333.9996592770,437.9837580609,65506.7866076621,11363.7075606076,787032.9360529750,76036.2338571368,-3348.9960162797,1288007.3035126217,1342150.3825596762,64057.2223546674,65045.9734533116,8889.4840459971
0.4500000000,0.7000000000,868611.4045074220,868715.4137718301,1172.0036772201,212.9710289645,72252.2151527024,11606.1715413084,786306.2226137149,84507.0438485954,-3373.8656321083,1286297.8944888946,1346943.9381002889,64553.1893051040,65601.4011995614,8995.9906549836
0.4500000000,0.7500000000,876183.4874348929,876243.9115294263,862.4891787581,153.7398790089,78966.0058539829,11851.2105785933,785805.5200842923,92907.1259207937,-3391.6477489512,1285119.3259024054,1352234.1211777949,65106.0462515455,66260.4031678077,9101.6374443379
0.4500000000,0.8000000000,886727.4388257334,886735.3778637159,570.3217403046,103.0192263933,87878.0761468531,12205.7749179011,784942.0467831480,104657.2984215130,-3442.2281192320,1283086.5385052592,1358758.8397342111,65887.2326464235,67334.8345288674,9228.8568111461
0.5000000000,0.5000000000,852708.3677897535,852967.7922525819,14513.5519947628,2677.9211583806,35440.2614542446,15601.2193373445,801148.1311150314,41894.8624681574,-4848.1777881981,1310191.6521326331,1330030.6942495333,63833.9064502649,63913.0861933195,8619.2772734104
0.5000000000,0.5500000000,850636.1119499690,850878.2829672145,8448.1730110428,1572.5349171450,39128.7247479118,14147.2088959352,800704.6141638255,45849.8313114918,-4366.5065363910,1309149.4207012746,1334130.9365532517,63607.6209284939,63831.6214303876,8661.0981757122
0.5000000000,0.6000000000,851934.0190221596,852133.9221182634,4046.0030115644,754.4987335657,44611.8580235136,13672.1680276482,800040.3971827414,52023.3026911031,-4175.6838632492,1307587.4274270383,1338527.1174229034,63349.2522485535,64127.4347925495,8763.5520648248
0.5000000000,0.6500000000,856699.6038615901,856839.3515404572,2066.9836758536,383.9852113643,50943.7402626039,13732.4174773259,799301.1113991997,59476.4252773537,-4144.9164908168,1305847.9734186577,1343059.2962039355,63640.9294422478,64535.1822686079,8909.3637414017
