date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23667.1999745067,0.0000000000,-996.4239942764,0.0000000000,22670.7759802304,22577.2206914392,44974.1577294001,42035.2481199642,0.0000000000,0.0000000000,2938.9096094358,3694.8389784804,8680.5023422815,8907.2725009458,0.0000000000,0.0000000000,1437.3767601906,10800.0000000000
2025-02-02,57246.4160352449,0.0000000000,-1640.1891965628,1062.9160084610,56669.1428471430,56731.9489710644,90871.8708925338,86350.5885611760,152.3675470844,0.0000000000,4521.2823313577,4014.9008404313,8907.2725009458,8755.0357341016,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58561.4248257648,175.2127066055,-1766.2820871979,0.0000000000,56970.3554451724,56872.1349789687,92973.3943304401,88007.4336202689,0.0000000000,91.1669264504,5057.1276366216,3218.8448452141,8755.0357341016,8993.1138908033,0.0000000000,0.0000000000,1412.0884732634,10800.0000000000
2025-02-04,60028.7062999018,0.0000000000,-2274.7602567423,0.0000000000,57753.9460431595,57901.6950175111,94496.2320215478,88492.2400306649,0.0000000000,0.0000000000,6003.9919908829,3131.0747349940,8993.1138908033,8634.9827921864,0.0000000000,0.0000000000,1222.6174035808,10800.0000000000
2025-02-05,56087.2421608016,0.0000000000,-822.5126982428,46.0831622888,55310.8126248476,55246.7532439781,89173.4960180190,87065.4143600994,7.9337457672,0.0000000000,2108.0816579196,1597.3897526903,8634.9827921864,8790.2573485626,0.0000000000,0.0000000000,1204.4652351342,10800.0000000000
2025-02-06,60170.8538664411,471.3908378784,-2716.4930892697,13.6986012300,57939.4502162797,57822.4686076592,94900.3398193543,87634.3459432952,2.3450485714,245.1999014436,7511.1937775027,2697.6218950250,8790.2573485626,9073.8109380011,0.0000000000,0.0000000000,1558.0281424832,10800.0000000000
2025-02-07,22681.3056895499,0.0000000000,-1000.9493884781,244.7630790929,21925.1193801647,22110.1587673661,43793.2962042323,40324.4761314375,53.1503509443,0.0000000000,3468.8200727948,5318.4167557479,9073.8109380011,8625.2910121156,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19225.8828886839,901.9558888558,-0.8832552960,0.0000000000,20126.9555222437,19999.9367759939,37447.6513295125,38028.2929559500,0.0000000000,584.8328449451,4.1912185076,2535.8644819230,8625.2910121156,8933.1737797557,0.0000000000,0.0000000000,1280.2235088771,10800.0000000000
2025-02-09,55639.8990488480,369.1641986426,-483.6445506842,0.0000000000,55525.4186968064,55637.4851236509,88478.6940240913,86924.4340793601,0.0000000000,311.8758022986,1866.1357470297,3430.5197284514,8933.1737797557,8661.5341779243,0.0000000000,0.0000000000,1267.5844989255,10800.0000000000
2025-02-10,52912.1309577170,0.0000000000,-1313.8182763351,185.1982173874,51783.5108987693,51841.7058715546,84810.9453764361,80434.7949364936,40.5440125202,0.0000000000,4376.1504399425,2202.7705649206,8661.5341779243,8520.4744539631,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
