date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23667.1999745067,0.0000000000,-962.9051386793,0.0000000000,22704.2948358274,22586.8858487129,44974.1577294001,42142.8473401609,0.0000000000,0.0000000000,2831.3103892391,3744.9867261858,8680.5023422815,8965.0918612773,0.0000000000,0.0000000000,1473.7554878195,10800.0000000000
2025-02-02,57219.1252971684,0.0000000000,-1386.9409395002,0.0000000000,55832.1843576683,55831.1152674088,90807.6271588322,86790.6469222658,0.0000000000,0.0000000000,4016.9802365664,4155.8053624924,8965.0918612773,8967.6832462315,0.0000000000,0.0000000000,1319.5815213091,10800.0000000000
2025-02-03,58461.0552000395,0.0000000000,-1850.5900997912,14.8330011601,56625.2981014083,56712.8408576062,92737.1193169624,87530.3550130327,2.1262903039,0.0000000000,5206.7643039297,3203.6279963295,8967.6832462315,8755.4869613459,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-04,60140.8662106057,0.0000000000,-2098.9973296829,0.0000000000,58041.8688809227,57972.3762229628,94760.2619431673,89092.1645979959,0.0000000000,0.0000000000,5668.0973451714,3189.4930834800,8755.4869613459,8923.9313248362,0.0000000000,0.0000000000,1450.9428174164,10800.0000000000
2025-02-05,55950.8584533909,0.0000000000,-951.3732816716,1263.4605369887,56262.9457087079,56327.8572734553,88852.4420928526,86526.1697135173,182.4431171405,0.0000000000,2326.2723793353,1579.9725668175,8923.9313248362,8766.5911463481,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60182.0243138863,0.0000000000,-2800.3568973213,71.8621116130,57453.5295281780,57492.3403724816,94926.6355995926,87257.6311415749,10.6827077433,0.0000000000,7669.0044580177,2676.4049464681,8766.5911463481,8672.5169209960,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-07,22870.7164655763,0.0000000000,-948.7810188262,62.0090416960,21983.9444884462,21981.6104055217,44239.1784453490,40933.9118488363,13.6154289246,0.0000000000,3305.2665965127,5383.6758325009,8672.5169209960,8678.1745418741,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19204.0654946846,285.3964501899,-11.2405551147,1563.1446226351,21041.3660123949,20980.6214650566,37388.8918520031,37594.7580033138,255.7082647857,245.8915966984,40.0254453877,2518.8535556015,8678.1745418741,8825.4142203133,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-09,55690.7615609049,527.6690725679,-453.3882527313,0.0000000000,55765.0423807414,55785.4354933464,88598.4268679162,87198.2218281833,0.0000000000,399.8134305511,1800.0184702841,3479.8332592319,8825.4142203133,8775.9830289736,0.0000000000,0.0000000000,1358.8483000937,10800.0000000000
2025-02-10,52858.1111000218,0.0000000000,-1251.8183505979,31.3223807500,51637.6151301739,51723.1519791914,84683.7799863814,80433.4660628873,6.8847962963,0.0000000000,4250.3139234941,2248.2329038740,8775.9830289736,8568.6488945385,0.0000000000,0.0000000000,1235.6619595957,10800.0000000000
2025-02-11,53649.8955406643,0.0000000000,-1975.3236538549,1796.4760067497,53471.0478935590,53445.9397270923,85586.0063738424,80434.6492807610,281.3214533221,0.0000000000,5151.3570930814,1010.8611130195,8568.6488945385,8629.5089802374,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53452.6782518673,0.0000000000,-1466.9982438652,2355.1610119996,54340.8410200017,54353.5870412999,85560.6473225495,81072.3583618930,347.6574729831,0.0000000000,4488.2889606564,1933.9895433699,8629.5089802374,8598.6136956472,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49416.0798193543,65.0269608201,-678.2403397848,177.4702282806,48980.3366686701,48966.9531449197,80182.7260785195,77871.1073763130,39.0051285274,58.8411723405,2370.4598745470,2426.8857692364,8598.6136956472,8631.0542326128,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18597.3665589673,948.5230195688,-0.2768847787,470.2801489192,20015.8928426765,20028.2722317218,36385.9024288127,37120.4133796399,76.9311547389,735.8229445414,1.3119937142,3891.4241841940,8631.0542326128,8601.0476337957,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-15,18625.8670951231,286.2847832999,-142.5668702205,532.6772122997,19302.2622205023,19364.7782684840,35756.5114849194,35582.4633228015,107.0183416369,189.6275601939,363.6757223118,2919.0304952895,8601.0476337957,8449.5139866544,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-16,52728.7267530685,0.0000000000,-2109.2614121279,9581.2180035019,60200.6833444424,60179.7648539679,84728.4705096571,78764.9067807973,1432.8921373286,0.0000000000,5963.5637288598,610.6892283050,8449.5139866544,8500.2186498029,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-17,51814.9124144166,73.0317019641,-1961.4797258797,2558.1902929914,52484.6546834924,52497.3191429404,83988.9515526163,76955.7363107254,369.6110361054,42.2412095696,7075.4564514605,2421.3131828673,8500.2186498029,8469.5210642838,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-18,45858.9409115590,1406.0999013321,-0.3210902520,4702.9090012841,51967.6287239233,51925.3008913700,74481.7401621511,76134.2519228402,689.8574771902,1654.0269688442,1.5152081551,388.8128599572,8469.5210642838,8572.1201736238,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-19,46190.1969752112,2793.9994067867,0.0000000000,2254.6700766967,51238.8664586945,51344.0539431253,74940.3553059627,77638.9275826644,446.1531048074,2698.5722767017,0.0000000000,914.9293636105,8572.1201736238,8317.1545501717,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,48116.6422312071,852.6452663566,-432.1727368263,150.8669226916,48687.9816834289,48565.8818271219,78766.0110065513,77933.9114391981,32.2089928889,566.7497918376,1398.8493591909,2436.5234619421,8317.1545501717,8613.1143419204,0.0000000000,0.0000000000,1333.2632665536,10800.0000000000
2025-02-21,17322.8235944302,294.0131892715,-0.2262147504,132.2092359134,17748.8198048647,17852.9795398274,34020.6372598647,34232.5319651754,29.1595138759,212.9617560202,1.0670507096,5300.0081037631,8613.1143419204,8360.6398968181,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-22,17550.3879431568,124.2917425415,-68.0153651947,3800.5863832584,21407.2507037620,21402.5506368319,34092.5577391993,33998.9028834351,751.5200828894,95.4693993172,189.1242550813,3279.4224894914,8360.6398968181,8372.0324641142,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-23,46604.8385185313,198.3324372666,-667.1793654534,8563.2748700395,54699.2664603839,54685.4694864058,76321.0121049855,74558.7036235852,1556.1954637956,117.1540680861,1879.4625494864,166.4735190000,8372.0324641142,8405.4751696899,0.0000000000,0.0000000000,1200.0000000000,10533.4523922966
2025-02-24,45209.7997076863,91.1666984269,-182.4618961396,1788.0549115812,46906.5594215548,46860.6491861879,73132.2298501039,72748.9042238973,301.7154876101,49.8636526913,433.1892788979,509.8924982211,8405.4751696899,8516.7577224242,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-25,46137.9992326859,57.6104302135,-1333.1970380967,3041.6078139695,47904.0204387721,47963.6211105713,75504.6655759183,70568.0479190302,503.7162828959,33.7846951087,4970.4023519968,1398.2093988997,8516.7577224242,8372.2907021728,0.0000000000,0.0000000000,1200.0000000000,10793.1973747821
2025-02-26,41627.0941963136,4369.7527136493,-0.0441384801,5012.9363136611,51009.7390851439,50949.6357594588,68528.0587372950,72938.3449049258,980.3392220029,4410.5149236823,0.2287560516,644.4282404735,8372.2907021728,8517.9761132060,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-27,42605.6480182037,963.9543737734,-28.5075526249,7892.7985941875,51433.8934335397,51415.4919198923,69799.8125536207,70657.8518878675,1370.7956493309,968.5008858602,110.4615516134,689.0532094337,8517.9761132060,8562.5798360249,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-28,16870.5802596789,354.2163341285,0.0000000000,2392.5625070045,19617.3591008119,19622.4158413794,32862.0628466857,33105.2979546996,574.1781575278,243.2351080139,0.0000000000,6775.5123756103,8562.5798360249,8550.3227218026,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-01,17557.0811774039,0.0000000000,-202.5557686185,1186.0167774565,18540.5421862419,18574.1396379962,34049.8966738232,33563.2888196178,226.7008147832,0.0000000000,486.6078542054,6854.5912521855,8550.3227218026,8468.8853219133,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-02,48070.3468589240,0.0000000000,-531.3779744977,4298.8477559259,51837.8166403522,51856.3175690660,78350.7258097659,77040.1990665417,673.5479994690,0.0000000000,1310.5267432242,811.8645377228,8468.8853219133,8424.0406253270,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-03,49583.8146304032,854.6507174683,-1217.9837523522,5270.5075261832,54490.9891217025,54492.6410678926,80662.7780398666,77180.6997491806,812.1300801697,673.3583458130,4155.4366364989,1829.1724600191,8424.0406253270,8420.0364465738,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-04,43943.0458293434,663.6554059075,-23.4689121417,6621.1756586859,51204.4079817951,51250.6367963247,71798.0187801335,72567.2228416387,987.2675916451,834.0462235998,64.8421620946,227.0246606973,8420.0364465738,8307.9816847189,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-05,46461.7520873863,0.0000000000,-1987.9058029847,12339.3224878539,56813.1687722556,56749.2024053047,76171.7117680678,69829.0483340760,1807.8683056496,0.0000000000,6342.6634339918,1496.7147250912,8307.9816847189,8463.0307831724,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-06,43009.6128343896,0.0000000000,-187.9099543524,2280.7133708503,45102.4162508875,45131.0836476395,70708.0428976594,70288.9133144400,338.7209755215,0.0000000000,419.1295832195,484.6187366082,8463.0307831724,8393.5434223407,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-07,17469.7253240508,0.0000000000,-474.4164163511,548.1918337878,17543.5007414874,17520.1978400480,33560.9762712237,32408.4993394886,118.5595431926,0.0000000000,1152.4769317351,8149.7387216023,8393.5434223407,8450.0276973085,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-08,16308.1197981365,75.4830135779,-1.7027887263,0.0000000000,16381.9000229881,16316.4611369416,31748.6246910912,31803.5430790346,0.0000000000,60.2325691355,5.3141811922,8982.4532270171,8450.0276973085,8608.6460583155,0.0000000000,0.0000000000,1222.5408953963,10800.0000000000
2025-03-09,44598.9217270380,0.0000000000,-1287.1917382678,199.0720413165,43510.8020300868,43545.1681170762,73543.0061418684,68976.9075162405,37.2802352620,0.0000000000,4566.0986256279,1655.4423093733,8608.6460583155,8525.3455512040,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-10,42285.3166704902,1188.9761977718,-3.2841706074,5761.0584534312,49232.0671510859,49229.5051663908,70314.7287477371,71486.8283982466,1131.7274236654,1182.8981504694,10.7984999598,360.1564523728,8525.3455512040,8531.5555868238,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-11,38030.6816595496,6285.5523808825,-0.9890205287,3177.1595447467,47492.4045646501,47450.0395934736,62201.6406345156,68562.2973534745,618.7063686667,6364.7697737970,4.1130548380,916.5675417760,8531.5555868238,8634.2447170657,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-12,43752.2797134597,62.2782081697,-1298.1752344931,121.1280231215,42637.5107102579,42686.9335558462,72025.2748014891,67639.8202109346,17.3635354245,35.0660391628,4420.5206297174,1250.3065009920,8634.2447170657,8514.4478923161,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-13,43541.4665287978,926.5395967754,-77.3714873550,1615.0800320435,46005.7146702618,46015.0227987962,71904.8571961856,72505.4496299287,233.8788433873,899.4287714326,298.8363376895,1102.0497797543,8514.4478923161,8491.8857709021,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-14,15775.0438277534,478.4635493863,-3.0756303293,0.0000000000,16250.4317468104,16165.3627093984,31054.1005338518,31402.0784396231,0.0000000000,361.3967095500,13.4188037786,11607.2987222159,8491.8857709021,8698.0859693151,0.0000000000,0.0000000000,1206.7653510931,10800.0000000000
2025-03-15,15409.0270891541,553.9453310322,-7.8012889799,1371.6326124271,17326.8037436336,17463.0459761079,30403.1631872852,30795.9234216076,301.0215967030,416.0265067085,23.2662723861,6873.1229748740,8698.0859693151,8367.8462461079,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-16,41807.4070629012,175.6094159156,-65.4065585118,160.4946050412,42078.1045253461,41893.3796151858,68634.1123966958,68631.0909953724,31.9176587989,194.2551257080,197.2765270314,632.9161833889,8367.8462461079,8815.6039060710,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-17,38208.7015760082,1161.8580034229,-281.0698799931,907.1866038402,39996.6763032783,39968.7930296111,64045.9288254157,63709.1928816168,175.6763962333,921.3317927989,1258.0677365979,1835.4728117934,8815.6039060710,8883.1906184342,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-18,44278.8254685890,125.3199637768,-1259.4643662750,0.0000000000,43144.6810660908,43205.5941355957,72794.0902109223,68023.9331906574,0.0000000000,68.9949231242,4839.1519433892,3265.9805263954,8883.1906184342,8735.5424564241,0.0000000000,0.0000000000,1354.6096041185,10800.0000000000
2025-03-19,36341.9063415539,6195.0665056453,0.0000000000,2298.1493696616,44835.1222168608,44732.5495529870,59291.8555985865,65650.5234999805,467.3418222289,6358.6679013940,0.0000000000,2268.2883815505,8735.5424564241,8984.1699745667,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-20,40983.6627096240,163.6251891098,-859.1449460698,7167.1681522969,47455.3111049609,47616.7011573954,67343.0695417919,64985.2347246306,1345.3273128149,89.8096731339,2447.6444902951,397.3813138191,8984.1699745667,8592.9740489243,0.0000000000,0.0000000000,1200.0000000000,10614.8617510826
