date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23667.1999745067,0.0000000000,-1077.4150908328,0.0000000000,22589.7848836740,22496.2295948828,44974.1577294001,41669.7648322548,0.0000000000,0.0000000000,3304.3928971452,3329.3556907710,8680.5023422815,8907.2725009458,0.0000000000,0.0000000000,1437.3767601906,10800.0000000000
2025-02-02,57246.4160352449,0.0000000000,-1991.3208509956,1062.9160084610,56318.0111927102,56380.8173166316,90871.8708925338,85309.4016895772,152.3675470844,0.0000000000,5562.4692029566,2912.0340516042,8907.2725009458,8755.0357341016,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58561.4248257648,175.2127066055,-2090.5957852228,17.7883286207,56663.8300757682,56565.6096095645,92973.3943304401,87152.0438924264,3.7976790394,91.1669264504,5912.5173644640,2170.8123598023,8755.0357341016,8993.1138908033,0.0000000000,0.0000000000,1353.7385500586,10800.0000000000
2025-02-04,60028.7062999018,0.0000000000,-2480.2589080340,0.0000000000,57548.4473918678,57696.1963662194,94496.2320215478,88069.8685344042,0.0000000000,0.0000000000,6426.3634871436,2616.0156726397,8993.1138908033,8634.9827921864,0.0000000000,0.0000000000,1222.6174035808,10800.0000000000
2025-02-05,56087.2421608016,192.1847989785,-894.5983294274,32.7735406566,55417.6021710092,55353.5427901398,89173.4960180190,87045.1557404919,5.6423415093,151.2066918237,2279.5469693508,1577.7835309008,8634.9827921864,8790.2573485626,0.0000000000,0.0000000000,1204.4652351342,10800.0000000000
2025-02-06,60170.8538664411,471.3908378784,-3059.9881993289,294.1216020891,57876.3781070796,57759.3964984591,94900.3398193543,86671.8981343054,53.8982695455,245.1999014436,8473.6415864925,1728.5972314582,8790.2573485626,9073.8109380011,0.0000000000,0.0000000000,1558.0281424832,10800.0000000000
2025-02-07,22681.3056895499,0.0000000000,-1102.7985967745,244.7630790929,21823.2701718683,22008.3095590697,43793.2962042323,39864.8677907496,53.1503509443,0.0000000000,3928.4284134826,4858.8084150601,9073.8109380011,8625.2910121156,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19225.8828886839,901.9558888558,-0.8832552960,0.0000000000,20126.9555222437,19999.9367759939,37447.6513295125,38028.2929559500,0.0000000000,584.8328449451,4.1912185076,2535.8644819230,8625.2910121156,8933.1737797557,0.0000000000,0.0000000000,1280.2235088771,10800.0000000000
2025-02-09,55639.8990488480,369.1641986426,-857.6668617106,0.0000000000,55151.3963857800,55263.4628126245,88478.6940240913,86480.6871318689,0.0000000000,311.8758022986,2309.8826945209,2837.8101749053,8933.1737797557,8661.5341779243,0.0000000000,0.0000000000,1267.5844989255,10800.0000000000
2025-02-10,52912.1309577170,0.8529278288,-1684.3675338396,185.1982173874,51413.8145690936,51472.0095418789,84810.9453764361,80054.1880595449,40.5440125202,0.6069796675,4757.3642965587,1454.3601248723,8661.5341779243,8520.4744539631,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53672.7027695566,0.0000000000,-2281.3114384718,5225.6281412504,56617.0194723352,56575.5791612283,85639.5335300373,79807.5755899377,985.6525982636,0.0000000000,5831.9579400996,967.8482646607,8520.4744539631,8620.9222858948,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53456.7311715971,642.1170236660,-1929.8889493444,1560.5822988170,53729.5415447356,53743.7137283315,85570.1880940413,80517.2568655005,316.7813404699,332.9413415972,5385.8725701379,1038.4434931876,8620.9222858948,8586.5701037339,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49421.7643947373,66.9652999464,-1164.0713563956,1041.2144323505,49365.8727706385,49352.5191521707,80196.1078473120,76937.9974594450,175.8719714791,60.3164846869,3318.4268725539,1337.1381591681,8586.5701037339,8618.9381528077,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18602.3651150025,2082.8920774327,0.0000000000,0.0000000000,20685.2571924352,20444.3143338466,36399.3647397073,37778.4879500748,0.0000000000,1379.1232103676,0.0000000000,3892.2357252747,8618.9381528077,9202.9633958179,0.0000000000,0.0000000000,1682.8060772295,10800.0000000000
2025-02-15,18387.0421434224,670.3251665798,-142.5668702205,0.0000000000,18914.8004397818,19185.5748717480,35214.7872990994,35307.0172794904,0.0000000000,455.9057027028,363.6757223118,3011.1479888808,9202.9633958179,8546.6289256602,0.0000000000,0.0000000000,1282.9057442321,10800.0000000000
2025-02-16,52682.6619003334,2884.8856178091,-2323.3322644825,1869.5478993819,55113.7631530419,55054.2115802357,84620.5650218729,79705.1869207463,393.5114737653,1494.3101825565,6409.6882836832,226.8259909275,8546.6289256602,8690.9769340780,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-17,51724.7583477550,769.8766365076,-2932.2047932065,1604.2227761778,51166.6529672339,51262.2288559523,83776.9979034219,75330.7523324600,239.4699008366,398.8603728616,8845.1059438234,420.0823191621,8690.9769340780,8459.3090109792,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-18,45863.7848288432,2870.6131083215,-0.0479139447,244.7275035749,48979.0775267949,48927.0039832263,74493.0868880452,76840.1644968580,48.4322515823,2347.3037780112,0.2261691984,489.3242214524,8459.3090109792,8585.5309048972,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-19,46183.8671100501,2707.7072232807,-53.4611332362,3146.3986463633,51984.5118464580,52100.6483772810,74925.4544934367,77453.4635849806,583.6112630388,2679.0345752912,151.0254837473,900.3369108586,8585.5309048972,8304.0257130288,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,48122.8696762919,799.1230854720,-780.9830310432,1625.6969128291,49766.7066435497,49653.4922243271,78780.5986033768,76902.6604679913,342.2011940183,537.0626067971,2415.0007421826,1615.8681340602,8304.0257130288,8578.4479519201,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-21,17336.6201243225,1085.2268344173,0.0000000000,0.0000000000,18421.8469587398,18413.2525769740,34051.8370108649,34848.5177062907,0.0000000000,796.6806954258,0.0000000000,5710.8597877636,8578.4479519201,8599.2800111423,0.0000000000,0.0000000000,1392.7964539150,10800.0000000000
2025-02-22,17455.8649802742,2708.5820426054,-67.7553620588,0.0000000000,20096.6916608208,19803.9544506732,33877.7816363075,35497.8651272123,0.0000000000,1807.9813160995,187.8978251947,3378.4405453471,8599.2800111423,9308.8504100994,0.0000000000,0.0000000000,1288.3186827912,10800.0000000000
2025-02-23,46162.2481405792,3281.4815573637,-886.5473669203,181.6230471720,48738.8053781947,49111.5349963359,75280.1032761131,75086.4690074077,43.0003567205,2366.5440457075,2560.1783144129,261.5531019613,9308.8504100994,8405.3851358546,0.0000000000,0.0000000000,1200.0000000000,10524.4508216001
2025-02-24,45209.8424137355,1526.4488116181,-306.1121840774,315.8809697607,46746.0600110368,46530.2622075290,73132.3298876986,73483.2084619744,69.1439076667,1088.7382743711,737.8597000953,615.0297828709,8405.3851358546,8928.4608782653,0.0000000000,0.0000000000,1550.2579040176,10800.0000000000
2025-02-25,45943.5977778145,952.7836636881,-1608.8317185794,366.2003961289,45653.7501190522,45881.3306536516,75047.2176249838,70382.3581761727,82.2203413544,513.1862947490,5178.0457435600,1068.0121140427,8928.4608782653,8376.8247857808,0.0000000000,0.0000000000,1200.0000000000,10748.5163704569
2025-02-26,41624.9435293222,5691.2410023037,0.0000000000,602.5193129788,47918.7038446047,47749.8042081061,68523.0208666195,74112.3470075435,128.2905303380,5589.3261409240,0.0000000000,683.2180751244,8376.8247857808,8786.2233121712,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-27,42478.9606178896,2710.4993923031,-89.9418258365,1889.8356746931,46989.3538590494,47055.5722566892,69501.7601103261,71132.4558300166,387.2948750935,2014.6539053066,383.9581856161,396.2574990309,8786.2233121712,8625.7154805636,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-28,16845.6069554816,849.6377120153,-8.6570356318,169.9554287609,17856.5430606260,17939.3977744789,32805.2407666009,33503.8197443143,43.7803783516,729.0588708098,30.4798930964,6830.1246877314,8625.7154805636,8424.8826163903,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-01,17607.0038305559,48.9613580849,-200.7161593698,973.7983347615,18429.0473640326,18414.4423053073,34162.7927686943,33704.6227149983,183.2106580698,33.1748512191,491.3449049151,6848.3707119126,8424.8826163903,8460.2840514906,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-02,48074.4267281945,2919.6513532950,-771.6256983357,0.0000000000,50222.4523831538,50011.4775575066,78360.2827769022,78104.2360978421,0.0000000000,1879.7583162592,2135.8049953193,800.6006551275,8460.2840514906,8971.6693008375,0.0000000000,0.0000000000,1716.9147258587,10800.0000000000
2025-03-03,49325.0399903547,2365.9379281369,-1628.3197617693,0.0000000000,50062.6581567224,50279.0890114775,80054.3017337438,76711.3562828021,0.0000000000,1468.3714993190,4811.3169502608,751.9680095810,8971.6693008375,8447.0590953981,0.0000000000,0.0000000000,1211.4916137060,10800.0000000000
2025-03-04,43930.2280862511,2698.3191648577,-31.4850518824,0.0000000000,46597.0621992265,46630.5922524907,71767.9936147732,73600.5900121319,0.0000000000,1903.3807567321,70.7843593734,288.4242292721,8447.0590953981,8365.7850637853,0.0000000000,0.0000000000,1241.3041892494,10800.0000000000
2025-03-05,46434.3340179158,3660.1147837340,-2108.5422228372,21.1537444802,48007.0603232928,47847.0695212292,76107.4857913273,71457.2070681152,4.5597886380,1870.4532308064,6520.7319540185,949.3357251698,8365.7850637853,8753.5893241064,0.0000000000,0.0000000000,1377.2764707358,10800.0000000000
