date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23667.1999745067,0.0000000000,0.0000000000,0.0000000000,23667.1999745067,23411.9468299906,44974.1577294001,44974.1577294001,0.0000000000,0.0000000000,0.0000000000,6274.6361189402,8680.5023422815,9299.2145158999,0.0000000000,0.0000000000,1751.4746474918,10800.0000000000
2025-02-02,57061.4194041866,0.0000000000,0.0000000000,0.0000000000,57061.4194041866,57127.4595686661,90436.3797648071,90436.3797648071,0.0000000000,0.0000000000,0.0000000000,8036.4982594823,9299.2145158999,9139.1387064963,0.0000000000,0.0000000000,1459.4069054107,10800.0000000000
2025-02-03,58380.1282227945,0.0000000000,0.0000000000,0.0000000000,58380.1282227945,58439.4648427461,92546.6132500016,92546.6132500016,0.0000000000,0.0000000000,0.0000000000,8228.4895022445,9139.1387064963,8995.3117257357,0.0000000000,0.0000000000,1407.5863945971,10800.0000000000
2025-02-04,60027.6689218137,0.0000000000,0.0000000000,0.0000000000,60027.6689218137,60027.4844740171,94493.7899827341,94493.7899827341,0.0000000000,0.0000000000,0.0000000000,8945.7412358097,8995.3117257357,8995.7588116957,0.0000000000,0.0000000000,1502.6654080444,10800.0000000000
2025-02-05,55916.9558795932,0.0000000000,0.0000000000,46.0831622888,55963.0390418819,55956.1308244682,88772.6337741198,88772.6337741198,7.9337457672,0.0000000000,0.0000000000,3496.3833550738,8995.7588116957,9012.5037502154,0.0000000000,0.0000000000,1378.6438745927,10800.0000000000
2025-02-06,60065.9535648610,0.0000000000,0.0000000000,13.6986012300,60079.6521660910,60089.8474014392,94653.3993730734,94653.3993730734,2.3450485714,0.0000000000,0.0000000000,10140.3464836555,9012.5037502154,8987.7913564274,0.0000000000,0.0000000000,1472.5811452205,10800.0000000000
2025-02-07,22721.9069320527,0.0000000000,0.0000000000,0.0000000000,22721.9069320527,22842.6867611287,43888.8735170919,43888.8735170919,0.0000000000,0.0000000000,0.0000000000,8662.3810635086,8987.7913564274,8695.0311997659,0.0000000000,0.0000000000,1202.9246305703,10800.0000000000
2025-02-08,19197.1111868232,0.0000000000,0.0000000000,2539.3777906968,21736.4889775200,21675.4842529973,37370.1622321232,37370.1622321232,415.4061493042,0.0000000000,0.0000000000,2453.8619882507,8695.0311997659,8842.9015258378,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-09,55682.5075526973,0.0000000000,0.0000000000,0.0000000000,55682.5075526973,55739.7953492773,88578.9965284445,88578.9965284445,0.0000000000,0.0000000000,0.0000000000,4938.4935604161,8842.9015258378,8704.0407207692,0.0000000000,0.0000000000,1303.1920948560,10800.0000000000
2025-02-10,52892.0678694943,0.0000000000,0.0000000000,31.3223807500,52923.3902502443,52952.0752206441,84763.7158843862,84763.7158843862,6.8847962963,0.0000000000,0.0000000000,6438.2366245702,8704.0407207692,8634.5107628918,0.0000000000,0.0000000000,1291.5739539929,10800.0000000000
2025-02-11,53618.8087388015,0.0000000000,0.0000000000,693.9024917163,54312.7112305178,54312.7300229587,85512.8265201165,85512.8265201165,119.8231152704,0.0000000000,0.0000000000,5995.5045624096,8634.5107628918,8634.4652115941,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53450.3389106670,0.0000000000,0.0000000000,238.2986100718,53688.6375207388,53701.5885373839,85555.1403988198,85555.1403988198,43.6690084950,0.0000000000,0.0000000000,6106.7408107651,8634.4652115941,8603.0730355084,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49413.9750109398,0.0000000000,0.0000000000,87.1547505634,49501.1297615032,49482.8731581228,80177.7712564515,80177.7712564515,19.7271932028,0.0000000000,0.0000000000,4707.3196611566,8603.0730355084,8647.3255080168,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18590.6537539034,0.0000000000,0.0000000000,2431.2537239111,21021.9074778145,21059.4366169208,36367.8232339193,36367.8232339193,403.3116132892,0.0000000000,0.0000000000,3524.8992799010,8647.3255080168,8556.3580283623,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-15,18643.6526642935,0.0000000000,0.0000000000,1540.1061742636,20183.7588385570,20227.8379415417,35796.7321298094,35796.7321298094,296.0243247277,0.0000000000,0.0000000000,3284.5979720370,8556.3580283623,8449.5139866544,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-16,52728.7267530685,0.0000000000,0.0000000000,1044.0346140542,53772.7613671226,53746.7711285334,84728.4705096571,84728.4705096571,182.9175987182,0.0000000000,0.0000000000,5185.4841705015,8449.5139866544,8512.5121410586,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-17,51809.0812017310,0.0000000000,0.0000000000,1314.4232454496,53123.5044471806,53141.3082442752,83975.2921178878,83975.2921178878,194.7808572841,0.0000000000,0.0000000000,9255.5326486627,8512.5121410586,8469.3572329381,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-18,45859.0186222273,0.0000000000,0.0000000000,13275.1971665575,59134.2157887848,59095.6298785746,74481.9221969797,74481.9221969797,1960.7327916074,0.0000000000,0.0000000000,274.7837738354,8469.3572329381,8562.8862369487,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-19,46194.5553933219,0.0000000000,0.0000000000,13303.6982038578,59498.2535971796,59599.6315697355,74950.6152356017,74950.6152356017,2068.3828170789,0.0000000000,0.0000000000,131.5403974074,8562.8862369487,8317.1545501717,0.0000000000,0.0000000000,1200.0000000000,10673.8643496370
2025-02-20,48116.6422312071,0.0000000000,0.0000000000,1699.1731453814,49815.8153765885,49754.1112781255,78766.0110065513,78766.0110065513,278.4647587681,0.0000000000,0.0000000000,3655.3814517892,8317.1545501717,8466.7200999070,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-21,17381.0855748667,0.0000000000,0.0000000000,1172.2131230954,18553.2986979621,18602.6922557783,34152.3920776768,34152.3920776768,218.7729117944,0.0000000000,0.0000000000,5300.0081037631,8466.7200999070,8346.9942662560,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-22,17555.7928409662,0.0000000000,0.0000000000,4087.3001381470,21643.0929791131,21632.6369989631,34104.8388067052,34104.8388067052,804.6427985241,0.0000000000,0.0000000000,3422.5594720370,8346.9942662560,8372.3386835333,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-23,46604.6932684535,0.0000000000,0.0000000000,6568.0181381056,53172.7114065591,53159.0091625549,76320.6718611866,76320.6718611866,1274.1189984756,0.0000000000,0.0000000000,1611.9412268038,8372.3386835333,8405.5517716123,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-24,45209.7633728411,0.0000000000,0.0000000000,1301.4432712630,46511.2066441041,46464.9906753676,73132.1447368568,73132.1447368568,234.7678747807,0.0000000000,0.0000000000,826.8211864216,8405.5517716123,8517.5753963439,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-25,46137.6113826900,0.0000000000,0.0000000000,1404.3529598175,47541.9643425075,47599.6742186326,75503.7570493409,75503.7570493409,268.7245996222,0.0000000000,0.0000000000,6081.2559035738,8517.5753963439,8377.6915059248,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-26,41624.5324150672,0.0000000000,0.0000000000,27186.9260608242,68811.4584758914,68758.5292680239,68522.0578442373,68522.0578442373,4250.2741404522,0.0000000000,0.0000000000,104.1323570000,8377.6915059248,8505.9874582026,0.0000000000,0.0000000000,1200.0000000000,10550.0779267407
2025-02-27,42611.3346368937,0.0000000000,0.0000000000,13376.8493151569,55988.1839520506,55963.3597920467,69813.1332814023,69813.1332814023,2175.0514373778,0.0000000000,0.0000000000,756.4965718313,8505.9874582026,8566.1591361004,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-28,16869.1644675341,0.0000000000,0.0000000000,2844.1463624097,19713.3108299438,19766.9514878725,32858.8414766177,32858.8414766177,675.4550178467,0.0000000000,0.0000000000,6737.4708150425,8566.1591361004,8436.1386886566,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-01,17602.5241389154,0.0000000000,0.0000000000,473.6571894892,18076.1813284046,18058.2241687639,34152.6623036546,34152.6623036546,102.0732984311,0.0000000000,0.0000000000,7206.0576397942,8436.1386886566,8479.6653347020,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-02,48065.2335395246,0.0000000000,0.0000000000,1777.9446109378,49843.1781504624,49860.4535363404,78338.7480177784,78338.7480177784,303.4687444800,0.0000000000,0.0000000000,1720.4031769506,8479.6653347020,8437.7912509687,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
