date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23667.1999745067,0.0000000000,-613.9796728268,0.0000000000,23053.2203016799,22958.7605343661,44974.1577294001,42966.8553516282,0.0000000000,0.0000000000,2007.3023777719,4632.3721852981,8680.5023422815,8909.4648808821,0.0000000000,0.0000000000,1439.5691401269,10800.0000000000
2025-02-02,57245.3812319149,0.0000000000,-1392.1026442245,1062.9160084610,56916.1945961514,56979.9051985954,90869.4349148268,87264.1459324455,152.3675470844,0.0000000000,3605.2889823812,4900.8648790423,8909.4648808821,8755.0357341016,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58561.4248257648,100.1974615503,-840.6691405818,16.0358152251,57836.9889619584,57738.7684957547,92973.3943304401,90717.8760529630,3.4235301505,52.3421742028,2307.8604516799,5925.1279618782,8755.0357341016,8993.1138908033,0.0000000000,0.0000000000,1412.0884732634,10800.0000000000
2025-02-04,60028.7062999018,0.0000000000,-939.9847880564,102.5455435838,59191.2670554291,59339.0160297808,94496.2320215478,92335.5863526175,21.8927292024,0.0000000000,2160.6456689304,6965.5226669761,8993.1138908033,8634.9827921864,0.0000000000,0.0000000000,1222.6174035808,10800.0000000000
2025-02-05,56087.2421608016,0.0000000000,-566.2424108296,718.2305659418,56239.2303159138,56176.4233456833,89173.4960180190,87744.6733232879,154.7978016668,0.0000000000,1428.8226947311,2389.6112484056,8634.9827921864,8787.2216104128,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60172.2867348478,127.8820188662,-869.9770584216,252.0417244108,59682.2334197032,59574.6271898279,94903.7128617429,92659.2545877792,46.7362502780,67.4141089264,2311.8723828901,7782.4950475519,8787.2216104128,9048.0500695771,0.0000000000,0.0000000000,1532.2672740592,10800.0000000000
2025-02-07,22693.4648194460,0.0000000000,-798.9072571119,2075.5140882782,23970.0716506124,24153.3201841093,43821.9193913700,40872.6554957808,424.0856177228,0.0000000000,2949.2638955892,6236.6232143946,9048.0500695771,8603.8710225875,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19234.7198243636,1213.6162538066,-73.3476142785,0.0000000000,20374.9884638917,20239.1327819622,37471.4513178770,37964.1595584863,0.0000000000,661.3601603445,168.6519197353,2449.6707697431,8603.8710225875,8933.1737797557,0.0000000000,0.0000000000,1280.2235088771,10800.0000000000
2025-02-09,55639.8990488480,72.5536271504,-801.2515764724,0.0000000000,54911.2010995261,55023.2675263705,88478.6940240913,85926.0236112986,0.0000000000,49.1836652959,2601.8540780885,2387.7965795505,8933.1737797557,8661.5341779243,0.0000000000,0.0000000000,1267.5844989255,10800.0000000000
2025-02-10,52912.1309577170,0.0000000000,-901.0050790899,185.1982173874,52196.3240960145,52254.5190687998,84810.9453764361,81766.3576176935,40.5440125202,0.0000000000,3044.5877587425,3534.9240941717,8661.5341779243,8520.4744539631,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53672.7027695566,571.9165469811,-465.5683789998,3144.4109493558,56923.4618868937,56882.0215757868,85639.5335300373,84986.5836983313,564.7864001996,454.5675620719,1107.5173937778,5743.3536221251,8520.4744539631,8620.9222858948,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53456.7311715971,0.0000000000,-800.1026720790,582.6492537525,53239.2777532706,53253.4499368665,85570.1880940413,83135.3270113762,106.0370616142,0.0000000000,2434.8610826651,3723.2011954316,8620.9222858948,8586.5701037339,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49421.7643947373,4.4807758959,-874.0656324092,987.4616299293,49539.6411681534,49528.6607555911,80196.1078473120,77541.8691800662,162.2356168204,3.4104166350,2657.6490838808,2210.0275839124,8586.5701037339,8613.1857011109,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18604.7383209081,1779.7574367014,0.0000000000,0.0000000000,20384.4957576094,20141.1796931153,36405.7563527037,37421.6515858201,0.0000000000,1015.8952331164,0.0000000000,3524.8992799010,8613.1857011109,9202.9633958179,0.0000000000,0.0000000000,1682.8060772295,10800.0000000000
2025-02-15,18387.0421434224,662.6114833057,0.0000000000,222.2729527882,19271.9265795163,19542.7010114825,35214.7872990994,35652.9994557892,40.5755664089,438.2121566898,0.0000000000,3382.7167393450,9202.9633958179,8546.6289256602,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-16,52682.6619003334,765.8633674236,-380.3812650666,171.3717553240,53239.5157580144,53177.8813980044,84620.5650218729,83926.7723754085,37.6029809774,455.3932632829,1149.1859097473,4165.6303084195,8546.6289256602,8696.0254352453,0.0000000000,0.0000000000,1356.6371243783,10800.0000000000
2025-02-17,51722.3754552040,86.7978591696,-833.9441614433,1600.2749529395,52575.5041058697,52673.1627817920,83771.3884576804,80586.2039751985,238.4268558098,67.5605523907,3252.7450348726,6111.4220872072,8696.0254352453,8459.3090109792,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-18,45863.7848288432,4269.9545824981,-109.7681837360,244.7275035749,50268.6987311802,50216.6251876115,74493.0868880452,76382.8738038128,48.4322515823,2277.5356244469,387.7487086793,273.0266927924,8459.3090109792,8585.5309048972,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-19,46183.8671100501,2498.7935132123,-17.6274861160,2569.7000233287,51234.7331604752,51350.8696912982,74925.4544934367,76698.9987144774,463.2053395691,1836.1577989890,62.6135779483,142.3471089775,8585.5309048972,8304.0257130288,0.0000000000,0.0000000000,1200.0000000000,10673.8643496370
2025-02-20,48122.8696762919,750.8643606916,-90.4763645094,149.8308326601,48933.0885051341,48819.8740859115,78780.5986033768,78978.6477930875,31.9877951879,471.2016986845,273.1525089738,3508.0943275229,8304.0257130288,8578.4479519201,0.0000000000,0.0000000000,1301.9603245662,10800.0000000000
2025-02-21,17336.6201243225,1004.8633224179,-1.1081586697,0.0000000000,18340.3752880707,18331.7809063049,34051.8370108649,34713.7197268524,0.0000000000,664.5971441843,2.7144281968,5554.8535723308,8578.4479519201,8599.2800111423,0.0000000000,0.0000000000,1392.7964539150,10800.0000000000
2025-02-22,17455.8649802742,2522.7101047742,-2.8643433545,202.0218592078,20177.7326009016,19884.9953907540,33877.7816363075,35511.4168736659,36.8787621774,1642.3150657055,8.6798283471,3414.8835761488,8599.2800111423,9308.8504100994,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-23,46162.2481405792,2570.7357311635,-0.4304718514,1349.5483052951,50082.1017051864,50454.8313233276,75280.1032761131,77354.6523523210,286.8569960794,2075.9209200489,1.3718438410,2660.8587745291,9308.8504100994,8405.3851358546,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-24,45209.8424137355,1296.9738423771,-92.5827755806,356.0363974500,46770.2698779821,46555.4724454819,73132.3298876986,73763.5599576293,77.7168000000,877.1609286137,245.9308586830,877.1876494983,8405.3851358546,8926.0360630028,0.0000000000,0.0000000000,1547.8330887552,10800.0000000000
2025-02-25,45944.7422906184,1221.7888424699,-734.8726898026,343.1171585225,46774.7756018082,47001.3557653999,75049.9118641643,72991.1227714835,76.9489922778,909.7621183478,2968.5512110286,3957.2657034896,8926.0360630028,8376.8247857808,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-26,41624.9435293222,6814.5010721209,0.0000000000,1886.0325269414,50325.4771283845,50164.0923752106,68523.0208666195,72872.2756414181,392.0678206587,4349.2547747986,0.0000000000,104.1323570000,8376.8247857808,8768.0078664609,0.0000000000,0.0000000000,1200.0000000000,10550.0779267407
2025-02-27,42487.5583082649,3419.4955840524,-81.1793988894,3130.5198300681,48956.3943234960,49015.9893451495,69521.9994944486,71046.9330547576,649.3406757601,1806.3967160561,281.4631557472,711.5328863796,8768.0078664609,8623.5545416882,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-28,16846.4617148538,646.5462868902,-60.0568031521,1869.7112722565,19302.6624708484,19384.6256773630,32807.1856115887,33202.4066300510,386.4226306800,529.8438910346,134.6228725723,6860.4333498922,8623.5545416882,8424.8826163903,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-01,17607.0038305559,0.0000000000,-45.5594352328,657.9923072609,18219.4367025840,18204.8316438587,34162.7927686943,34043.2804445131,140.2860086611,0.0000000000,119.5123241812,7149.4485223833,8424.8826163903,8460.2840514906,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-02,48074.4267281945,2114.9878001086,-304.3601559431,437.4080963368,50322.4624686968,50111.4876430495,78360.2827769022,78849.2763322850,91.0038462930,1388.1411525781,899.1475971953,1483.1268202381,8460.2840514906,8971.6693008375,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-03,49325.0399903547,2476.1285122687,-712.1425329566,0.0000000000,51089.0259696668,51307.1806999777,80054.3017337438,79181.4824459223,0.0000000000,1275.8770413681,2148.6963291897,3433.6074324079,8971.6693008375,8442.8805659067,0.0000000000,0.0000000000,1207.3130842146,10800.0000000000
2025-03-04,43932.2101020732,4270.1463698746,-264.1474502645,49.0342799650,47987.2433016483,48019.0494793568,71772.6364253192,73350.5251179511,10.2818762869,2304.9476024580,727.0589098261,160.1755720574,8442.8805659067,8365.7850637853,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-05,46434.3340179158,894.6959374842,-867.1534394465,21.1827410424,46483.0592569960,46322.9675060949,76107.4857913273,73753.0258644902,4.5659791935,482.0422932412,2836.5022200783,3148.9690672225,8365.7850637853,8753.8340156059,0.0000000000,0.0000000000,1377.5211622353,10800.0000000000
2025-03-06,42872.1507805084,1911.7695948269,-180.3425831544,0.0000000000,44603.5777921809,44478.6622483328,70384.9281949555,70913.4174713542,0.0000000000,1024.4951908682,496.0059144696,436.1430370961,8753.8340156059,9056.6187973546,0.0000000000,0.0000000000,1243.8280596802,10800.0000000000
2025-03-07,17207.5012235688,116.5214474936,-108.0301174005,0.0000000000,17215.9925536619,17378.1613943872,32964.2084337112,32780.2465334610,0.0000000000,77.6152269553,261.5771272055,8817.9586787203,9056.6187973546,8663.5351543361,0.0000000000,0.0000000000,1394.4874681196,10800.0000000000
