date,issue,estimated_gain,accepted,history_end,observed_end,up_kwh,down_kwh
2025-02-01,6,1322.3259621872,True,2025-01-31,06:00,0.0000000000,3051.2336360727
2025-02-01,12,4732.3397246861,True,2025-01-31,12:00,0.0000000000,2831.3103892391
2025-02-01,18,8029.7869875246,True,2025-01-31,18:00,0.0000000000,219.8650680740
2025-02-02,6,1939.9569942243,True,2025-02-01,06:00,0.0000000000,4553.7557363836
2025-02-02,12,5324.0328549697,True,2025-02-01,12:00,0.0000000000,3393.3213053506
2025-02-02,18,8125.6804313239,True,2025-02-01,18:00,0.0000000000,717.4234716053
2025-02-03,6,2453.2796552132,True,2025-02-02,06:00,0.0000000000,5823.4211848097
2025-02-03,12,4956.6562184243,True,2025-02-02,12:00,0.0000000000,3753.1002076443
2025-02-03,18,9549.2402185193,True,2025-02-02,18:00,91.1669264504,26.8620312400
2025-02-04,6,2363.8655826055,True,2025-02-03,06:00,0.0000000000,5231.9287039979
2025-02-04,12,5457.2325146545,True,2025-02-03,12:00,0.0000000000,5198.5675163340
2025-02-04,18,8344.3167011624,True,2025-02-03,18:00,0.0000000000,430.4603115563
2025-02-05,6,1387.5322984901,True,2025-02-04,06:00,227.6475582298,404.4778592019
2025-02-05,12,5532.2396890746,True,2025-02-04,12:00,0.0000000000,2328.1845502741
2025-02-05,18,9420.7440360558,True,2025-02-04,18:00,0.0000000000,123.8996637238
2025-02-06,6,2510.0624358424,True,2025-02-05,06:00,0.0000000000,6094.2352394901
2025-02-06,12,4692.0217650905,True,2025-02-05,12:00,0.0000000000,7503.5983634973
2025-02-06,18,3387.7014665799,True,2025-02-05,18:00,245.1999014436,13.5743612965
2025-02-07,6,1042.9876673480,True,2025-02-06,06:00,0.0000000000,3001.9225585213
2025-02-07,12,206.6711954863,True,2025-02-06,12:00,0.0000000000,3305.2665965127
2025-02-07,18,3592.3871987948,True,2025-02-06,18:00,0.0000000000,201.1163101336
2025-02-08,6,3006.8497709484,True,2025-02-07,06:00,522.7232621788,13.5997912481
2025-02-08,12,4891.5820206383,True,2025-02-07,12:00,245.8915966984,40.0254453877
2025-02-08,18,9705.7736026381,True,2025-02-07,18:00,338.9412482467,4.1912185076
2025-02-09,6,3253.3336403056,True,2025-02-08,06:00,410.3875704448,1645.0360617492
2025-02-09,12,5925.8582514003,True,2025-02-08,12:00,399.8134305511,617.9594904550
2025-02-09,18,8042.2565525989,True,2025-02-08,18:00,0.0000000000,68.6968078387
2025-02-10,6,2952.0915939994,True,2025-02-09,06:00,1.9592816939,7450.1449227177
2025-02-10,12,20010.3945321974,True,2025-02-09,12:00,0.0000000000,1763.3801828646
2025-02-10,18,7619.7077565948,True,2025-02-09,18:00,0.0000000000,210.0742040712
2025-02-11,6,2546.1814828381,True,2025-02-10,06:00,0.0000000000,5680.9583494499
2025-02-11,12,3958.6892592012,True,2025-02-10,12:00,0.0000000000,4553.4680457600
2025-02-11,18,8189.5159733136,True,2025-02-10,18:00,0.0000000000,171.5653056814
2025-02-12,6,2822.4612987477,True,2025-02-11,06:00,0.0000000000,6827.9510107572
2025-02-12,12,11914.6121295159,True,2025-02-11,12:00,0.0000000000,2139.2186246650
2025-02-12,18,9867.5342617645,True,2025-02-11,18:00,332.9413415972,40.0329569072
2025-02-13,6,1780.5007655102,True,2025-02-12,06:00,22.8254841061,4226.3893921127
2025-02-13,12,8000.2013133053,True,2025-02-12,12:00,58.8411723405,692.8067254814
2025-02-13,18,1983.8308317581,True,2025-02-12,18:00,0.0000000000,266.1830610031
2025-02-14,6,3115.2103711222,True,2025-02-13,06:00,597.2565210793,2.4955421669
2025-02-14,12,123.9720761280,True,2025-02-13,12:00,735.8229445414,1.3119937142
2025-02-14,18,-1706.8904241939,True,2025-02-13,18:00,717.2602624491,0.0000000000
2025-02-15,6,1288.4675482655,True,2025-02-14,06:00,129.1272967718,751.8251144463
2025-02-15,12,7247.9722609933,True,2025-02-14,12:00,189.6275601939,363.6757223118
2025-02-15,18,8091.7688723648,True,2025-02-14,18:00,244.3784679539,0.0000000000
2025-02-16,6,2828.7097264790,True,2025-02-15,06:00,34.5573855672,6401.9960918757
2025-02-16,12,4225.9502502077,True,2025-02-15,12:00,0.0000000000,4228.1298671983
2025-02-16,18,14685.4334135552,True,2025-02-15,18:00,1485.7776325965,0.0000000000
2025-02-17,6,3783.5407845619,True,2025-02-16,06:00,174.7170338862,7104.6041281276
2025-02-17,12,4664.6759476165,True,2025-02-16,12:00,42.2412095696,4322.4303639116
2025-02-17,18,9139.2752004542,True,2025-02-16,18:00,396.6102660977,33.0191504090
2025-02-18,6,10170.6569456587,True,2025-02-17,06:00,2166.1867943146,2.0336639482
2025-02-18,12,6971.8367538322,True,2025-02-17,12:00,393.6920906956,1.5152081551
2025-02-18,18,10632.8240650712,True,2025-02-17,18:00,673.9006925421,0.2261691984
2025-02-19,6,1107.5513422370,True,2025-02-18,06:00,125.5997076693,152.2446181430
2025-02-19,12,16580.4299952096,True,2025-02-18,12:00,2770.4199589807,0.0000000000
2025-02-19,18,7261.3817961740,True,2025-02-18,18:00,0.0000000000,71.4015921786
2025-02-20,6,6311.9314754939,True,2025-02-19,06:00,934.0631889937,2462.3408031224
2025-02-20,12,780.2688096214,True,2025-02-19,12:00,566.7497918376,528.6943953554
2025-02-20,18,-3362.7733210268,True,2025-02-19,18:00,141.2702154444,1.3893373139
2025-02-21,6,2105.9381514796,True,2025-02-20,06:00,418.8415187573,7.3718901766
2025-02-21,12,3318.6594929842,True,2025-02-20,12:00,212.9617560202,1.0670507096
2025-02-21,18,1923.8629399214,True,2025-02-20,18:00,309.2525621051,0.0000000000
2025-02-22,6,4600.6372095725,True,2025-02-21,06:00,1067.6827999480,121.8877650088
2025-02-22,12,4376.3953941173,True,2025-02-21,12:00,95.4693993172,189.1242550813
2025-02-22,18,12267.7517834222,True,2025-02-21,18:00,1088.3320702236,0.0000000000
2025-02-23,6,8869.3512595032,True,2025-02-22,06:00,1964.1843975486,156.8556190546
2025-02-23,12,5240.3277841643,True,2025-02-22,12:00,117.1540680861,2560.0782768181
2025-02-23,18,10242.0510413672,True,2025-02-22,18:00,642.1901757919,0.1851508418
2025-02-24,6,7379.9326894453,True,2025-02-23,06:00,1407.3452377665,199.9240891078
2025-02-24,12,4853.3269717559,True,2025-02-23,12:00,49.8636526913,694.3968376756
2025-02-24,18,10015.2274738604,True,2025-02-23,18:00,674.5202661124,0.0000000000
2025-02-25,6,3412.7827148125,True,2025-02-24,06:00,484.5588213116,1519.8739297372
2025-02-25,12,5345.7319971686,True,2025-02-24,12:00,33.7846951087,3672.3196996139
2025-02-25,18,9394.5825991647,True,2025-02-24,18:00,471.6145207185,2.9641802200
2025-02-26,6,14574.7218557666,True,2025-02-25,06:00,3156.8609361618,0.5965395872
2025-02-26,12,14829.5303321844,True,2025-02-25,12:00,3456.3307410414,0.2287560516
2025-02-26,18,9356.6479365040,True,2025-02-25,18:00,428.1944906413,0.0000000000
2025-02-27,6,5189.5348750444,True,2025-02-26,06:00,1059.3133201176,388.2213056947
2025-02-27,12,23.6337426560,True,2025-02-26,12:00,954.6048648725,110.4615516134
2025-02-27,18,-1135.6934859726,True,2025-02-26,18:00,704.9075630240,0.0000000000
2025-02-28,6,2442.7672225568,True,2025-02-27,06:00,637.4441907803,390.9024432701
2025-02-28,12,2592.7425522148,True,2025-02-27,12:00,243.2351080139,0.0000000000
2025-02-28,18,1672.1419581820,True,2025-02-27,18:00,0.0000000000,30.4798930964
2025-03-01,6,611.2763657353,True,2025-02-28,06:00,0.0000000000,534.6573921731
2025-03-01,12,3220.1987393927,True,2025-02-28,12:00,0.0000000000,486.6078542054
2025-03-01,18,7276.5004970530,True,2025-02-28,18:00,33.1748512191,32.6388884499
2025-03-02,6,4600.3446011227,True,2025-03-01,06:00,1047.7548572193,369.1177643466
2025-03-02,12,5316.3444140615,True,2025-03-01,12:00,0.0000000000,2302.7676918539
2025-03-02,18,13062.6753721898,True,2025-03-01,18:00,1013.6759809793,0.0000000000
2025-03-03,6,7502.9457806498,True,2025-03-02,06:00,895.7987737782,6177.2876510367
2025-03-03,12,10394.0650110380,True,2025-03-02,12:00,673.3583458130,1513.4893560862
2025-03-03,18,11266.3338606670,True,2025-03-02,18:00,795.0131535061,0.7390638520
2025-03-04,6,7515.6078371025,True,2025-03-03,06:00,1567.6655042142,48.7700236734
2025-03-04,12,4098.5352459528,True,2025-03-03,12:00,0.0000000000,207.7914744136
2025-03-04,18,12867.1257243618,True,2025-03-03,18:00,901.6698548424,5.3972408233
2025-03-05,6,2530.2196105992,True,2025-03-04,06:00,201.8720620628,2903.1108114257
2025-03-05,12,5636.3361295103,True,2025-03-04,12:00,0.0000000000,5447.6401423634
2025-03-05,18,17501.5859718735,True,2025-03-04,18:00,1870.4532308064,0.0000000000
2025-03-06,6,1717.9819806010,True,2025-03-05,06:00,347.3066153179,618.3835206775
2025-03-06,12,-2553.4952316314,True,2025-03-05,12:00,0.0000000000,789.9043885434
2025-03-06,18,1920.5358175309,True,2025-03-05,18:00,881.7349843360,0.0000000000
2025-03-07,6,661.4862096302,True,2025-03-06,06:00,0.0000000000,994.7771290192
2025-03-07,12,1588.2051165880,True,2025-03-06,12:00,0.0000000000,1152.4769317351
2025-03-07,18,-10558.5157096696,True,2025-03-06,18:00,272.7007718699,3.2470590519
2025-03-08,6,599.7699207590,True,2025-03-07,06:00,38.6884503595,115.2289989840
2025-03-08,12,4831.1811996838,True,2025-03-07,12:00,60.2325691355,5.3141811922
2025-03-08,18,6041.0781516561,True,2025-03-07,18:00,0.0000000000,95.1654296183
2025-03-09,6,2870.3096669922,True,2025-03-08,06:00,0.0000000000,8015.6810588120
2025-03-09,12,18084.5226456627,True,2025-03-08,12:00,0.0000000000,2812.9904911940
2025-03-09,18,7953.0810834507,True,2025-03-08,18:00,0.0000000000,275.9411883484
2025-03-10,6,9200.4124064691,True,2025-03-09,06:00,2230.8108823549,0.3794015210
2025-03-10,12,5494.0864556390,True,2025-03-09,12:00,513.0467186659,10.7984999598
2025-03-10,18,9391.7291851005,True,2025-03-09,18:00,299.6014590197,1.0656109038
2025-03-11,6,46816.0579286262,True,2025-03-10,06:00,9832.5898100173,0.4520498870
2025-03-11,12,6351.8013673084,True,2025-03-10,12:00,1573.5361098239,4.1130548380
2025-03-11,18,8420.3167652206,True,2025-03-10,18:00,422.8425758139,2.5988832599
