slope,weekday,fold,train_window,val_block,samples,mae_kw,rmse_kw
0.0500000000,0.0062500000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,173.6598694789,215.5633174374
0.0500000000,0.0062500000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,131.4373180562,162.3391849319
0.0500000000,0.0062500000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,123.1506386691,153.3529228410
0.0500000000,0.0125000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,182.9442987487,229.9029408892
0.0500000000,0.0125000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,132.9309607333,163.8185657556
0.0500000000,0.0125000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,123.5362395385,153.8583302682
0.0500000000,0.0250000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,200.7064150778,259.1167124854
0.0500000000,0.0250000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,137.0340918717,168.6378690839
0.0500000000,0.0250000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,125.6256801315,156.6489995899
0.0500000000,0.0500000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,230.2741882619,302.2022729010
0.0500000000,0.0500000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,147.8613255299,182.6372487699
0.0500000000,0.0500000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,133.8497020266,167.1179881635
0.0500000000,0.1000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,273.4696543830,354.0833265788
0.0500000000,0.1000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,171.3563453703,215.9658332322
0.0500000000,0.1000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,157.4923100005,196.7382466023
0.0500000000,0.2000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,330.7793222977,422.8928192490
0.0500000000,0.2000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,213.7666708776,279.1645838132
0.0500000000,0.2000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,206.1967625048,260.0584609791
0.0500000000,0.4000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,404.9539454348,529.3811494321
0.0500000000,0.4000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,280.7015141482,379.6260992502
0.0500000000,0.4000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,286.8989251003,368.0175689244
0.1000000000,0.0062500000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,166.7177656962,206.8805570452
0.1000000000,0.0062500000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,131.2238348329,162.0743306573
0.1000000000,0.0062500000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,123.1031299879,153.2819951840
0.1000000000,0.0125000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,171.4932097290,213.1454896950
0.1000000000,0.0125000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,132.7179908141,163.5540565156
0.1000000000,0.0125000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,123.4882517116,153.7890130099
0.1000000000,0.0250000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,183.7005508862,230.1537913805
0.1000000000,0.0250000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,136.8162808438,168.3705937715
0.1000000000,0.0250000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,125.5770459490,156.5819364531
0.1000000000,0.0500000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,209.3109373828,264.8740434233
0.1000000000,0.0500000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,147.6464057086,182.3546782079
0.1000000000,0.0500000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,133.8016448122,167.0519887707
0.1000000000,0.1000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,252.2839576998,319.7798459386
0.1000000000,0.1000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,171.0891831534,215.6351374347
