slope,weekday,samples,mae_kw,rmse_kw,worst_block_rmse_kw
1000000.0000000000,0.0062500000,3456,127.6390903237,159.7782717781,179.1601488922
1000000.0000000000,0.0125000000,3456,128.5484640957,160.8407559832,180.4875116105
3.2000000000,0.0062500000,3456,130.2464929884,162.7573873973,181.4270817379
3.2000000000,0.0125000000,3456,131.2310420528,163.9629160329,182.9735477802
1.6000000000,0.0062500000,3456,132.0442597894,164.8686741046,184.0973265390
1000000.0000000000,0.0250000000,3456,131.8827839434,165.0034735598,185.9689267786
1.6000000000,0.0125000000,3456,133.0197026927,166.1201585931,185.7598850534
0.8000000000,0.0062500000,3456,134.0836533788,167.4018562105,188.4293128062
3.2000000000,0.0250000000,3456,134.9169752704,168.5822446853,189.0759618827
0.8000000000,0.0125000000,3456,135.1388290574,168.7165850822,190.2580151477
0.4000000000,0.0062500000,3456,136.2605324027,170.1612716393,194.1075875825
1.6000000000,0.0250000000,3456,136.8607384611,170.9034789442,192.2306168241
0.4000000000,0.0125000000,3456,137.4565178906,171.6092207770,196.2817691280
0.2000000000,0.0062500000,3456,138.3778105860,172.9174298592,200.3562343933
0.8000000000,0.0250000000,3456,139.1837068593,173.7240253214,197.2717656053
0.2000000000,0.0125000000,3456,139.8084222816,174.7604516545,203.5385834674
0.1000000000,0.0062500000,3456,140.3482435057,175.6540383718,206.8805570452
0.4000000000,0.0250000000,3456,141.7312796031,177.0295531281,204.3235634349
1000000.0000000000,0.0500000000,3456,141.8518123283,177.9123692492,202.5329282383
0.1000000000,0.0125000000,3456,142.5664840849,178.7288352995,213.1454896950
0.0500000000,0.0062500000,3456,142.7492754014,179.2007010150,215.5633174374
0.2000000000,0.0250000000,3456,144.6676826249,181.2083092958,214.1360931443
3.2000000000,0.0500000000,3456,145.7021139659,182.7470814267,207.1233109931
1.6000000000,0.0500000000,3456,147.9500290060,185.5276832849,211.2106014026
0.0500000000,0.0125000000,3456,146.4704996735,185.6199257521,229.9029408892
0.1000000000,0.0250000000,3456,148.6979592263,187.8273385827,230.1537913805
0.8000000000,0.0500000000,3456,150.6707418487,188.9414066575,217.5957648269
0.4000000000,0.0500000000,3456,153.8613974001,193.1764175058,226.8619743089
0.2000000000,0.0500000000,3456,157.9283184059,199.1784547879,241.0296880415
0.0500000000,0.0250000000,3456,154.4553956937,200.0992342571,259.1167124854
0.1000000000,0.0500000000,3456,163.5863293012,209.2190674038,264.8740434233
1000000.0000000000,0.1000000000,3456,164.6084745784,209.3878384172,240.7424009542
3.2000000000,0.1000000000,3456,170.3818447015,216.9393003394,248.0177617782
1.6000000000,0.1000000000,3456,173.2250085175,220.6797384530,253.8399479987
0.8000000000,0.1000000000,3456,176.7395871390,225.2093022910,262.5609178730
0.0500000000,0.0500000000,3456,170.6617386061,225.5445265371,302.2022729010
0.4000000000,0.1000000000,3456,180.9913682762,230.8005274773,274.8830098676
0.2000000000,0.1000000000,3456,186.6574637122,238.5100535724,292.9392316949
0.1000000000,0.1000000000,3456,193.6033993661,249.9565466382,319.7798459386
0.0500000000,0.1000000000,3456,200.7727699179,265.0296718991,354.0833265788
1000000.0000000000,0.2000000000,3456,207.4570692250,270.3935213509,311.4392422427
3.2000000000,0.2000000000,3456,216.3265271510,282.5042455964,322.3985391574
1.6000000000,0.2000000000,3456,219.9872346455,287.7655802580,330.6292977561
0.8000000000,0.2000000000,3456,224.3377981031,293.8478328672,342.2976607514
0.4000000000,0.2000000000,3456,229.7476093900,300.7557761225,357.3486152604
0.2000000000,0.2000000000,3456,236.5814326791,308.9252465857,376.2972919256
0.1000000000,0.2000000000,3456,243.8890464981,318.6639980923,399.2132787550
0.0500000000,0.2000000000,3456,250.2475852267,328.8371453850,422.8928192490
1000000.0000000000,0.4000000000,3456,279.3328166242,368.7773413364,421.0747261155
3.2000000000,0.4000000000,3456,291.6820935358,387.3069254857,436.3129791903
1.6000000000,0.4000000000,3456,295.6961855132,394.5714462871,447.3458424664
0.8000000000,0.4000000000,3456,299.8670836172,402.5010940530,462.2034224457
0.4000000000,0.4000000000,3456,305.1942857637,410.5958766949,479.4612253108
0.2000000000,0.4000000000,3456,311.9422197386,418.5152330061,497.5603925731
0.1000000000,0.4000000000,3456,318.8341749413,425.8780017036,514.9073432321
0.0500000000,0.4000000000,3456,324.1847948944,431.9711825430,529.3811494321
