date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,22465.2499745058,0.0000000000,-1069.1618647695,0.0000000000,21396.0881097363,22326.4148519463,42140.8243960645,38875.3590014264,0.0000000000,0.0000000000,3265.4653946381,3291.7632259290,8680.5023422815,6425.4684936712,0.0000000000,0.0000000000,1437.3767601906,10800.0000000000
2025-02-02,57221.2096106944,0.0000000000,-1981.6458595421,1062.9160084610,56302.4797596133,56346.6072281779,90796.0975672811,85279.2615585195,152.3675470844,0.0000000000,5516.8360087616,2831.5878193971,6425.4684936712,6318.5072178615,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58515.1335995178,175.2127066055,-2089.4846759468,17.7883286207,56618.6499587973,56523.5885974491,92847.3149040449,87031.2054206505,3.7976790394,91.1669264504,5907.2764098448,2056.6480423580,6318.5072178615,6548.9279698499,0.0000000000,0.0000000000,1353.7385500586,10800.0000000000
2025-02-04,59985.4149133394,0.0000000000,-2474.6730645555,0.0000000000,57510.7418487839,57654.6602670321,94378.6608226084,87978.6435118117,0.0000000000,0.0000000000,6400.0173107967,2516.4630973892,6548.9279698499,6200.0818173494,0.0000000000,0.0000000000,1222.6174035808,10800.0000000000
2025-02-05,56040.5762502209,192.1847989785,-891.3661891331,32.7735406566,55374.1684007228,55342.9904302927,89045.6082122836,86932.5126429202,5.6423415093,151.2066918237,2264.3022611870,1553.6242881192,6200.0818173494,6275.6545978157,0.0000000000,0.0000000000,1204.4652351342,10800.0000000000
2025-02-06,60161.5468878453,471.3908378784,-3059.6267316678,294.1216020891,57867.4325961450,57753.0235459850,94861.0095424058,86634.2728934941,53.8982695455,245.1999014436,8471.9365503553,1694.9264955637,6275.6545978157,6552.9725217156,0.0000000000,0.0000000000,1558.0281424832,10800.0000000000
2025-02-07,22674.1834953119,0.0000000000,-1095.6396863794,244.7630790929,21823.3068880254,21998.0077932411,43760.8944445489,39866.2322399758,53.1503509443,0.0000000000,3894.6622045731,4832.3288513972,6552.9725217156,6129.5122074302,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19177.5274542521,901.9558888558,-0.5253717670,0.0000000000,20078.9579713409,19950.0865461482,37387.4055569385,37969.7353132294,0.0000000000,584.8328449451,2.5030886541,2475.3795392797,6129.5122074302,6441.8857131490,0.0000000000,0.0000000000,1280.2235088771,10800.0000000000
2025-02-09,55619.1253210504,369.1641986426,-856.3804153023,0.0000000000,55131.9091043907,55249.7259616458,88413.4585425410,86421.5197937542,0.0000000000,311.8758022986,2303.8145510853,2793.7270856571,6441.8857131490,6156.3075512058,0.0000000000,0.0000000000,1267.5844989255,10800.0000000000
2025-02-10,52898.8095328538,0.8529278288,-1681.4586010450,185.1982173874,51403.4020770249,51469.5065024743,84761.1971839059,80018.1605484583,40.5440125202,0.6069796675,4743.6436151151,1437.9562021064,6156.3075512058,5996.0759786111,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53668.9134730562,0.0000000000,-2277.6850566885,5225.6281412504,56616.8565576182,56566.3326143556,85611.0873915408,79796.2337063785,985.6525982636,0.0000000000,5814.8536851623,932.6172879651,5996.0759786111,6118.5417715988,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53442.1964637986,642.1170236660,-1927.2019347267,1560.5822988170,53717.6938515550,53749.9449639594,85517.2775543713,80477.0191343537,316.7813404699,332.9413415972,5373.1997616148,1038.4434931876,6118.5417715988,6040.3677851621,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49428.1828445097,66.9652999464,-1159.8643504944,1041.2144323505,49376.4982263122,49352.8635622934,80191.8882012802,76953.6205874017,175.8719714791,60.3164846869,3298.5840985655,1325.4058860201,6040.3677851621,6097.6562247444,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18564.5899044301,2082.8920774327,0.0000000000,0.0000000000,20647.4819818628,20416.8379764091,36367.4557708882,37746.5789812558,0.0000000000,1379.1232103676,0.0000000000,3893.2421777519,6097.6562247444,6656.7179131588,0.0000000000,0.0000000000,1682.8060772295,10800.0000000000
2025-02-15,18231.1130630632,687.3724449670,-142.5668702205,0.0000000000,18775.9186378097,19048.2327806664,34893.2932065983,35001.9963747819,0.0000000000,472.3788904954,363.6757223118,3020.1685063887,6656.7179131588,5996.6513131831,0.0000000000,0.0000000000,1282.9057442321,10800.0000000000
2025-02-16,52691.0050019472,2884.8856178091,-2323.3322644825,1869.5478993819,55122.1062546557,55058.1961053468,84620.5401468452,79705.1620457186,393.5114737653,1494.3101825565,6409.6882836832,212.9727418510,5996.6513131831,6151.5641447963,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-17,51727.5891300214,769.8766365076,-2929.8707143693,1604.2227761778,51171.8178283375,51271.5667229523,83765.2343359618,75329.9977572790,239.4699008366,398.8603728616,8834.0969515444,421.9793235086,6151.5641447963,5909.7812060586,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-18,45872.0110940821,2870.6131083215,-0.0479139447,244.7275035749,48987.3037920338,48922.8247044154,74492.5622268471,76839.6398356599,48.4322515823,2347.3037780112,0.2261691984,457.0481696593,5909.7812060586,6066.0730963269,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-19,46177.5736105863,2700.9173313457,-52.1540035499,3410.7515740846,52237.0885124667,52360.0413442058,74891.5187251827,77425.6928368359,636.9135974922,2679.0345752912,144.8604636380,953.0991892063,6066.0730963269,5768.0457638054,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,48124.8272258024,799.1230854720,-780.9830310432,1625.6969128291,49768.6641930603,49646.5905135290,78765.0207691801,76887.0826337946,342.2011940183,537.0626067971,2415.0007421826,1566.7800612084,5768.0457638054,6063.9421052493,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-21,17216.1041293454,1103.4674154212,0.0000000000,0.0000000000,18319.5715447666,18328.1133822987,33837.2962352419,34649.8853390088,0.0000000000,812.5891037669,0.0000000000,5722.3964067266,6063.9421052493,6043.2374088344,0.0000000000,0.0000000000,1392.7964539150,10800.0000000000
2025-02-22,17307.3352949275,2734.6821153419,-67.7553620588,0.0000000000,19974.2620482107,19666.0094839571,33575.1744981853,35217.0844422901,0.0000000000,1829.8077692995,187.8978251947,3359.3850999767,6043.2374088344,6790.4157224036,0.0000000000,0.0000000000,1288.3186827912,10800.0000000000
2025-02-23,46153.3552544409,3304.8818263885,-886.5473669203,181.6230471720,48753.3127610812,49125.2876734163,75245.0307068840,75069.2089288727,43.0003567205,2384.3565364015,2560.1783144129,253.8379002946,6790.4157224036,5888.7797916156,0.0000000000,0.0000000000,1200.0000000000,10524.4508216001
2025-02-24,45202.4757933642,1526.4488116181,-306.1121840774,315.8809697607,46738.6933906655,46535.6205019500,73095.2247146356,73446.1032889114,69.1439076667,1088.7382743711,737.8597000953,629.7152416898,5888.7797916156,6381.0114098325,0.0000000000,0.0000000000,1550.2579040176,10800.0000000000
2025-02-25,45949.4945631558,952.7836636881,-1601.4143246267,366.2003961289,45667.0642983461,45896.9288418353,75044.3837010215,70401.6359292212,82.2203413544,513.1862947490,5155.9340665492,1090.9531140427,6381.0114098325,5823.8390717225,0.0000000000,0.0000000000,1200.0000000000,10748.5163704569
