date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23667.1999745067,0.0000000000,0.0000000000,0.0000000000,23667.1999745067,23411.9468299906,44974.1577294001,44974.1577294001,0.0000000000,0.0000000000,0.0000000000,6274.6361189402,8680.5023422815,9299.2145158999,0.0000000000,0.0000000000,1751.4746474918,10800.0000000000
2025-02-02,57061.4194041866,0.0000000000,0.0000000000,0.0000000000,57061.4194041866,57127.4595686661,90436.3797648071,90436.3797648071,0.0000000000,0.0000000000,0.0000000000,8036.4982594823,9299.2145158999,9139.1387064963,0.0000000000,0.0000000000,1459.4069054107,10800.0000000000
2025-02-03,58380.1282227945,10.5498212336,0.0000000000,0.0000000000,58390.6780440281,58447.9001701171,92546.6132500016,92552.2569829107,0.0000000000,5.6437329092,0.0000000000,8228.4895022445,9139.1387064963,9000.4370811795,0.0000000000,0.0000000000,1412.7117500409,10800.0000000000
2025-02-04,60025.2497540442,0.0000000000,0.0000000000,0.0000000000,60025.2497540442,60027.1798001101,94488.0951433521,94488.0951433521,0.0000000000,0.0000000000,0.0000000000,8945.7412358097,9000.4370811795,8995.7588116957,0.0000000000,0.0000000000,1502.6654080444,10800.0000000000
2025-02-05,55916.9558795932,192.1847989785,0.0000000000,32.7735406566,56141.9142192282,56135.0060018145,88772.6337741198,88923.8404659435,5.6423415093,151.2066918237,0.0000000000,3667.1943776695,8995.7588116957,9012.5037502154,0.0000000000,0.0000000000,1378.6438745927,10800.0000000000
2025-02-06,60065.9535648610,48.9970367193,0.0000000000,13.6986012300,60128.6492028103,60131.2167176539,94653.3993730734,94679.9859157410,2.3450485714,26.5865426676,0.0000000000,10149.4133130449,9012.5037502154,9006.2803099803,0.0000000000,0.0000000000,1486.9033115495,10800.0000000000
2025-02-07,22713.1801459757,0.0000000000,0.0000000000,0.0000000000,22713.1801459757,22841.5876955564,43868.3302353664,43868.3302353664,0.0000000000,0.0000000000,0.0000000000,8662.3810635086,9006.2803099803,8695.0311997659,0.0000000000,0.0000000000,1202.9246305703,10800.0000000000
2025-02-08,19197.1111868232,901.9558888558,0.0000000000,0.0000000000,20099.0670756790,20000.8200312899,37370.1622321232,37954.9950770683,0.0000000000,584.8328449451,0.0000000000,2540.0557004306,8695.0311997659,8933.1737797557,0.0000000000,0.0000000000,1280.2235088771,10800.0000000000
2025-02-09,55639.8990488480,369.1641986426,0.0000000000,0.0000000000,56009.0632474907,56103.5933639370,88478.6940240913,88790.5698263898,0.0000000000,311.8758022986,0.0000000000,5257.2932681891,8933.1737797557,8704.0407207692,0.0000000000,0.0000000000,1303.1920948560,10800.0000000000
2025-02-10,52892.0678694943,0.8529278288,0.0000000000,31.3223807500,52924.2431780730,52952.9281484729,84763.7158843862,84764.3228640537,6.8847962963,0.6069796675,0.0000000000,6438.9859821844,8704.0407207692,8634.5107628918,0.0000000000,0.0000000000,1291.5739539929,10800.0000000000
2025-02-11,53618.8087388015,0.0000000000,0.0000000000,693.9024917163,54312.7112305178,54312.7300229587,85512.8265201165,85512.8265201165,119.8231152704,0.0000000000,0.0000000000,5995.5045624096,8634.5107628918,8634.4652115941,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53450.3389106670,0.0000000000,0.0000000000,238.2986100718,53688.6375207388,53701.5885373839,85555.1403988198,85555.1403988198,43.6690084950,0.0000000000,0.0000000000,6106.7408107651,8634.4652115941,8603.0730355084,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49413.9750109398,66.9652999464,0.0000000000,80.6936201423,49561.6339310285,49543.3773276481,80177.7712564515,80238.0877411384,18.2518808564,60.3164846869,0.0000000000,4767.4581290722,8603.0730355084,8647.3255080168,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18590.6537539034,2082.8920774327,0.0000000000,0.0000000000,20673.5458313361,20444.3143338466,36367.8232339193,37746.9464442869,0.0000000000,1379.1232103676,0.0000000000,3892.2357252747,8647.3255080168,9202.9633958179,0.0000000000,0.0000000000,1682.8060772295,10800.0000000000
2025-02-15,18387.0421434224,669.1852563304,0.0000000000,0.0000000000,19056.2273997528,19327.0018317190,35214.7872990994,35670.0714246991,0.0000000000,455.2841255997,0.0000000000,3376.7154656283,9202.9633958179,8546.6289256602,0.0000000000,0.0000000000,1282.9057442321,10800.0000000000
2025-02-16,52682.6619003334,597.4682593480,0.0000000000,170.8568115763,53450.9869712577,53405.6336204490,84620.5650218729,84953.9086254432,37.4930442251,333.3436035703,0.0000000000,5229.3328351965,8546.6289256602,8656.5616370199,0.0000000000,0.0000000000,1317.1733261528,10800.0000000000
2025-02-17,51741.0023679664,4.1558346877,0.0000000000,1301.7088821735,53046.8670848276,53124.0993017560,83815.2371223753,83817.4872291393,192.9582708053,2.2501067639,0.0000000000,9255.5326486627,8656.5616370199,8469.3572329381,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-18,45859.0186222273,2870.6131083215,0.0000000000,244.7275035749,48974.3592341237,48926.3471637243,74481.9221969797,76829.2259749909,48.4322515823,2347.3037780112,0.0000000000,489.3242214524,8469.3572329381,8585.7344571758,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-19,46183.7710333746,2628.9477939665,0.0000000000,2823.8438224934,51636.5626498345,51747.3667825797,74925.2283242382,77532.4152172505,533.1007586084,2607.1868930122,0.0000000000,913.6558600723,8585.7344571758,8317.1545501717,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,48116.6422312071,799.1230854720,0.0000000000,150.8669226916,49066.6322393706,48958.8341948493,78766.0110065513,79303.0736133484,32.2089928889,537.0626067971,0.0000000000,3842.7656938334,8317.1545501717,8578.4479519201,0.0000000000,0.0000000000,1301.9603245662,10800.0000000000
2025-02-21,17336.6201243225,1085.2268344173,0.0000000000,0.0000000000,18421.8469587398,18413.2525769740,34051.8370108649,34848.5177062907,0.0000000000,796.6806954258,0.0000000000,5710.8597877636,8578.4479519201,8599.2800111423,0.0000000000,0.0000000000,1392.7964539150,10800.0000000000
2025-02-22,17455.8649802742,2708.5820426054,0.0000000000,0.0000000000,20164.4470228795,19871.7098127320,33877.7816363075,35685.7629524070,0.0000000000,1807.9813160995,0.0000000000,3566.3383705418,8599.2800111423,9308.8504100994,0.0000000000,0.0000000000,1288.3186827912,10800.0000000000
2025-02-23,46162.2481405792,2499.8818895170,0.0000000000,181.6230471720,48843.7530772682,49216.4139489019,75280.1032761131,77242.1240354056,43.0003567205,1962.0207592925,0.0000000000,2387.6365370968,9308.8504100994,8405.5517716123,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-24,45209.7633728411,1303.5713209288,0.0000000000,315.8809697607,46829.2156635306,46613.4866065303,73132.1447368568,74105.5309471080,69.1439076667,973.3862102512,0.0000000000,1238.9016001732,8405.5517716123,8928.4608782653,0.0000000000,0.0000000000,1550.2579040176,10800.0000000000
2025-02-25,45943.5977778145,381.1309351866,0.0000000000,366.2003961289,46690.9291091300,46918.1520735189,75047.2176249838,75264.5403850685,82.2203413544,217.3227600847,0.0000000000,6112.7778420764,8928.4608782653,8377.6915059248,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-26,41624.5324150672,5691.2410023037,0.0000000000,602.5193129788,47918.2927303497,47749.7506640616,68522.0578442373,74111.3839851613,128.2905303380,5589.3261409240,0.0000000000,683.2180751244,8377.6915059248,8786.2233121712,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-27,42478.9606178896,2673.3779964034,0.0000000000,1889.8356746931,47042.1742889862,47108.3926866261,69501.7601103261,71497.2015342519,387.2948750935,1995.4414239259,0.0000000000,756.4965718313,8786.2233121712,8625.7154805636,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-28,16845.6069554816,849.6377120153,0.0000000000,137.7844740196,17833.0291415165,17911.2401002222,32805.2407666009,33534.2996374107,35.4931669293,729.0588708098,0.0000000000,6839.1779558872,8625.7154805636,8436.1386886566,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-01,17602.5241389154,0.0000000000,0.0000000000,473.6571894892,18076.1813284046,18058.2241687639,34152.6623036546,34152.6623036546,102.0732984311,0.0000000000,0.0000000000,7206.0576397942,8436.1386886566,8479.6653347020,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-03-02,48065.2335395246,2531.9529229293,0.0000000000,0.0000000000,50597.1864624538,50394.2074928693,78338.7480177784,80017.8498475507,0.0000000000,1679.1018297723,0.0000000000,2728.9610350178,8479.6653347020,8971.6693008375,0.0000000000,0.0000000000,1716.9147258587,10800.0000000000
