date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23667.1999745067,0.0000000000,-728.4634432702,0.0000000000,22938.7365312365,22684.3259782179,44974.1577294001,42492.4153452324,0.0000000000,0.0000000000,2481.7423841676,3794.7318686615,8680.5023422815,9297.1721449122,0.0000000000,0.0000000000,1749.4322765042,10800.0000000000
2025-02-02,57062.3834032928,206.6957743339,-1272.5917451129,0.0000000000,55996.4874325138,56061.6850054958,90438.6490659045,86583.5068867967,0.0000000000,155.9206811048,4011.0628602126,4160.2612189920,9297.1721449122,9139.1387064963,0.0000000000,0.0000000000,1459.4069054107,10800.0000000000
2025-02-03,58380.1282227945,47.8848749503,-1821.0792562746,0.0000000000,56606.9338414702,56660.3028603147,92546.6132500016,87226.4985939285,0.0000000000,24.7832077997,5344.8978638728,2807.1056795758,9139.1387064963,9009.7766893671,0.0000000000,0.0000000000,1422.0513582285,10800.0000000000
2025-02-04,60020.8414589796,488.5188667809,-2080.1361012552,0.0000000000,58429.2242245053,58433.9761807737,94477.7178009214,89049.6872355892,0.0000000000,354.4015651049,5782.4321304372,3440.5358818645,9009.7766893671,8998.2583466751,0.0000000000,0.0000000000,1505.1649430238,10800.0000000000
2025-02-05,55915.7760990829,1149.0906428272,-648.8998579543,0.0000000000,56415.9668839557,56406.8294374655,88769.8565130316,88029.3305949046,0.0000000000,965.9122220982,1706.4381402252,2865.2760068552,8998.2583466751,9020.4067491562,0.0000000000,0.0000000000,1386.5468735335,10800.0000000000
2025-02-06,60062.2233493609,104.6392031581,-2732.3546081308,106.3846016088,57540.8925459970,57529.5229640869,94644.6182631391,87060.5258713331,18.2118636667,54.1568735130,7638.2492653190,2378.8237832056,9020.4067491562,9047.9656603307,0.0000000000,0.0000000000,1532.7554491238,10800.0000000000
2025-02-07,22693.5046606103,0.0000000000,-926.2307723277,0.0000000000,21767.2738882826,21913.9413999454,43822.0131794215,40537.7380572678,0.0000000000,0.0000000000,3284.2751221537,5376.6668111233,9047.9656603307,8692.4559363973,0.0000000000,0.0000000000,1200.3493672016,10800.0000000000
2025-02-08,19198.1736260330,784.9445664729,0.0000000000,0.0000000000,19983.1181925059,19909.2711466109,37373.0236358661,37952.5931074749,0.0000000000,579.5694716088,0.0000000000,2588.0365455258,8692.4559363973,8871.4549703469,0.0000000000,0.0000000000,1228.5534445091,10800.0000000000
2025-02-09,55669.0303268890,138.8898926268,-748.6893865639,0.0000000000,55059.2308329519,55127.3938055237,88547.2704789899,86427.7914056628,0.0000000000,127.5226581464,2247.0017314735,2736.6627349204,8871.4549703469,8706.2336525052,0.0000000000,0.0000000000,1305.3850265920,10800.0000000000
2025-02-10,52891.0328057149,61.1841606370,-1488.9194589342,31.3223807500,51494.6198881677,51519.9844892864,84761.2792935684,80507.8142419994,6.8847962963,42.1845766630,4295.6496282320,1809.9863839710,8706.2336525052,8644.7519907578,0.0000000000,0.0000000000,1301.8151818588,10800.0000000000
