date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23214.6042722205,0.0000000000,-959.5733329486,0.0000000000,22255.0309392719,22214.0409369750,44137.5921898633,41357.3361075905,0.0000000000,0.0000000000,2780.2560822728,3136.7433748475,8680.5023422815,8779.8586634967,0.0000000000,0.0000000000,1329.5954289580,10800.0000000000
2025-02-02,56687.2006612349,0.0000000000,-1856.5328852104,1510.7287678181,56341.3965438426,56367.5651737305,90181.3980942551,85021.5949980717,219.6989609173,0.0000000000,5159.8030961834,2568.1827311915,8779.8586634967,8716.4281035747,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58009.3750847803,252.7233926973,-1962.2040073954,61.1319047852,56361.0263748675,56288.5115151778,92199.2864141807,86803.7534932453,13.0512179302,131.9652536627,5527.4981745981,1862.2697893762,8716.4281035747,8892.1980301051,0.0000000000,0.0000000000,1234.4636690996,10800.0000000000
2025-02-04,59448.3889911982,0.0000000000,-2301.6300167433,236.4456145922,57383.2045890472,57513.1204142424,93757.8146190176,87777.7641595952,39.9337268760,0.0000000000,5980.0504594225,2283.6424609992,8892.1980301051,8577.2929865401,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,55540.3258618723,196.8551533128,-715.3204830578,300.6504037872,55322.5109359144,55252.1162260577,88426.3815405325,86797.0695190819,44.8360868962,188.9610958254,1818.2731172760,1319.7852521387,8577.2929865401,8747.9238480295,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,59621.9205534050,735.7999907178,-2949.4698779367,326.6548461587,57734.9055123448,57640.8238143160,94182.8171247508,86418.1163310942,60.1619759345,384.7122484766,8149.4130421332,1522.2232557885,8747.9238480295,8975.9699784520,0.0000000000,0.0000000000,1502.3795078961,10800.0000000000
2025-02-07,22216.9021377157,0.0000000000,-948.6232394409,453.9030759360,21722.1819742109,21876.2713101659,42989.5398034516,39645.0791679781,96.5660625332,0.0000000000,3344.4606354734,4572.0044530442,8975.9699784520,8602.4703760834,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,18988.1508605250,1008.7850429114,-1.5296966738,27.0424308666,20022.4486376293,19931.2864251176,37085.5828157369,37745.3798509924,4.4237577076,667.0811258983,7.2840906429,2335.9498806245,8602.4703760834,8823.4399189343,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-09,55015.0194559777,640.3896839430,-761.9116652205,103.6351397860,54997.1326144861,55101.1555518850,87635.2627052456,86142.5264780223,21.4148155791,526.6961467005,2019.4323739238,2472.0059214898,8823.4399189343,8571.2970596317,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-10,52353.6475708978,1.8966482658,-1508.5398549110,704.0279167838,51551.0322810364,51577.2903115960,84022.5155292670,79798.8145656495,130.8295000546,1.3497354582,4225.0506990757,1182.6535573686,8571.2970596317,8507.6497999937,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53049.2452878295,93.5858493902,-2097.9103545804,6214.1638412920,57259.0846239314,57218.5344818475,84752.9722672823,79453.0241085506,1166.9544159669,49.1286517102,5349.0768104420,815.1635796990,8507.6497999937,8605.9399370135,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,52851.8098175969,825.0675569580,-1847.5006074605,3051.2739437208,54880.6507108153,54903.6005455764,84683.0518695766,80012.7375422817,596.7764759034,427.3671040968,5097.6814313917,853.1248188344,8605.9399370135,8550.3114660063,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,48719.6717861097,210.3584101647,-1009.7126450389,1635.6464193821,49555.9639706176,49544.2373390549,79220.3100845107,76494.3795216714,273.9493866445,189.4352080804,2915.3657709198,979.4896349852,8550.3114660063,8578.7358355363,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18337.0594988369,2100.7872467465,0.0000000000,0.0000000000,20437.8467455834,20232.2918925238,35936.7898936778,37351.0160851546,0.0000000000,1414.2261914768,0.0000000000,3534.9185008750,8578.7358355363,9076.9835267660,0.0000000000,0.0000000000,1612.3406765068,10800.0000000000
2025-02-15,18196.9721891076,770.9273150085,-127.6158902504,19.8366412770,18860.1202551427,19129.5938735054,34942.2276405980,35175.1390234182,4.1393556049,559.4509673223,326.5395845022,2876.2298930898,9076.9835267660,8423.8021194771,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-16,51903.9659759945,3138.0127764078,-2082.6575885238,2635.5215907769,55594.8427546554,55520.9278950017,83529.7318157240,79447.2360334359,556.7905277381,1622.5963673293,5705.0921496174,99.6315770377,8423.8021194771,8602.9655282796,0.0000000000,0.0000000000,1200.0000000000,10753.6010229401
2025-02-17,51074.8259477176,1062.6068054456,-2750.9211308304,2053.1741646459,51439.6857869786,51511.1038159904,82912.1282283513,75135.8017134720,312.5960645082,551.6224398022,8327.9489546815,217.6337889138,8602.9655282796,8429.8542271469,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-18,45242.0143325606,3584.0230025573,-0.4426667528,598.8308641683,49424.4255325334,49372.9879850075,73600.0190489451,76651.3938019097,101.6121000028,3053.4897398389,2.1149868742,342.7209379640,8429.8542271469,8554.5345200994,0.0000000000,0.0000000000,1200.0000000000,10784.6296346116
2025-02-19,45523.9902213658,3110.7140255683,-40.6810582378,4760.1941587484,53354.2173474447,53469.3921063385,73916.1333157062,76963.1516614450,888.3256832272,3170.8082827156,123.7899369768,720.5586067685,8554.5345200994,8275.3605825705,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-20,47366.5781865737,909.5736735467,-534.7023436721,1296.6595147560,49038.1090312042,48950.7743390354,77638.4171312346,76585.7838753605,274.8483507643,647.0025855221,1699.6358413961,1276.4119569120,8275.3605825705,8487.0525377332,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-21,17178.8415970552,1248.3211369704,0.0000000000,0.0000000000,18427.1627340256,18423.3428031226,33810.7484116980,34746.3419149154,0.0000000000,935.5935032174,0.0000000000,5623.1433157454,8487.0525377332,8496.3117292569,0.0000000000,0.0000000000,1325.9726884727,10800.0000000000
2025-02-22,17293.1162499600,2794.3787346351,-54.1348195036,0.0000000000,20033.3601650914,19734.2411642499,33639.5316193747,35381.1759032608,0.0000000000,1891.3614708507,149.7171869646,3244.0507876886,8496.3117292569,9221.3510526003,0.0000000000,0.0000000000,1223.2558217546,10800.0000000000
2025-02-23,45541.1040517210,3905.9741967781,-766.1671429370,539.5419521583,49220.4530577204,49569.9511242300,74450.7800078405,74984.9276030391,114.1002708746,2782.0239243013,2247.8763291028,207.1463838224,9221.3510526003,8374.1971073843,0.0000000000,0.0000000000,1200.0000000000,10454.1361501652
