date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23667.1999745067,0.0000000000,-1059.2313724637,0.0000000000,22607.9686020430,22455.6467124844,44974.1577294001,41669.7648322548,0.0000000000,0.0000000000,3304.3928971452,3193.0953012732,8680.5023422815,9049.7178031023,0.0000000000,0.0000000000,1579.8220623470,10800.0000000000
2025-02-02,57179.1818526270,104.4399929569,-2056.1546213204,1062.9160084610,56290.3832327245,56411.9559574133,90713.5983345821,85083.3387637442,152.3675470844,88.8609116603,5719.1204824982,2843.0718506350,9049.7178031023,8755.0357341016,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58561.4248257648,328.6569821676,-2151.6069601292,17.7883286207,56756.2631764240,56659.3770219907,92973.3943304401,87065.7911932152,3.7976790394,188.0308254705,6095.6339626954,2094.6936897245,8755.0357341016,8989.8796311927,0.0000000000,0.0000000000,1353.7385500586,10800.0000000000
2025-02-04,60030.2328704380,154.0479708979,-2530.8852256344,0.0000000000,57653.3956157015,57799.8102782827,94499.8256433374,88074.8361082688,0.0000000000,95.1786931518,6520.1682282204,2616.0156726397,8989.8796311927,8634.9827921864,0.0000000000,0.0000000000,1222.6174035808,10800.0000000000
2025-02-05,56087.2421608016,613.6224810166,-1045.6237822694,32.7735406566,55688.0144002054,55625.3092756308,89173.4960180190,87021.7402294495,5.6423415093,425.4146346467,2577.1704232163,1557.3744789843,8634.9827921864,8786.9747451007,0.0000000000,0.0000000000,1201.4294969844,10800.0000000000
2025-02-06,60172.4032552751,703.5762588565,-3144.2895428867,294.1216020891,58025.8115733340,57911.1774708709,94903.9871565341,86643.8138061849,53.8982695455,373.8870645493,8634.0604148985,1705.8491853760,8786.9747451007,9064.8381768724,0.0000000000,0.0000000000,1558.0281424832,10800.0000000000
2025-02-07,22685.5408328027,0.0000000000,-1102.8320336020,244.7630790929,21827.4718782935,22008.8095030427,43803.2659388197,39874.7690072479,53.1503509443,0.0000000000,3928.4969315717,4858.7398969710,9064.8381768724,8625.2910121156,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19225.8828886839,1158.8829575492,-104.0335351420,0.0000000000,20280.7323110911,20156.5581178322,37447.6513295125,38003.2286146480,0.0000000000,814.2032123692,258.6259272337,2518.6087205337,8625.2910121156,8926.2788223309,0.0000000000,0.0000000000,1280.2235088771,10800.0000000000
2025-02-09,55643.1534687525,785.8886313116,-999.0365557502,0.0000000000,55430.0055443139,55540.9728996776,88486.3550878966,86462.9509911680,0.0000000000,604.8871804206,2628.2912771492,2816.4781344026,8926.2788223309,8657.3032774151,0.0000000000,0.0000000000,1262.9953706941,10800.0000000000
2025-02-10,52914.1279427574,2825.4516994629,-2652.1495784210,185.1982173874,53272.6282811867,53329.0777724620,84815.6463770019,79996.8583798763,40.5440125202,2840.3098543240,7659.0978514495,1388.7672778867,8657.3032774151,8520.4744539631,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
