date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,26005.6314771311,0.0000000000,-1760.6888990325,0.0000000000,24244.9425780986,24023.2832169353,48900.6431095907,43311.4736631510,0.0000000000,0.0000000000,5589.1694464396,4800.3267691171,8680.5023422815,9217.7860079077,0.0000000000,0.0000000000,1638.3444330198,10800.0000000000
2025-02-02,59991.2600803980,0.0000000000,-2948.0933597034,56.8669865727,57100.0337072673,57242.8813227226,94437.3596585206,86343.0734882939,8.1518042679,0.0000000000,8094.2861702267,4069.3811265198,9217.7860079077,8871.5353913987,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,61245.8070859921,0.0000000000,-3006.4085223373,0.0000000000,58239.3985636548,58070.6484505491,96541.0087754172,88259.7965010225,0.0000000000,0.0000000000,8281.2122743947,3187.3812544591,8871.5353913987,9280.5714856491,0.0000000000,0.0000000000,1604.9881860609,10800.0000000000
2025-02-04,62482.2367910081,0.0000000000,-3330.5165753680,0.0000000000,59151.7202156401,59300.3009000613,97600.7839217305,89059.3673704073,0.0000000000,0.0000000000,8541.4165513232,3701.6752828594,9280.5714856491,8920.4243917114,0.0000000000,0.0000000000,1404.5016915871,10800.0000000000
2025-02-05,58563.6578694269,0.0000000000,-1790.2764485715,11.7978494406,56785.1792702961,56727.6024403677,92379.2734125356,87891.1076459180,2.0311353087,0.0000000000,4488.1657666176,2548.4282316557,8920.4243917114,9059.9857893293,0.0000000000,0.0000000000,1366.8453814640,10800.0000000000
2025-02-06,62677.2548683153,0.0000000000,-3884.8227314595,230.8422085147,59023.2743453705,58930.7478788883,98092.1776374706,87589.5240949005,41.3412714030,0.0000000000,10502.6535425701,2719.7384707228,9059.9857893293,9284.2621691676,0.0000000000,0.0000000000,1660.2684416696,10800.0000000000
2025-02-07,24677.4962637451,0.0000000000,-1748.7380614789,0.0000000000,22928.7582022662,23127.8951280901,47202.6901504598,41029.0152087800,0.0000000000,0.0000000000,6173.6749416798,6130.6258796751,9284.2621691676,8801.5709942644,0.0000000000,0.0000000000,1285.2258251089,10800.0000000000
2025-02-08,20297.8128201410,397.9551570777,-97.6489459894,0.0000000000,20598.1190312293,20440.3089301082,39169.7254409339,39152.1608870925,0.0000000000,217.0633468247,234.6279006662,3606.8878222772,8801.5709942644,9184.0894187433,0.0000000000,0.0000000000,1419.4529738686,10800.0000000000
2025-02-09,58212.6805690325,0.0000000000,-1682.9616792665,0.0000000000,56529.7188897660,56655.4198516177,91880.3130016049,87552.7329801631,0.0000000000,0.0000000000,4327.5800214417,3963.9847700483,9184.0894187433,8879.4008497517,0.0000000000,0.0000000000,1392.9139600836,10800.0000000000
2025-02-10,55420.2933913753,0.0000000000,-2627.0415478603,0.0000000000,52793.2518435150,52868.3115202622,88216.2219410965,80957.0838998929,0.0000000000,0.0000000000,7259.1380412036,2434.9975750557,8879.4008497517,8697.4625005126,0.0000000000,0.0000000000,1272.9335380930,10800.0000000000
