date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-01-01,49315.4596635344,0.0000000000,0.0000000000,101859.4312268089,151174.8908903433,150251.4494511033,80978.2693243544,80978.2693243544,17251.2541516111,0.0000000000,0.0000000000,21.2173000000,6000.0000000000,8238.3444527767,0.0000000000,0.0000000000,1200.0000000000,9676.9842968519
2025-01-02,63656.8348746773,0.0000000000,0.0000000000,3578.1408592364,67234.9757339137,67099.8657039029,99160.5616334063,99160.5616334063,541.4166579788,0.0000000000,0.0000000000,1687.0254172159,8238.3444527767,8565.8398123505,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-03,61636.3657949978,0.0000000000,0.0000000000,0.0000000000,61636.3657949978,60714.6505975820,96113.3825590788,96113.3825590788,0.0000000000,0.0000000000,0.0000000000,46306.6059469238,8565.8398123505,10800.0000000000,0.0000000000,0.0000000000,4883.5783408988,10800.0000000000
2025-01-04,47084.6755947806,0.0000000000,0.0000000000,0.0000000000,47084.6755947806,47120.5227581022,76588.8585108797,76588.8585108797,0.0000000000,0.0000000000,0.0000000000,29571.5797778729,10800.0000000000,10713.1094883130,0.0000000000,0.0000000000,4243.9805545189,10800.0000000000
2025-01-05,41394.6709895455,0.0000000000,0.0000000000,128533.6071580581,169928.2781476036,171178.9183993801,69466.8679770857,69466.8679770857,21996.2320408780,0.0000000000,0.0000000000,0.0000000000,10713.1094883130,7681.6626081654,0.0000000000,0.0000000000,1200.0000000000,10713.1094883130
2025-01-06,47175.1446009710,0.0000000000,0.0000000000,96358.6976937597,143533.8422947307,143437.6368829767,78491.3522968910,78491.3522968910,16314.9716376436,0.0000000000,0.0000000000,0.0000000000,7681.6626081654,7914.8564422040,0.0000000000,0.0000000000,1200.0000000000,9789.5318385623
2025-01-07,59319.7684383515,0.0000000000,0.0000000000,28482.5644876010,87802.3329259526,87548.7000024907,93675.1367463098,93675.1367463098,4298.9251846580,0.0000000000,0.0000000000,260.2279699780,7914.8564422040,8529.6413361325,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-08,80030.7677911251,0.0000000000,0.0000000000,0.0000000000,80030.7677911251,79094.1187112429,119250.9151312043,119250.9151312043,0.0000000000,0.0000000000,0.0000000000,23535.0810273727,8529.6413361325,10800.0000000000,0.0000000000,0.0000000000,2514.0429901489,10800.0000000000
2025-01-09,72345.7381887963,0.0000000000,0.0000000000,0.0000000000,72345.7381887963,72458.7287969620,108073.6535521419,108073.6535521419,0.0000000000,0.0000000000,0.0000000000,13317.4185969767,10800.0000000000,10526.1202603040,0.0000000000,0.0000000000,2326.9164145463,10800.0000000000
2025-01-10,37852.4260922310,0.0000000000,0.0000000000,0.0000000000,37852.4260922310,37891.8453632050,65924.5943649323,65924.5943649323,0.0000000000,0.0000000000,0.0000000000,17608.6067444850,10526.1202603040,10430.5712598284,0.0000000000,0.0000000000,2472.9327510936,10800.0000000000
2025-01-11,32410.8771842075,0.0000000000,0.0000000000,0.0000000000,32410.8771842075,32488.8685624217,58051.8112577667,58051.8112577667,0.0000000000,0.0000000000,0.0000000000,10075.5714671116,10430.5712598284,10241.5267125816,0.0000000000,0.0000000000,2324.1133676258,10800.0000000000
2025-01-12,68843.6741051439,0.0000000000,0.0000000000,0.0000000000,68843.6741051439,69032.7407651279,105232.6813860574,105232.6813860574,0.0000000000,0.0000000000,0.0000000000,10507.7764154529,10241.5267125816,9783.2450158792,0.0000000000,0.0000000000,1867.3206963350,10800.0000000000
2025-01-13,67308.4374279520,0.0000000000,0.0000000000,0.0000000000,67308.4374279520,67499.7703657634,103466.4120886396,103466.4120886396,0.0000000000,0.0000000000,0.0000000000,11404.3029155744,9783.2450158792,9319.4700521566,0.0000000000,0.0000000000,1806.0059858732,10800.0000000000
2025-01-14,65824.7507912272,0.0000000000,0.0000000000,0.0000000000,65824.7507912272,65854.1947492305,101663.9452978378,101663.9452978378,0.0000000000,0.0000000000,0.0000000000,7972.8103922755,9319.4700521566,9248.1003721056,0.0000000000,0.0000000000,1592.6530834236,10800.0000000000
2025-01-15,62841.2852558418,0.0000000000,0.0000000000,0.0000000000,62841.2852558418,62947.9969277474,97800.6713945789,97800.6713945789,0.0000000000,0.0000000000,0.0000000000,3239.9438436690,9248.1003721056,8989.4402462908,0.0000000000,0.0000000000,1261.3562581838,10800.0000000000
2025-01-16,63165.4085235180,0.0000000000,0.0000000000,742.1249276457,63907.5334511637,63761.4238260904,98241.1199222282,98241.1199222282,131.5975488808,0.0000000000,0.0000000000,4332.1746755722,8989.4402462908,9343.5977000101,0.0000000000,0.0000000000,1218.5120789917,10800.0000000000
2025-01-17,28776.0147170217,0.0000000000,0.0000000000,0.0000000000,28776.0147170217,28800.1770031563,53763.4335372056,53763.4335372056,0.0000000000,0.0000000000,0.0000000000,7537.0212709401,9343.5977000101,9285.0303487545,0.0000000000,0.0000000000,1764.0357650667,10800.0000000000
2025-01-18,30491.4412522284,0.0000000000,0.0000000000,0.0000000000,30491.4412522284,30425.7417771935,56920.1704460910,56920.1704460910,0.0000000000,0.0000000000,0.0000000000,9887.0934398457,9285.0303487545,9444.2803555723,0.0000000000,0.0000000000,1888.9156194063,10800.0000000000
2025-01-19,61624.6399640507,0.0000000000,0.0000000000,397.7912158026,62022.4311798533,62105.0010000723,96057.2047683939,96057.2047683939,79.3861286725,0.0000000000,0.0000000000,2926.7154162274,9444.2803555723,9244.1380496280,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-20,62214.9719790513,0.0000000000,0.0000000000,1104.3976260865,63319.3696051377,63315.8962911724,96701.1710976425,96701.1710976425,229.0851371664,0.0000000000,0.0000000000,4201.9680251404,9244.1380496280,9252.5570708206,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-21,62369.3649930595,0.0000000000,0.0000000000,0.0000000000,62369.3649930595,62294.6867792068,97349.2272323239,97349.2272323239,0.0000000000,0.0000000000,0.0000000000,9388.7907128719,9252.5570708206,9433.5707860575,0.0000000000,0.0000000000,1891.5131291221,10800.0000000000
2025-01-22,64421.1655170058,0.0000000000,0.0000000000,0.0000000000,64421.1655170058,64594.4808301106,100100.1471700500,100100.1471700500,0.0000000000,0.0000000000,0.0000000000,7041.0423426899,9433.5707860575,9013.4690306188,0.0000000000,0.0000000000,1429.5375019549,10800.0000000000
2025-01-23,62399.8545986810,0.0000000000,0.0000000000,4799.2396549251,67199.0942536061,67069.9616088678,97524.5250911672,97524.5250911672,999.4635478836,0.0000000000,0.0000000000,4044.9917236741,9013.4690306188,9326.4757105664,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-24,25321.4524050594,0.0000000000,0.0000000000,0.0000000000,25321.4524050594,25320.6830097604,47958.8623678803,47958.8623678803,0.0000000000,0.0000000000,0.0000000000,4309.9204032448,9326.4757105664,9328.3406601196,0.0000000000,0.0000000000,1801.6264067084,10800.0000000000
2025-01-25,24977.3575003265,0.0000000000,0.0000000000,0.0000000000,24977.3575003265,24929.4060921295,47235.4509810525,47235.4509810525,0.0000000000,0.0000000000,0.0000000000,4966.3487905966,9328.3406601196,9444.5708442760,0.0000000000,0.0000000000,1721.5934774109,10800.0000000000
2025-01-26,66130.7573595988,0.0000000000,0.0000000000,0.0000000000,66130.7573595988,66193.5829319337,102764.8212862549,102764.8212862549,0.0000000000,0.0000000000,0.0000000000,10937.7870651662,9444.5708442760,9292.2869361117,0.0000000000,0.0000000000,1602.0209946821,10800.0000000000
2025-01-27,58752.5647434857,0.0000000000,0.0000000000,0.0000000000,58752.5647434857,58774.0645716610,92367.2623480535,92367.2623480535,0.0000000000,0.0000000000,0.0000000000,3860.5716897540,9292.2869361117,9240.1731592259,0.0000000000,0.0000000000,1634.3611539583,10800.0000000000
2025-01-28,62386.1964515505,0.0000000000,0.0000000000,291.5928593194,62677.7893108699,62731.3271654189,98220.4124755853,98220.4124755853,50.0948722222,0.0000000000,0.0000000000,6824.3244330984,9240.1731592259,9110.4018985362,0.0000000000,0.0000000000,1460.7881138224,10800.0000000000
2025-01-29,57288.0105936429,0.0000000000,0.0000000000,291.2784526967,57579.2890463395,57401.8562327448,91158.1334464331,91158.1334464331,50.1302133333,0.0000000000,0.0000000000,5033.0682280262,9110.4018985362,9540.4841291726,0.0000000000,0.0000000000,1906.9946809318,10800.0000000000
2025-01-30,57978.5857209108,0.0000000000,0.0000000000,0.0000000000,57978.5857209108,58231.6611076887,91093.9158953790,91093.9158953790,0.0000000000,0.0000000000,0.0000000000,3571.6725475050,9540.4841291726,8927.0506573166,0.0000000000,0.0000000000,1286.5433466481,10800.0000000000
2025-01-31,24310.7418796211,0.0000000000,0.0000000000,0.0000000000,24310.7418796211,24126.7120125588,46717.7305495159,46717.7305495159,0.0000000000,0.0000000000,0.0000000000,3689.4302941940,8927.0506573166,9373.1235912138,0.0000000000,0.0000000000,1739.8996999058,10800.0000000000
