date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-01-01,49315.4596635344,0.0000000000,0.0000000000,101859.4312268089,151174.8908903433,150251.4494511033,80978.2693243544,80978.2693243544,17251.2541516111,0.0000000000,0.0000000000,21.2173000000,6000.0000000000,8238.3444527767,0.0000000000,0.0000000000,1200.0000000000,9676.9842968519
2025-01-02,63656.8348746773,0.0000000000,0.0000000000,3578.1408592364,67234.9757339137,67099.8657039029,99160.5616334063,99160.5616334063,541.4166579788,0.0000000000,0.0000000000,1687.0254172159,8238.3444527767,8565.8398123505,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-03,61636.3657949978,0.0000000000,0.0000000000,0.0000000000,61636.3657949978,60714.6505975820,96113.3825590788,96113.3825590788,0.0000000000,0.0000000000,0.0000000000,46306.6059469238,8565.8398123505,10800.0000000000,0.0000000000,0.0000000000,4883.5783408988,10800.0000000000
2025-01-04,47084.6755947806,0.0000000000,0.0000000000,0.0000000000,47084.6755947806,47120.5227581022,76588.8585108797,76588.8585108797,0.0000000000,0.0000000000,0.0000000000,29571.5797778729,10800.0000000000,10713.1094883130,0.0000000000,0.0000000000,4243.9805545189,10800.0000000000
2025-01-05,41394.6709895455,0.0000000000,0.0000000000,128533.6071580581,169928.2781476036,171178.9183993801,69466.8679770857,69466.8679770857,21996.2320408780,0.0000000000,0.0000000000,0.0000000000,10713.1094883130,7681.6626081654,0.0000000000,0.0000000000,1200.0000000000,10713.1094883130
2025-01-06,47175.1446009710,0.0000000000,0.0000000000,96358.6976937597,143533.8422947307,143437.6368829767,78491.3522968910,78491.3522968910,16314.9716376436,0.0000000000,0.0000000000,0.0000000000,7681.6626081654,7914.8564422040,0.0000000000,0.0000000000,1200.0000000000,9789.5318385623
2025-01-07,59319.7684383515,0.0000000000,0.0000000000,28482.5644876010,87802.3329259526,87548.7000024907,93675.1367463098,93675.1367463098,4298.9251846580,0.0000000000,0.0000000000,260.2279699780,7914.8564422040,8529.6413361325,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-08,69752.5661117795,0.0000000000,0.0000000000,0.0000000000,69752.5661117795,69470.0432622938,107494.2866935487,107494.2866935487,0.0000000000,0.0000000000,0.0000000000,12680.0092801035,8529.6413361325,9214.4529831488,0.0000000000,0.0000000000,1621.7558869493,10800.0000000000
2025-01-09,63211.2476468517,0.0000000000,0.0000000000,209.8210582467,63421.0687050984,63514.0264633931,98235.2882688763,98235.2882688763,39.8361050805,0.0000000000,0.0000000000,2574.9099063685,9214.4529831488,8989.1311881980,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-10,30868.2407171541,0.0000000000,0.0000000000,0.0000000000,30868.2407171541,31012.4738916108,57581.2571848714,57581.2571848714,0.0000000000,0.0000000000,0.0000000000,8767.7200902545,8989.1311881980,8639.5220930969,0.0000000000,0.0000000000,1281.8344835912,10800.0000000000
2025-01-11,26712.6407867404,0.0000000000,0.0000000000,0.0000000000,26712.6407867404,26656.4087198966,50641.0227995678,50641.0227995678,0.0000000000,0.0000000000,0.0000000000,1568.8293866867,8639.5220930969,8775.8238979970,0.0000000000,0.0000000000,1352.0988373231,10800.0000000000
2025-01-12,63573.7277063126,0.0000000000,0.0000000000,3526.4094544842,67100.1371607967,67084.1293304466,99056.6616959775,99056.6616959775,739.9505690449,0.0000000000,0.0000000000,4180.0326260330,8775.8238979970,8814.6255336424,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-13,63107.1568419068,0.0000000000,0.0000000000,0.0000000000,63107.1568419068,63245.3754313197,98165.1383563529,98165.1383563529,0.0000000000,0.0000000000,0.0000000000,5669.8118196928,8814.6255336424,8479.5952872875,0.0000000000,0.0000000000,1288.1472632268,10800.0000000000
2025-01-14,61566.0144507223,0.0000000000,0.0000000000,1180.3761807567,62746.3906314790,62759.8025732135,96345.9821545221,96345.9821545221,201.3564199143,0.0000000000,0.0000000000,2439.9385287171,8479.5952872875,8447.0858675163,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-15,58864.9873427872,0.0000000000,0.0000000000,20984.4400769892,79849.4274197765,79776.1045254208,92810.3108850707,92810.3108850707,3090.6914873430,0.0000000000,0.0000000000,1041.4205385445,8447.0858675163,8624.8144021785,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-16,59071.4124961052,0.0000000000,0.0000000000,9821.2813803989,68892.6938765041,68884.3371234134,92918.4404172834,92918.4404172834,1626.0056513072,0.0000000000,0.0000000000,742.2726397169,8624.8144021785,8645.0704694599,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-17,25867.2412852581,0.0000000000,0.0000000000,0.0000000000,25867.2412852581,25890.0855358997,49361.2252563651,49361.2252563651,0.0000000000,0.0000000000,0.0000000000,2825.3767665945,8645.0704694599,8589.6979254861,0.0000000000,0.0000000000,1267.1298530906,10800.0000000000
2025-01-18,27648.3630804215,0.0000000000,0.0000000000,0.0000000000,27648.3630804215,27580.0112541427,52790.9135624683,52790.9135624683,0.0000000000,0.0000000000,0.0000000000,5465.3623876396,8589.6979254861,8755.3770088443,0.0000000000,0.0000000000,1467.3960648941,10800.0000000000
2025-01-19,58372.2288116488,0.0000000000,0.0000000000,13907.6481689608,72279.8769806096,72327.2801615690,91990.1818021652,91990.1818021652,2226.8921739944,0.0000000000,0.0000000000,1009.4962920504,8755.3770088443,8640.4756814448,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-20,59060.7585485594,0.0000000000,0.0000000000,6281.6623644136,65342.4209129730,65338.3352027544,92717.9015463211,92717.9015463211,1201.4833770657,0.0000000000,0.0000000000,1062.7493265752,8640.4756814448,8650.3790996962,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-21,59081.8719905041,0.0000000000,0.0000000000,0.0000000000,59081.8719905041,58972.2363768297,93147.9664432085,93147.9664432085,0.0000000000,0.0000000000,0.0000000000,4809.1697920914,8650.3790996962,8916.1266146626,0.0000000000,0.0000000000,1527.5277471504,10800.0000000000
2025-01-22,61069.8085180960,0.0000000000,0.0000000000,1915.3716235416,62985.1801416376,63165.4201846095,95880.9552801440,95880.9552801440,400.4642916928,0.0000000000,0.0000000000,3034.4136637445,8916.1266146626,8479.2398959049,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-23,59043.7438356285,0.0000000000,0.0000000000,11477.8603961097,70521.6042317382,70450.9812267576,93200.6072374452,93200.6072374452,2010.2358370623,0.0000000000,0.0000000000,804.0479034385,8479.2398959049,8650.4241255913,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-24,22830.3943045907,0.0000000000,0.0000000000,2099.4537490012,24929.8480535919,24990.7647644879,43802.2606723461,43802.2606723461,369.7888436139,0.0000000000,0.0000000000,490.4930779005,8650.4241255913,8502.7671371550,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-25,22699.0346655293,0.0000000000,0.0000000000,0.0000000000,22699.0346655293,22550.3161150543,43542.1488438879,43542.1488438879,0.0000000000,0.0000000000,0.0000000000,741.3349798192,8502.7671371550,8863.2484068223,0.0000000000,0.0000000000,1318.3653253184,10800.0000000000
2025-01-26,63145.5147096025,0.0000000000,0.0000000000,42.2835507853,63187.7982603877,63239.7376262578,99111.5603918536,99111.5603918536,7.2384748413,0.0000000000,0.0000000000,7000.6895255758,8863.2484068223,8737.3517483709,0.0000000000,0.0000000000,1258.2584865512,10800.0000000000
2025-01-27,55794.6847085890,0.0000000000,0.0000000000,4731.5797854046,60526.2644939936,60594.7790497127,88579.4032094021,88579.4032094021,678.2654508894,0.0000000000,0.0000000000,716.3175511556,8737.3517483709,8571.2782225234,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-28,59588.9012565304,0.0000000000,0.0000000000,1721.4549525633,61310.3562090938,61271.9755940555,94774.5860383271,94774.5860383271,284.9652108912,0.0000000000,0.0000000000,3129.8457436953,8571.2782225234,8664.3096082881,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-29,54428.9407752305,0.0000000000,0.0000000000,692.6880501421,55121.6288253726,55136.5608161982,87399.0421551181,87399.0421551181,110.0755547812,0.0000000000,0.0000000000,1579.1444091844,8664.3096082881,8628.1157172485,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-30,55336.8686923328,0.0000000000,0.0000000000,8432.2157001216,63769.0843924544,63763.1381025072,87918.4617899314,87918.4617899314,1225.2884727983,0.0000000000,0.0000000000,873.1968798451,8628.1157172485,8642.5290244192,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-01-31,22133.8660048845,0.0000000000,0.0000000000,1288.0811667147,23421.9471715993,23406.2810683523,43080.8215162073,43080.8215162073,210.7117890912,0.0000000000,0.0000000000,503.5842346157,8642.5290244192,8680.5023422815,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
