strategy,block_days,annual_saving,ci_low,ci_high,fraction_positive,daily_win_rate
18,7,1069873.0794070298,760269.5521541121,1446881.6475996778,1.0000000000,0.7155688623
18,14,1069873.0794070298,757398.4484070295,1451422.0849493532,1.0000000000,0.7155688623
18,28,1069873.0794070298,756855.7510679272,1431519.7224426284,1.0000000000,0.7155688623
12,7,852183.0352759856,587457.5901074688,1155168.2585175079,1.0000000000,0.6946107784
12,14,852183.0352759856,596004.7201249750,1170819.4564613760,1.0000000000,0.6946107784
12,28,852183.0352759856,599456.6096830079,1155450.6074551451,1.0000000000,0.6946107784
12+18,7,1221830.9056146340,902875.1900412628,1595857.5229067388,1.0000000000,0.7904191617
12+18,14,1221830.9056146340,891682.7869360666,1635785.3332375521,1.0000000000,0.7904191617
12+18,28,1221830.9056146340,892195.8004924965,1594761.0679601652,1.0000000000,0.7904191617
6,7,563132.4577163656,235979.1126704876,918910.7146220866,1.0000000000,0.6047904192
6,14,563132.4577163656,241650.3282654453,947400.8224647676,1.0000000000,0.6047904192
6,28,563132.4577163656,242884.0281485508,931769.4804313049,1.0000000000,0.6047904192
6+18,7,1265850.5940962704,855848.3624340005,1767476.9538135030,1.0000000000,0.7005988024
6+18,14,1265850.5940962704,834851.0719216630,1809977.0912551936,1.0000000000,0.7005988024
6+18,28,1265850.5940962704,854902.9997993112,1730137.0182899274,1.0000000000,0.7005988024
6+12,7,1100990.3239401560,767841.9122245682,1533241.9392548851,1.0000000000,0.7095808383
6+12,14,1100990.3239401560,740162.6105207638,1547636.1355315454,1.0000000000,0.7095808383
6+12,28,1100990.3239401560,736400.4576735860,1517493.4521865437,1.0000000000,0.7095808383
6+12+18,7,1479164.9587494219,1080156.9556086380,1958331.0334030115,1.0000000000,0.7844311377
6+12+18,14,1479164.9587494219,1056635.4632342558,1966845.7815973188,1.0000000000,0.7844311377
6+12+18,28,1479164.9587494219,1070727.3452621868,1931552.8384398194,1.0000000000,0.7844311377
