alpha0,alpha_update,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
0.4500000000,0.5000000000,862448.9436826612,862720.5093666924,18105.9609803439,3929.9098666139,51329.2575672513,11220.7558084791,787922.0588730506,59827.8490250189,-3406.9251957522,1287959.9868504310,1328068.4886092031,64528.1335772692,64618.8647981129,1357.4938215841
0.4500000000,0.5500000000,859694.1136830091,859947.0977417910,10250.5009022855,2192.5557057118,56952.7442212761,11135.6644231026,787441.5545871793,65362.3391680765,-3360.2809745323,1286845.3863264895,1332662.4661246627,64183.8986083690,64444.3742994345,1402.5341197910
0.4500000000,0.6000000000,860915.8744527169,861105.7378495660,5159.2273055366,1122.2442246482,63682.9994936550,11307.5354066821,786538.8282604407,72582.1550501676,-3364.3361634281,1284751.3795374874,1337126.8436244603,63958.0633061507,64775.0334384209,1555.5333003447
0.4500000000,0.6500000000,865312.9588657769,865418.9345619302,2698.8308972879,568.2248156556,70679.2555201401,11501.1576526147,785427.5556001320,80567.1413526918,-3380.5689843349,1282173.6187852055,1341351.7166527309,64214.4756788015,65243.3113736506,1758.8700378243
0.4500000000,0.7000000000,871868.6285349814,871907.1662437207,1720.6349438367,329.0508368293,78169.8752025030,11659.7546538031,784270.4871908979,89259.5000671456,-3381.9936668988,1279489.6280423752,1345999.7485910750,64712.7032488777,65840.7296484646,1922.3340525636
0.4500000000,0.7500000000,879698.2648529906,879676.5667890455,1049.7694212723,187.0594764388,86400.6694793775,11895.1661855967,783227.5367115827,98815.1283083639,-3394.1695882282,1277070.2330534386,1351575.7363472194,65214.6226266911,66535.5125632400,2068.3405039938
0.4500000000,0.8000000000,890741.0233080634,890641.7820717507,718.2184816996,129.1735401077,96854.4070201016,12240.4659631037,781781.9222658660,111682.2610617499,-3441.3785012520,1273716.3156648539,1358330.2567218519,66005.8614649711,67627.5442832985,2256.2986379307
0.5000000000,0.5000000000,856224.0173825562,856477.5722449358,15816.9429876380,3319.1851529075,37611.3910210470,14874.1361772852,800525.2890436879,44538.5440505354,-4656.7586993053,1306387.2497761333,1329124.5046198950,64129.4501651348,64149.2321159839,1401.1505398346
0.5000000000,0.5500000000,853551.4808847497,853800.1018771891,8893.8756311546,1846.9447432623,41893.6808209621,13855.7378327977,800093.4966591203,48847.5560298967,-4283.4474354218,1305385.6436880610,1333423.5866762258,63688.2190037019,63929.4923721456,1413.1098259810
0.5000000000,0.6000000000,854946.7912266384,855136.3539364809,4325.3376500017,915.2138173310,48317.5572279510,13684.0591356590,799209.3652025182,55587.7451189173,-4175.6567447988,1303334.7704414781,1337968.2685337700,63452.9304010557,64257.3669594351,1556.2621403822
0.5000000000,0.6500000000,859700.3293262917,859806.3050224452,2487.8256783570,498.1915968573,55263.3787143348,13821.6171633468,798091.0454321485,63290.8687380517,-4169.4105222655,1300740.6628785699,1342182.4244295580,63739.1320364813,64725.6448946649,1758.8700378243
0.5000000000,0.7000000000,866490.8857207104,866529.4234294496,1704.1322736188,319.2430847204,62899.6302731648,13893.5944506017,796940.3591683297,71987.6753047434,-4141.2810259816,1298071.4764628457,1347077.5122854090,64245.3520367123,65323.0631694788,1922.3340525636
