date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,-43.7385724273,0.0000000000,23722.8015955303,23457.6533355269,44945.8823612059,44852.8089959720,0.0000000000,0.0000000000,93.0733652339,6119.6721288187,1520.6548179639,2163.3519200460,0.0000000000,0.0000000000,1520.6548179639,10800.0000000000
2025-02-02,57048.2236621388,0.0000000000,-330.1599537509,1011.8026219673,57729.8663303552,57913.8396681988,90195.0383025954,89649.2504731133,145.0405134701,0.0000000000,545.7878294820,7661.5585698062,2163.3519200460,1717.4160082249,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58110.8328215996,175.3214207128,0.0000000000,0.0000000000,58286.1542423124,58191.3477348728,92107.1201333747,92205.4254156708,0.0000000000,98.3052822961,0.0000000000,7465.1640513120,1717.4160082249,1947.2190157543,0.0000000000,0.0000000000,1428.3035259643,10800.0000000000
2025-02-04,59971.0420899314,0.0000000000,-234.1485367951,55.0009960512,59791.8945491875,59975.9025028006,94162.1529313047,93776.3977773042,26.2034283236,0.0000000000,385.7551540005,8674.3506597441,1947.2190157543,1501.1991982166,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,56002.0975358461,0.0000000000,-122.4220457732,149.4114805499,56029.0869706228,55977.1125917017,88856.1564909600,88656.2727612268,22.4282642137,0.0000000000,199.8837297331,3234.7125109340,1501.1991982166,1627.1807253617,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60153.0821152153,0.0000000000,-6.0258418914,22.4047067224,60169.4609800464,60112.9811060174,94661.5407155433,94650.3106161230,3.8354372545,0.0000000000,11.2300994203,9957.3763531901,1627.1807253617,1764.0831940557,0.0000000000,0.0000000000,1484.7228102654,10800.0000000000
2025-02-07,22872.8234433600,0.0000000000,-47.3183879590,89.2405168012,22914.7455722022,23040.1354466987,43933.0043903397,43832.1095170867,19.3063957005,0.0000000000,100.8948732529,8648.1036910845,1764.0831940557,1460.1486746728,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19193.3085648683,842.2127327064,0.0000000000,0.0000000000,20035.5212975748,19924.8876837516,37229.6231406300,37690.0487517489,0.0000000000,460.4256111189,0.0000000000,2236.1838761949,1460.1486746728,1728.3152581386,0.0000000000,0.0000000000,1264.0583646793,10800.0000000000
2025-02-09,55500.8298563267,0.0000000000,-11.4173077840,0.0000000000,55489.4125485427,55596.9455758710,88093.8029069990,88074.6614852871,0.0000000000,0.0000000000,19.1414217118,4552.6817845159,1728.3152581386,1467.6642357969,0.0000000000,0.0000000000,1279.5315920449,10800.0000000000
2025-02-10,52479.2741756161,0.0000000000,-42.8356591952,187.6353726110,52624.0738890319,52705.5165196700,84022.6305372833,83950.7573662977,49.4148179198,0.0000000000,71.8731709856,5776.1608410160,1467.6642357969,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53555.5261345270,0.0000000000,-127.4616138635,2013.0507895689,55441.1153102324,55371.6357623574,85307.5142025036,85095.0125426322,323.4535086745,0.0000000000,212.5016598715,5574.8726917702,1270.2541426802,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53317.9639034264,0.0000000000,-8.0878430380,374.3603278172,53684.2363882057,53724.1310915334,85172.4740136200,85158.4874780115,66.5093392875,0.0000000000,13.9865356085,5788.1892229675,1438.6667284261,1341.9653198752,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
