date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,0.0000000000,0.0000000000,23766.5401679577,23462.7542122199,44945.8823612059,44945.8823612059,0.0000000000,0.0000000000,0.0000000000,6119.6721288187,1520.6548179639,2257.0064478157,0.0000000000,0.0000000000,1520.6548179639,10800.0000000000
2025-02-02,57003.3631433371,0.0000000000,0.0000000000,0.0000000000,57003.3631433371,57070.8405027965,90090.9777161847,90090.9777161847,0.0000000000,0.0000000000,0.0000000000,7701.3856099221,2257.0064478157,2093.4469985471,0.0000000000,0.0000000000,1469.4881158727,10800.0000000000
2025-02-03,57930.7139772353,0.0000000000,0.0000000000,0.0000000000,57930.7139772353,58033.0248470168,91689.3079219055,91689.3079219055,0.0000000000,0.0000000000,0.0000000000,7465.1640513120,2093.4469985471,1845.4540472857,0.0000000000,0.0000000000,1344.3807016006,10800.0000000000
2025-02-04,60019.7875098279,0.0000000000,0.0000000000,0.0000000000,60019.7875098279,60026.1860936816,94275.2251184921,94275.2251184921,0.0000000000,0.0000000000,0.0000000000,8726.4017085641,1845.4540472857,1829.9444176916,0.0000000000,0.0000000000,1510.1148767088,10800.0000000000
2025-02-05,55844.6285757176,0.0000000000,0.0000000000,35.0653826790,55879.6939583966,55883.9025211285,88490.8840248767,88490.8840248767,6.0369084409,0.0000000000,0.0000000000,3234.7125109340,1829.9444176916,1819.7432152710,0.0000000000,0.0000000000,1357.4519811973,10800.0000000000
2025-02-06,60060.8446825487,0.0000000000,0.0000000000,22.4047067224,60083.2493892712,60102.8130448701,94447.5823934218,94447.5823934218,3.8354372545,0.0000000000,0.0000000000,9961.1910250468,1819.7432152710,1772.3225580153,0.0000000000,0.0000000000,1485.9589542619,10800.0000000000
2025-02-07,22868.8767880233,0.0000000000,0.0000000000,0.0000000000,22868.8767880233,22964.3029780472,43923.8495414957,43923.8495414957,0.0000000000,0.0000000000,0.0000000000,8648.1036910845,1772.3225580153,1541.0174919731,0.0000000000,0.0000000000,1239.1536184369,10800.0000000000
2025-02-08,19154.6622556230,0.0000000000,0.0000000000,2431.5141637927,21586.1764194156,21537.1942349395,37139.7688991853,37139.7688991853,397.7611915251,0.0000000000,0.0000000000,2236.1838761949,1541.0174919731,1659.7461912151,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-09,55533.6744393831,0.0000000000,0.0000000000,0.0000000000,55533.6744393831,55606.2213733469,88169.9907591362,88169.9907591362,0.0000000000,0.0000000000,0.0000000000,4556.5206182085,1659.7461912151,1483.8985193394,0.0000000000,0.0000000000,1295.7658755874,10800.0000000000
2025-02-10,52471.4979537992,0.0000000000,0.0000000000,66.0799677284,52537.5779215276,52617.3616388999,84004.5924444584,84004.5924444584,14.5246659476,0.0000000000,0.0000000000,5793.4705351381,1483.8985193394,1290.5094925819,0.0000000000,0.0000000000,1220.2553499017,10800.0000000000
2025-02-11,53545.8238219240,0.0000000000,0.0000000000,740.2991586739,54286.1229805979,54224.9998898546,85285.0082581684,85285.0082581684,128.9755140003,0.0000000000,0.0000000000,5591.0073988711,1290.5094925819,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53317.9639034264,0.0000000000,0.0000000000,294.5242275557,53612.4881309821,53652.3828343098,85172.4740136200,85172.4740136200,53.5300930588,0.0000000000,0.0000000000,5788.1892229675,1438.6667284261,1341.9653198752,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49308.0092234154,0.0000000000,0.0000000000,115.5298474149,49423.5390708303,49393.8999364763,79870.0350400066,79870.0350400066,26.0639545929,0.0000000000,0.0000000000,4359.8680856068,1341.9653198752,1413.8080910000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
