date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,-621.0104334934,0.0000000000,23145.5297344643,22997.5857718220,44945.8823612059,42938.6116859872,0.0000000000,0.0000000000,2007.2706752187,4461.1588502439,1520.6548179639,1879.2585518127,0.0000000000,0.0000000000,1460.4850704494,10800.0000000000
2025-02-02,57184.3043855226,0.0000000000,-1363.2238827810,1016.6094152198,56837.6899179613,56904.4589584437,90510.6976006324,87056.3417937513,146.0667289382,0.0000000000,3454.3558068811,4696.3783244979,1879.2585518127,1717.4160082249,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58110.8328215996,258.4038349578,-721.7966671575,16.8928799177,57664.3328693177,57569.5263618780,92107.1201333747,90266.8024158166,3.6065072412,141.3052637909,1981.6229813489,5480.3923388877,1717.4160082249,1947.2190157543,0.0000000000,0.0000000000,1428.3035259643,10800.0000000000
2025-02-04,59971.0420899314,0.0000000000,-936.9720095415,160.9802325535,59195.0503129434,59379.0582665565,94162.1529313047,92067.9526050240,48.8292260397,0.0000000000,2094.2003262807,6807.9053578203,1947.2190157543,1501.1991982166,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,56002.0975358461,0.0000000000,-538.4271929055,791.0023848629,56254.6727278035,56202.6983488824,88856.1564909600,87525.7252505649,162.3898652065,0.0000000000,1330.4312403951,2207.2998193380,1501.1991982166,1627.1807253617,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60153.0821152153,72.0715481743,-859.2565821969,255.5220758397,59621.4191570324,59548.2919808400,94661.5407155433,92424.2897009355,47.2046078578,38.0063179624,2275.2573325702,7634.2834705722,1627.1807253617,1804.4348556421,0.0000000000,0.0000000000,1522.9355918274,10800.0000000000
2025-02-07,22853.4949974601,0.0000000000,-608.4826098204,277.8956128002,22522.9080004399,22664.9451770997,43888.1692107992,41392.9249938103,60.3915118073,0.0000000000,2495.2442169890,6294.8394634554,1804.4348556421,1460.1486746728,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19193.3085648683,1137.7536389429,-72.8015403504,0.0000000000,20258.2606634609,20147.6270496377,37229.6231406300,37688.1817757857,0.0000000000,619.0609010054,160.5022658498,2236.1838761949,1460.1486746728,1728.3152581386,0.0000000000,0.0000000000,1264.0583646793,10800.0000000000
2025-02-09,55500.8298563267,98.0943050918,-748.7626593391,0.0000000000,54850.1615020794,54959.8673133199,88093.8029069990,85710.4169653368,0.0000000000,68.5871614605,2451.9731031227,2165.7595821516,1728.3152581386,1462.3975901709,0.0000000000,0.0000000000,1274.2649464188,10800.0000000000
2025-02-10,52481.7968988710,78.3085780678,-734.2206490509,187.6353726110,52013.5202004989,52092.7900472248,84028.4823657568,81464.3509823227,49.4148179198,64.4720119684,2628.6033954024,3283.6705848627,1462.3975901709,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53555.5261345270,612.1086253092,-395.9080811269,3052.4285509541,56824.1552296634,56754.6756817884,85307.5142025036,84895.0238797126,542.1584409715,491.6776323538,904.1679551448,5546.6344927431,1270.2541426802,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
