date,issue,estimated_gain,accepted,history_end,observed_end,up_kwh,down_kwh
2025-02-01,6,1344.6118578031,True,2025-01-31,06:00,0.0000000000,3131.6074757165
2025-02-01,12,4736.8535909149,True,2025-01-31,12:00,0.0000000000,2836.0011522698
2025-02-01,18,8044.3083049070,True,2025-01-31,18:00,0.0000000000,93.0733652339
2025-02-02,6,1959.7766530264,True,2025-02-01,06:00,0.0000000000,4567.2078790001
2025-02-02,12,5374.6408701609,True,2025-02-01,12:00,0.0000000000,3314.0151466998
2025-02-02,18,8116.7431663775,True,2025-02-01,18:00,0.0000000000,545.7878294820
2025-02-03,6,2402.2687118601,True,2025-02-02,06:00,0.0000000000,5648.4806629007
2025-02-03,12,6007.3664651469,True,2025-02-02,12:00,0.0000000000,3329.0947578618
2025-02-03,18,9840.4969024408,True,2025-02-02,18:00,187.7525345782,0.0000000000
2025-02-04,6,2366.7666359233,True,2025-02-03,06:00,0.0000000000,5202.1128550007
2025-02-04,12,5472.5371139380,True,2025-02-03,12:00,0.0000000000,5152.8024213456
2025-02-04,18,8359.1139887114,True,2025-02-03,18:00,0.0000000000,364.9168196062
2025-02-05,6,1624.8038073228,True,2025-02-04,06:00,284.4858521449,352.0409501327
2025-02-05,12,5567.0932077704,True,2025-02-04,12:00,0.0000000000,2275.8201105850
2025-02-05,18,9544.8677623202,True,2025-02-04,18:00,0.0000000000,53.0450042763
2025-02-06,6,2484.9504409800,True,2025-02-05,06:00,0.0000000000,5989.8207156223
2025-02-06,12,4704.8962909199,True,2025-02-05,12:00,0.0000000000,7433.7828424944
2025-02-06,18,3101.0862800284,True,2025-02-05,18:00,217.3479930399,6.3028979668
2025-02-07,6,1029.1582453709,True,2025-02-06,06:00,0.0000000000,2942.7129277580
2025-02-07,12,-151.1690398917,True,2025-02-06,12:00,0.0000000000,3329.8342984958
2025-02-07,18,3617.3314331536,True,2025-02-06,18:00,0.0000000000,100.8948732529
2025-02-08,6,3090.7170345618,True,2025-02-07,06:00,537.4711776017,8.1389788129
2025-02-08,12,4884.4217481921,True,2025-02-07,12:00,268.6641531921,13.0016039027
2025-02-08,18,9485.0246870555,True,2025-02-07,18:00,286.3027617708,0.0000000000
2025-02-09,6,3325.6414961086,True,2025-02-08,06:00,428.8625294822,1555.7711484107
2025-02-09,12,6049.1430501666,True,2025-02-08,12:00,478.3249014011,599.8722549689
2025-02-09,18,8041.5255758223,True,2025-02-08,18:00,0.0000000000,28.1325944155
2025-02-10,6,2930.2656963702,True,2025-02-09,06:00,11.7334596966,7266.8907616544
2025-02-10,12,21026.7364564189,True,2025-02-09,12:00,0.0000000000,1351.5336752262
2025-02-10,18,7598.2653026252,True,2025-02-09,18:00,0.0000000000,69.4321832152
2025-02-11,6,2474.7181025298,True,2025-02-10,06:00,0.0000000000,5467.8033056081
2025-02-11,12,3805.5674185360,True,2025-02-10,12:00,0.0000000000,4484.3292171405
2025-02-11,18,8140.7292021806,True,2025-02-10,18:00,0.0000000000,110.7977980175
2025-02-12,6,2770.5013705083,True,2025-02-11,06:00,0.0000000000,6652.4471616909
2025-02-12,12,11873.3565940002,True,2025-02-11,12:00,6.3144703882,2022.2976239687
2025-02-12,18,9868.1463841451,True,2025-02-11,18:00,347.7303574249,4.7227486146
2025-02-13,6,1758.8659200676,True,2025-02-12,06:00,31.4991287184,4053.4630203658
2025-02-13,12,7442.8702472477,True,2025-02-12,12:00,73.7504933710,651.1166118559
2025-02-13,18,1927.4668140433,True,2025-02-12,18:00,0.0000000000,206.0983394343
2025-02-14,6,3250.7315846917,True,2025-02-13,06:00,613.3377847195,0.0000000000
2025-02-14,12,-269.8487646478,True,2025-02-13,12:00,748.6406710994,0.0000000000
2025-02-14,18,-1733.7052509919,True,2025-02-13,18:00,835.5836839145,0.0000000000
2025-02-15,6,1631.1232852981,True,2025-02-14,06:00,200.5535535515,778.5672525019
2025-02-15,12,7282.5911070676,True,2025-02-14,12:00,207.3511537778,390.6581875946
2025-02-15,18,8015.0023984478,True,2025-02-14,18:00,249.8936592962,0.0000000000
2025-02-16,6,2790.8687212725,True,2025-02-15,06:00,40.4483531226,6269.3421898893
2025-02-16,12,4218.1722181587,True,2025-02-15,12:00,0.0000000000,4185.3446891126
2025-02-16,18,14870.8163858326,True,2025-02-15,18:00,1584.1219692150,0.0000000000
2025-02-17,6,3818.8028470364,True,2025-02-16,06:00,183.5937455083,7054.0696530803
2025-02-17,12,4694.3574374834,True,2025-02-16,12:00,94.3076735784,4151.4655448182
2025-02-17,18,9734.0180623593,True,2025-02-16,18:00,563.6750450938,0.0000000000
2025-02-18,6,10498.1325973560,True,2025-02-17,06:00,2254.2130572321,0.0000000000
2025-02-18,12,6873.8677467136,True,2025-02-17,12:00,387.3358687823,33.1180694015
2025-02-18,18,10866.8568407822,True,2025-02-17,18:00,752.0525774621,0.0000000000
2025-02-19,6,1636.6397324512,True,2025-02-18,06:00,236.4146107908,135.6594006718
2025-02-19,12,15933.7105984632,True,2025-02-18,12:00,2725.3346441903,0.0000000000
2025-02-19,18,7260.1486020240,True,2025-02-18,18:00,0.0000000000,57.4787533886
2025-02-20,6,6331.5274268933,True,2025-02-19,06:00,940.7216921783,2413.9735536445
2025-02-20,12,485.5433063099,True,2025-02-19,12:00,621.5070611125,509.9116852273
2025-02-20,18,-3550.0519198756,True,2025-02-19,18:00,205.1029622249,0.0000000000
2025-02-21,6,1998.7383657199,True,2025-02-20,06:00,392.5454784124,17.1055669523
2025-02-21,12,3083.2613973020,True,2025-02-20,12:00,171.2164536107,0.0000000000
2025-02-21,18,1623.7463893546,True,2025-02-20,18:00,244.1317992093,0.0000000000
2025-02-22,6,4457.2149967296,True,2025-02-21,06:00,1007.3135773019,131.0211653125
2025-02-22,12,4331.2302040787,True,2025-02-21,12:00,50.2451929909,206.6680549615
2025-02-22,18,12370.2076337495,True,2025-02-21,18:00,1256.9922368185,0.0000000000
2025-02-23,6,8833.2162773996,True,2025-02-22,06:00,1972.0053419453,150.8814229868
2025-02-23,12,5316.7061534045,True,2025-02-22,12:00,139.9548618200,2584.4566888565
2025-02-23,18,10069.2214991278,True,2025-02-22,18:00,649.9507154131,0.0000000000
2025-02-24,6,7706.3500470455,True,2025-02-23,06:00,1475.8798247858,190.5691413482
2025-02-24,12,4781.5005353314,True,2025-02-23,12:00,86.4091515940,479.5379940915
2025-02-24,18,10605.4536526038,True,2025-02-23,18:00,925.3938559862,0.0000000000
2025-02-25,6,3279.8806211455,True,2025-02-24,06:00,465.5504328949,1452.6774802683
2025-02-25,12,5260.5042283120,True,2025-02-24,12:00,35.5169126245,3717.0873658190
2025-02-25,18,9199.6673053781,True,2025-02-24,18:00,438.6239523406,0.0000000000
2025-02-26,6,14641.1728709916,True,2025-02-25,06:00,3193.0314536412,0.0000000000
2025-02-26,12,14449.4299557728,True,2025-02-25,12:00,3410.1748280962,0.0000000000
