date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,-1185.3061467337,0.0000000000,22581.2340212239,22527.1859317682,44945.8823612059,41431.3361905055,0.0000000000,0.0000000000,3514.5461707005,3154.0741791939,1520.6548179639,1651.6628451929,0.0000000000,0.0000000000,1243.3054736963,10800.0000000000
2025-02-02,57293.3227289935,0.0000000000,-1961.6491506379,1013.6919571953,56345.3655355509,56323.6274030487,90763.5817190989,85367.6451091685,145.4438728270,0.0000000000,5395.9366099304,2732.3021432021,1651.6628451929,1704.3542517429,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58117.0894029545,348.1469292096,-1958.8820253982,16.4618140000,56522.8161207659,56422.6209131243,92121.6331961324,86770.2066613760,3.5144777967,187.7525345782,5539.1790693347,1764.0573503553,1704.3542517429,1947.2190157543,0.0000000000,0.0000000000,1279.8919674539,10800.0000000000
2025-02-04,59971.0420899314,0.0000000000,-2476.2906703255,72.8733275849,57567.6247471908,57751.6327008038,94162.1529313047,87806.5026034286,34.7181170009,0.0000000000,6355.6503278761,2474.4171799531,1947.2190157543,1501.1991982166,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-05,56002.0975358461,231.3998047104,-872.5047375597,89.3151981097,55450.3078011066,55400.3178470852,88856.1564909600,86832.5292979210,12.8032107382,183.7082638447,2207.3354568836,1410.9060609904,1501.1991982166,1622.3706461541,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60155.3861431558,418.5865656753,-3040.3708715093,285.7538500510,57819.3556873729,57734.1320756484,94666.8852479963,86475.4243407014,52.4471734363,217.3479930399,8408.8089003349,1608.6541170531,1622.3706461541,1828.9455197120,0.0000000000,0.0000000000,1550.2127453898,10800.0000000000
2025-02-07,22841.7543893706,0.0000000000,-1319.9708471120,2303.7570432531,23825.5405855118,23988.8836446882,43860.9351396104,39553.8792965183,470.8588262543,0.0000000000,4307.0558430921,4918.1995945940,1828.9455197120,1433.0156698364,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19206.2764429079,835.4639640788,0.0000000000,0.0000000000,20041.7404069867,19919.9129212793,37259.7709237816,37814.7378387445,0.0000000000,554.9669149629,0.0000000000,2330.7251800389,1433.0156698364,1728.3152581386,0.0000000000,0.0000000000,1264.0583646793,10800.0000000000
2025-02-09,55500.8298563267,425.2655412876,-805.9297905191,0.0000000000,55120.1656070951,55229.8714183356,88093.8029069990,86275.2477486550,0.0000000000,357.7486466744,2176.3038050183,2628.1391980751,1728.3152581386,1462.3975901709,0.0000000000,0.0000000000,1274.2649464188,10800.0000000000
2025-02-10,52481.7968988710,7.7737075814,-1500.7429986114,195.3492098608,51184.1768177018,51263.4466644277,84028.4823657568,79757.8935522864,51.4018960367,5.5321004707,4276.1209139411,1203.0174415372,1462.3975901709,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
