date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,25983.6235012910,0.0000000000,-1106.5565589386,0.0000000000,24877.0669423524,22846.9241873530,50279.2156945393,46866.9233510831,0.0000000000,0.0000000000,3412.2923434561,3316.2070207394,1520.6548179639,6441.5502650402,0.0000000000,0.0000000000,1459.0442974103,10800.0000000000
2025-02-02,57224.5800393684,0.0000000000,-1981.2061249900,1013.6919571953,56257.0658715737,56309.4965805880,90774.8179192685,85272.5132241692,145.4438728270,0.0000000000,5502.3046950993,2836.9247465317,6441.5502650402,6314.4626320943,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58133.9101601719,346.7792384614,-1961.6110429870,16.4618140000,56535.5401696463,56436.0841145319,92332.6238846309,86965.9300662137,3.5144777967,185.3897622741,5552.0835806913,1964.0705181482,6314.4626320943,6555.5357524901,0.0000000000,0.0000000000,1279.8919674539,10800.0000000000
2025-02-04,59989.7656946291,0.0000000000,-2487.0152950290,0.0000000000,57502.7503996001,57657.2053459276,94375.1343349316,87958.8414536693,0.0000000000,0.0000000000,6416.2928812623,2522.0772425419,6555.5357524901,6181.1499413005,0.0000000000,0.0000000000,1208.2339479993,10800.0000000000
2025-02-05,55984.9785519224,231.3998047104,-879.5180771334,89.3151981097,55426.1754776091,55386.6240311943,88989.5445542000,86927.5808943929,12.8032107382,183.7082638447,2245.6719236519,1534.8329877910,6181.1499413005,6277.0193239380,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60150.7277174268,418.5865656753,-3042.0177205079,285.7538500510,57813.0504126453,57704.5887688253,94828.3867171252,86626.4516439313,52.4471734363,217.3479930399,8419.2830662338,1697.5300445359,6277.0193239380,6539.9212346247,0.0000000000,0.0000000000,1550.2127453898,10800.0000000000
2025-02-07,22811.2366806108,0.0000000000,-1125.5549141020,277.8956128002,21963.5773793090,22132.8246987479,43959.8510119297,39994.9395546180,60.3915118073,0.0000000000,3964.9114573117,4970.9815459886,6539.9212346247,6129.6799540025,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-08,19188.2819060866,835.4639640788,-0.9947533201,0.0000000000,20022.7511168453,19902.8520945040,37374.5883858193,37924.7364393313,0.0000000000,554.9669149629,4.8188614509,2449.1836863521,6129.6799540025,6420.3051091523,0.0000000000,0.0000000000,1264.0583646793,10800.0000000000
2025-02-09,55478.8880398308,425.2655412876,-808.9397780844,0.0000000000,55095.2138030339,55205.1639595992,88213.8141836504,86380.8045330755,0.0000000000,357.7486466744,2190.7582972493,2733.1991520029,6420.3051091523,6153.7951686492,0.0000000000,0.0000000000,1274.2649464188,10800.0000000000
2025-02-10,52459.0976193795,7.7737075814,-1504.7855389812,157.8529099267,51119.9386979064,51191.0737237018,84149.1517230030,79857.3890384324,35.2630181173,5.5321004707,4297.2947850413,1269.0073655855,6153.7951686492,5981.3698435324,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53522.7688065957,0.0000000000,-2214.3225657817,5174.5516955331,56482.9979363471,56428.2594550561,85406.2745348900,79753.7044328564,972.2035745930,0.0000000000,5652.5701020336,860.9934098801,5981.3698435324,6114.0513225571,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53302.7935319846,671.0657536748,-1873.8206796741,1511.4988379239,53611.5374439093,53645.4078352891,85310.9355756967,80435.7697731387,311.2636519059,347.7303574249,5222.8961599829,995.6475823766,6114.0513225571,6031.9523399505,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49285.5523824525,89.8855199161,-1118.7369037929,1087.5108104491,49344.2118090248,49315.3493409142,79992.2716843674,76882.3915604019,180.5224754223,79.3713399091,3189.2514638746,1239.9543684056,6031.9523399505,6101.9125373638,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18592.0420773154,2058.3179581335,0.0000000000,0.0000000000,20650.3600354489,20410.3249075229,36361.4572526574,37724.9169405041,0.0000000000,1363.4596878467,0.0000000000,3848.4591863652,6101.9125373638,6683.7375175236,0.0000000000,0.0000000000,1700.9808967292,10800.0000000000
2025-02-15,18292.8234804927,629.3022081565,-148.7891387537,0.0000000000,18773.3365498955,19055.2098866428,34956.0016174360,35006.0208841263,0.0000000000,440.6774542850,390.6581875946,3050.6590296424,6683.7375175236,6000.5002348074,0.0000000000,0.0000000000,1292.6767426670,10800.0000000000
2025-02-16,52617.5450716821,2926.8556215635,-2305.8341958991,1838.8861562159,55077.4526535624,55020.3041336332,84507.3989474248,79660.5303914417,386.9426134825,1512.8592598909,6359.7278158740,174.9324893392,6000.5002348074,6139.0234449780,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
