date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,0.0000000000,0.0000000000,23766.5401679577,23462.7542122199,44945.8823612059,44945.8823612059,0.0000000000,0.0000000000,0.0000000000,6119.6721288187,1520.6548179639,2257.0064478157,0.0000000000,0.0000000000,1520.6548179639,10800.0000000000
2025-02-02,57003.3631433371,0.0000000000,0.0000000000,0.0000000000,57003.3631433371,57070.8405027965,90090.9777161847,90090.9777161847,0.0000000000,0.0000000000,0.0000000000,7701.3856099221,2257.0064478157,2093.4469985471,0.0000000000,0.0000000000,1469.4881158727,10800.0000000000
2025-02-03,57930.7139772353,175.3214207128,0.0000000000,0.0000000000,58106.0353979480,58166.3625646269,91689.3079219055,91787.6132042017,0.0000000000,98.3052822961,0.0000000000,7465.1640513120,2093.4469985471,1947.2190157543,0.0000000000,0.0000000000,1428.3035259643,10800.0000000000
2025-02-04,59971.0420899314,0.0000000000,0.0000000000,0.0000000000,59971.0420899314,60019.4243768878,94162.1529313047,94162.1529313047,0.0000000000,0.0000000000,0.0000000000,8726.4017085641,1947.2190157543,1829.9444176916,0.0000000000,0.0000000000,1510.1148767088,10800.0000000000
2025-02-05,55844.6285757176,231.3998047104,0.0000000000,0.0000000000,56076.0283804280,56080.2369431600,88490.8840248767,88674.5922887214,0.0000000000,183.7082638447,0.0000000000,3438.1587306290,1829.9444176916,1819.7432152710,0.0000000000,0.0000000000,1357.4519811973,10800.0000000000
2025-02-06,60060.8446825487,0.0000000000,0.0000000000,22.4047067224,60083.2493892712,60102.8130448701,94447.5823934218,94447.5823934218,3.8354372545,0.0000000000,0.0000000000,9961.1910250468,1819.7432152710,1772.3225580153,0.0000000000,0.0000000000,1485.9589542619,10800.0000000000
2025-02-07,22868.8767880233,0.0000000000,0.0000000000,0.0000000000,22868.8767880233,22964.3029780472,43923.8495414957,43923.8495414957,0.0000000000,0.0000000000,0.0000000000,8648.1036910845,1772.3225580153,1541.0174919731,0.0000000000,0.0000000000,1239.1536184369,10800.0000000000
2025-02-08,19154.6622556230,835.4639640788,0.0000000000,0.0000000000,19990.1262197018,19912.8554857271,37139.7688991853,37694.7358141482,0.0000000000,554.9669149629,0.0000000000,2330.7251800389,1541.0174919731,1728.3152581386,0.0000000000,0.0000000000,1264.0583646793,10800.0000000000
2025-02-09,55500.8298563267,425.2655412876,0.0000000000,0.0000000000,55926.0953976142,56026.9308810766,88093.8029069990,88451.5515536733,0.0000000000,357.7486466744,0.0000000000,4924.2735256660,1728.3152581386,1483.8985193394,0.0000000000,0.0000000000,1295.7658755874,10800.0000000000
2025-02-10,52471.4979537992,7.7737075814,0.0000000000,66.0799677284,52545.3516291090,52625.1353464813,84004.5924444584,84010.1245449291,14.5246659476,5.5321004707,0.0000000000,5800.3002888057,1483.8985193394,1290.5094925819,0.0000000000,0.0000000000,1220.2553499017,10800.0000000000
2025-02-11,53545.8238219240,0.0000000000,0.0000000000,740.2991586739,54286.1229805979,54224.9998898546,85285.0082581684,85285.0082581684,128.9755140003,0.0000000000,0.0000000000,5591.0073988711,1290.5094925819,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53317.9639034264,0.0000000000,0.0000000000,294.5242275557,53612.4881309821,53652.3828343098,85172.4740136200,85172.4740136200,53.5300930588,0.0000000000,0.0000000000,5788.1892229675,1438.6667284261,1341.9653198752,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49308.0092234154,89.8855199161,0.0000000000,92.6176368212,49490.5123801526,49460.8732457986,79870.0350400066,79949.4063799157,20.8322590583,79.3713399091,0.0000000000,4436.2323128555,1341.9653198752,1413.8080910000,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
